lorentzForce,siteDistance,vAve
1.60,-0.10,0.0250443
1.60,-0.20,0.0250259
1.60,-0.30,0.025038
1.60,-0.40,0.0250836
1.60,-0.50,0.0250606
1.60,-0.60,0.0250719
1.60,-0.70,0.0250286
1.60,-0.80,0.0250293
1.60,-0.90,0.0250851
1.60,-1.00,0.0249874
1.60,-1.10,0.0250588
1.60,-1.20,0.0250832
1.60,-1.30,0.0249873
1.60,-1.40,0.024985
1.60,-1.50,0.0250425
1.60,-1.60,0.0249861
1.60,-1.70,0.0249826
1.60,-1.80,0.115393
1.60,-1.90,0.205611
1.60,-2.00,0.280377
1.60,0.00,0.0250557
1.60,0.10,0.0250085
1.60,0.20,0.0250513
1.60,0.30,0.0249957
1.60,0.40,0.0250228
1.60,0.50,0.0250424
1.60,0.60,0.0250453
1.60,0.70,0.025023
1.60,0.80,0.0250847
1.60,0.90,0.0250152
1.60,1.00,0.0250153
1.60,1.10,0.0250823
1.60,1.20,0.0250106
1.60,1.30,0.0250771
1.60,1.40,0.0250775
1.60,1.50,0.0250551
1.60,1.60,0.0250508
1.60,1.70,0.0250359
1.60,1.80,-0.107494
1.60,1.90,-0.102499
1.60,2.00,-0.0974723
1.62,-0.10,0.0250252
1.62,-0.20,0.0250138
1.62,-0.30,0.0250174
1.62,-0.40,0.0250617
1.62,-0.50,0.0250372
1.62,-0.60,0.0250468
1.62,-0.70,0.0250037
1.62,-0.80,0.0250094
1.62,-0.90,0.0250619
1.62,-1.00,0.0250556
1.62,-1.10,0.0250208
1.62,-1.20,0.0250416
1.62,-1.30,0.0250465
1.62,-1.40,0.0250513
1.62,-1.50,0.0249853
1.62,-1.60,0.0250264
1.62,-1.70,0.117719
1.62,-1.80,0.157004
1.62,-1.90,0.267199
1.62,-2.00,0.314536
1.62,0.00,0.0250586
1.62,0.10,0.024991
1.62,0.20,0.0250414
1.62,0.30,0.0250801
1.62,0.40,0.0250135
1.62,0.50,0.0250296
1.62,0.60,0.0250298
1.62,0.70,0.0250079
1.62,0.80,0.0250689
1.62,0.90,0.0249992
1.62,1.00,0.024999
1.62,1.10,0.0250677
1.62,1.20,0.0249959
1.62,1.30,0.0250753
1.62,1.40,0.0250617
1.62,1.50,0.0250404
1.62,1.60,0.0250364
1.62,1.70,-0.112455
1.62,1.80,-0.107504
1.62,1.90,-0.102439
1.62,2.00,-0.0974424
1.64,-0.10,0.0250073
1.64,-0.20,0.0249944
1.64,-0.30,0.0250051
1.64,-0.40,0.0250411
1.64,-0.50,0.0250151
1.64,-0.60,0.0250224
1.64,-0.70,0.0250803
1.64,-0.80,0.0250841
1.64,-0.90,0.0250315
1.64,-1.00,0.0250325
1.64,-1.10,0.0250858
1.64,-1.20,0.025
1.64,-1.30,0.0250018
1.64,-1.40,0.0250002
1.64,-1.50,0.0250382
1.64,-1.60,0.0250058
1.64,-1.70,0.124045
1.64,-1.80,0.244624
1.64,-1.90,0.309144
1.64,-2.00,0.342323
1.64,0.00,0.0250413
1.64,0.10,0.0250779
1.64,0.20,0.0250254
1.64,0.30,0.0250669
1.64,0.40,0.024999
1.64,0.50,0.0250133
1.64,0.60,0.025015
1.64,0.70,0.0250001
1.64,0.80,0.0250538
1.64,0.90,0.0250877
1.64,1.00,0.0250866
1.64,1.10,0.025051
1.64,1.20,0.0250834
1.64,1.30,0.0250588
1.64,1.40,0.0250567
1.64,1.50,0.0250366
1.64,1.60,0.0250212
1.64,1.70,-0.112485
1.64,1.80,-0.107463
1.64,1.90,-0.102457
1.64,2.00,-0.0974173
1.66,-0.10,0.0249901
1.66,-0.20,0.0250796
1.66,-0.30,0.0250889
1.66,-0.40,0.0250196
1.66,-0.50,0.0249925
1.66,-0.60,0.0249992
1.66,-0.70,0.0250547
1.66,-0.80,0.0250563
1.66,-0.90,0.0250014
1.66,-1.00,0.0249994
1.66,-1.10,0.025052
1.66,-1.20,0.0250646
1.66,-1.30,0.0250618
1.66,-1.40,0.0250582
1.66,-1.50,0.0250835
1.66,-1.60,0.124425
1.66,-1.70,0.211875
1.66,-1.80,0.298576
1.66,-1.90,0.339998
1.66,-2.00,0.377988
1.66,0.00,0.025024
1.66,0.10,0.0250686
1.66,0.20,0.0250095
1.66,0.30,0.0250509
1.66,0.40,0.0250867
1.66,0.50,0.0249991
1.66,0.60,0.0250072
1.66,0.70,0.0250861
1.66,0.80,0.0250386
1.66,0.90,0.0250733
1.66,1.00,0.0250738
1.66,1.10,0.025047
1.66,1.20,0.0250686
1.66,1.30,0.0250443
1.66,1.40,0.0250394
1.66,1.50,0.0250268
1.66,1.60,-0.117486
1.66,1.70,-0.112488
1.66,1.80,-0.10743
1.66,1.90,-0.10249
1.66,2.00,-0.0974965
1.68,-0.10,0.0250754
1.68,-0.20,0.0250621
1.68,-0.30,0.0250695
1.68,-0.40,0.0249995
1.68,-0.50,0.0250726
1.68,-0.60,0.0250868
1.68,-0.70,0.0250298
1.68,-0.80,0.0250294
1.68,-0.90,0.0250751
1.68,-1.00,0.0250707
1.68,-1.10,0.0250163
1.68,-1.20,0.0250266
1.68,-1.30,0.0250189
1.68,-1.40,0.0250112
1.68,-1.50,0.117444
1.68,-1.60,0.161943
1.68,-1.70,0.284049
1.68,-1.80,0.336009
1.68,-1.90,0.377896
1.68,-2.00,0.391959
1.68,0.00,0.0250076
1.68,0.10,0.0250522
1.68,0.20,0.0249924
1.68,0.30,0.0250355
1.68,0.40,0.0250724
1.68,0.50,0.0249918
1.68,0.60,0.0249928
1.68,0.70,0.0250741
1.68,0.80,0.0250798
1.68,0.90,0.0250585
1.68,1.00,0.0250549
1.68,1.10,0.0250328
1.68,1.20,0.0250647
1.68,1.30,0.0250289
1.68,1.40,0.0250312
1.68,1.50,-0.122454
1.68,1.60,-0.117465
1.68,1.70,-0.112451
1.68,1.80,-0.107512
1.68,1.90,-0.102481
1.68,2.00,-0.374984
1.70,-0.10,0.0250588
1.70,-0.20,0.0250431
1.70,-0.30,0.0250512
1.70,-0.40,0.0250831
1.70,-0.50,0.0250527
1.70,-0.60,0.0250638
1.70,-0.70,0.0250051
1.70,-0.80,0.0250027
1.70,-0.90,0.025046
1.70,-1.00,0.025039
1.70,-1.10,0.025083
1.70,-1.20,0.0250007
1.70,-1.30,0.0250797
1.70,-1.40,0.0250825
1.70,-1.50,0.134433
1.70,-1.60,0.264786
1.70,-1.70,0.329398
1.70,-1.80,0.378122
1.70,-1.90,0.394547
1.70,-2.00,0.40725
1.70,0.00,0.024991
1.70,0.10,0.0250364
1.70,0.20,0.0250819
1.70,0.30,0.0250208
1.70,0.40,0.0250573
1.70,0.50,0.0250805
1.70,0.60,0.0250812
1.70,0.70,0.025059
1.70,0.80,0.0250185
1.70,0.90,0.0250441
1.70,1.00,0.0250523
1.70,1.10,0.0250184
1.70,1.20,0.0250501
1.70,1.30,0.025017
1.70,1.40,0.0250388
1.70,1.50,-0.122469
1.70,1.60,-0.117455
1.70,1.70,-0.112438
1.70,1.80,-0.107506
1.70,1.90,-0.374997
1.70,2.00,-0.374971
1.72,-0.10,0.0250426
1.72,-0.20,0.0250261
1.72,-0.30,0.0250325
1.72,-0.40,0.0250704
1.72,-0.50,0.0250323
1.72,-0.60,0.025042
1.72,-0.70,0.0250847
1.72,-0.80,0.0250805
1.72,-0.90,0.0250183
1.72,-1.00,0.0250087
1.72,-1.10,0.0250511
1.72,-1.20,0.0250653
1.72,-1.30,0.0250785
1.72,-1.40,0.135014
1.72,-1.50,0.235319
1.72,-1.60,0.321934
1.72,-1.70,0.376328
1.72,-1.80,0.395787
1.72,-1.90,0.411451
1.72,-2.00,0.424888
1.72,0.00,0.0250783
1.72,0.10,0.0250208
1.72,0.20,0.0250664
1.72,0.30,0.0250057
1.72,0.40,0.0250435
1.72,0.50,0.0250663
1.72,0.60,0.0250672
1.72,0.70,0.0250435
1.72,0.80,0.0250031
1.72,0.90,0.0250294
1.72,1.00,0.0250363
1.72,1.10,0.0250042
