lorentzForce,siteDistance,vAve
1.6,-0.1,1.07E-05
1.6,-0.2,-0.000059
1.6,-0.3,1.93E-05
1.6,-0.4,-4.57E-05
1.6,-0.5,-2.80E-05
1.6,-0.6,-1.34E-05
1.6,-0.7,1.36E-05
1.6,-0.8,5.81E-05
1.6,-0.9,3.71E-05
1.6,-1,-5.68E-05
1.6,-1.1,-1.14E-05
1.6,-1.2,-4.30E-05
1.6,-1.3,4.52E-05
1.6,-1.4,-4.45E-05
1.6,-1.5,-2.02E-05
1.6,-1.6,-6.19E-05
1.6,-1.7,5.69E-05
1.6,0,-1.00E-07
1.6,0.1,-1.08E-05
1.6,0.2,5.88E-05
1.6,0.3,-1.94E-05
1.6,0.4,4.56E-05
1.6,0.5,2.78E-05
1.6,0.6,1.34E-05
1.6,0.7,-1.37E-05
1.6,0.8,-5.81E-05
1.6,0.9,-3.71E-05
1.6,1,5.68E-05
1.6,1.1,1.14E-05
1.6,1.2,4.29E-05
1.6,1.3,-4.52E-05
1.6,1.4,0.0000444
1.6,1.5,2.01E-05
1.6,1.6,6.17E-05
1.6,1.7,-5.69E-05
1.62,-0.1,1.03E-05
1.62,-0.2,-5.98E-05
1.62,-0.3,-8.20E-05
1.62,-0.4,5.26E-05
1.62,-0.5,-3.03E-05
1.62,-0.6,-1.63E-05
1.62,-0.7,1.00E-05
1.62,-0.8,-4.20E-05
1.62,-0.9,-6.78E-05
1.62,-1,-6.24E-05
1.62,-1.1,-2.25E-05
1.62,-1.2,4.96E-05
1.62,-1.3,3.69E-05
1.62,-1.4,-5.41E-05
1.62,-1.5,-3.16E-05
1.62,-1.6,-7.48E-05
1.62,-1.7,4.29E-05
1.62,0,0
1.62,0.1,-1.04E-05
1.62,0.2,5.97E-05
1.62,0.3,8.19E-05
1.62,0.4,-5.27E-05
1.62,0.5,3.02E-05
1.62,0.6,1.63E-05
1.62,0.7,-1.00E-05
1.62,0.8,4.19E-05
1.62,0.9,6.78E-05
1.62,1,6.23E-05
1.62,1.1,2.24E-05
1.62,1.2,-4.96E-05
1.62,1.3,-3.69E-05
1.62,1.4,5.40E-05
1.62,1.5,3.15E-05
1.62,1.6,7.46E-05
1.62,1.7,-4.29E-05
1.64,-0.1,9.80E-06
1.64,-0.2,-6.06E-05
1.64,-0.3,-8.32E-05
1.64,-0.4,5.43E-05
1.64,-0.5,-3.27E-05
1.64,-0.6,-1.91E-05
1.64,-0.7,6.60E-06
1.64,-0.8,-4.61E-05
1.64,-0.9,-7.25E-05
1.64,-1,-6.79E-05
1.64,-1.1,7.09E-05
1.64,-1.2,4.24E-05
1.64,-1.3,-7.17E-05
1.64,-1.4,-5.87E-05
1.64,-1.5,-4.21E-05
1.64,-1.6,1.33E-05
1.64,-1.7,2.93E-05
1.64,0,0
1.64,0.1,-9.90E-06
1.64,0.2,6.04E-05
1.64,0.3,8.31E-05
1.64,0.4,-5.44E-05
1.64,0.5,3.26E-05
1.64,0.6,1.91E-05
1.64,0.7,-6.70E-06
1.64,0.8,4.59E-05
1.64,0.9,7.25E-05
1.64,1,6.78E-05
1.64,1.1,-7.09E-05
1.64,1.2,-4.23E-05
1.64,1.3,7.16E-05
1.64,1.4,5.85E-05
1.64,1.5,4.21E-05
1.64,1.6,-1.34E-05
1.64,1.7,-2.93E-05
