lorentzForce,siteDistance,vAve
1.6,-0.1,0.0499985
1.6,-0.2,0.0499968
1.6,-0.3,0.0499953
1.6,-0.4,0.0499937
1.6,-0.5,0.049992
1.6,-0.6,0.0499903
1.6,-0.7,0.0499884
1.6,-0.8,0.0499865
1.6,-0.9,0.0499845
1.6,-1,0.0499823
1.6,-1.1,0.0499798
1.6,-1.2,0.0499771
1.6,-1.3,0.0499741
1.6,-1.4,0.0499709
1.6,-1.5,0.0499671
1.6,-1.6,0.0499628
1.6,-1.7,0.0499577
1.6,-1.8,0.0499515
1.6,-1.9,0.0499429
1.6,-2,0.0499289
1.6,0,0.05
1.6,0.1,0.0500014
1.6,0.2,0.0500031
1.6,0.3,0.0500045
1.6,0.4,0.0500063
1.6,0.5,0.0500079
1.6,0.6,0.0500097
1.6,0.7,0.0500115
1.6,0.8,0.0500135
1.6,0.9,0.0500156
1.6,1,0.0500179
1.6,1.1,0.0500203
1.6,1.2,0.050023
1.6,1.3,0.0500259
1.6,1.4,0.0500292
1.6,1.5,0.0500328
1.6,1.6,0.0500372
1.6,1.7,0.0500421
1.6,1.8,0.0500485
1.6,1.9,0.050057
1.6,2,0.0500711
1.62,-0.1,0.0499985
1.62,-0.2,0.0499968
1.62,-0.3,0.0499953
1.62,-0.4,0.0499936
1.62,-0.5,0.0499919
1.62,-0.6,0.0499902
1.62,-0.7,0.0499883
1.62,-0.8,0.0499863
1.62,-0.9,0.0499841
1.62,-1,0.0499819
1.62,-1.1,0.0499794
1.62,-1.2,0.0499765
1.62,-1.3,0.0499735
1.62,-1.4,0.04997
1.62,-1.5,0.049966
1.62,-1.6,0.0499614
1.62,-1.7,0.0499558
1.62,-1.8,0.0499484
1.62,-1.9,0.0499373
1.62,-2,0.0499129
1.62,0,0.05
1.62,0.1,0.0500016
1.62,0.2,0.0500031
1.62,0.3,0.0500047
1.62,0.4,0.0500063
1.62,0.5,0.050008
1.62,0.6,0.0500098
1.62,0.7,0.0500117
1.62,0.8,0.0500137
1.62,0.9,0.0500159
1.62,1,0.0500182
1.62,1.1,0.0500207
1.62,1.2,0.0500235
1.62,1.3,0.0500266
1.62,1.4,0.05003
1.62,1.5,0.050034
1.62,1.6,0.0500386
1.62,1.7,0.0500442
1.62,1.8,0.0500515
1.62,1.9,0.0500625
1.62,2,0.0500871
1.64,-0.1,0.0499984
1.64,-0.2,0.0499967
1.64,-0.3,0.0499952
1.64,-0.4,0.0499935
1.64,-0.5,0.0499917
1.64,-0.6,0.0499899
1.64,-0.7,0.049988
1.64,-0.8,0.049986
1.64,-0.9,0.0499838
1.64,-1,0.0499814
1.64,-1.1,0.0499788
1.64,-1.2,0.0499759
1.64,-1.3,0.0499727
1.64,-1.4,0.049969
1.64,-1.5,0.0499648
1.64,-1.6,0.0499597
1.64,-1.7,0.0499532
1.64,-1.8,0.0499439
1.64,-1.9,0.0499271
1.64,-2,0.0498195
1.64,0,0.05
1.64,0.1,0.0500016
1.64,0.2,0.0500031
1.64,0.3,0.0500048
1.64,0.4,0.0500065
1.64,0.5,0.0500082
1.64,0.6,0.0500101
1.64,0.7,0.050012
1.64,0.8,0.0500141
1.64,0.9,0.0500162
1.64,1,0.0500187
1.64,1.1,0.0500213
1.64,1.2,0.0500241
1.64,1.3,0.0500274
1.64,1.4,0.050031
1.64,1.5,0.0500353
1.64,1.6,0.0500404
1.64,1.7,0.0500469
1.64,1.8,0.050056
1.64,1.9,0.0500728
1.64,2,0.0501805
1.66,-0.1,0.0499983
1.66,-0.2,0.0499967
1.66,-0.3,0.049995
1.66,-0.4,0.0499933
1.66,-0.5,0.0499916
1.66,-0.6,0.0499898
1.66,-0.7,0.0499877
1.66,-0.8,0.0499855
1.66,-0.9,0.0499834
1.66,-1,0.0499808
1.66,-1.1,0.0499782
1.66,-1.2,0.0499752
1.66,-1.3,0.0499718
1.66,-1.4,0.0499677
1.66,-1.5,0.049963
1.66,-1.6,0.0499572
1.66,-1.7,0.0499492
1.66,-1.8,0.0499364
1.66,-1.9,0.0498983
1.66,-2,0.0479779
1.66,0,0.05
1.66,0.1,0.0500016
1.66,0.2,0.0500032
1.66,0.3,0.0500048
1.66,0.4,0.0500066
1.66,0.5,0.0500084
1.66,0.6,0.0500103
1.66,0.7,0.0500123
1.66,0.8,0.0500144
1.66,0.9,0.0500167
1.66,1,0.0500192
1.66,1.1,0.0500219
1.66,1.2,0.050025
1.66,1.3,0.0500283
1.66,1.4,0.0500324
1.66,1.5,0.050037
1.66,1.6,0.0500429
1.66,1.7,0.0500506
1.66,1.8,0.0500636
1.66,1.9,0.0501017
1.66,2,0.0520222
1.68,-0.1,0.0499983
1.68,-0.2,0.0499966
1.68,-0.3,0.049995
1.68,-0.4,0.0499931
1.68,-0.5,0.0499913
1.68,-0.6,0.0499894
1.68,-0.7,0.0499874
1.68,-0.8,0.0499851
1.68,-0.9,0.0499828
1.68,-1,0.0499802
1.68,-1.1,0.0499774
1.68,-1.2,0.0499742
1.68,-1.3,0.0499704
1.68,-1.4,0.0499661
1.68,-1.5,0.0499609
1.68,-1.6,0.0499538
1.68,-1.7,0.0499432
1.68,-1.8,0.0499197
1.68,-1.9,0.049051
1.68,-2,0.0457308
1.68,0,0.0499999
1.68,0.1,0.0500016
1.68,0.2,0.0500034
1.68,0.3,0.0500051
1.68,0.4,0.0500068
1.68,0.5,0.0500087
1.68,0.6,0.0500105
1.68,0.7,0.0500126
1.68,0.8,0.0500149
1.68,0.9,0.0500173
1.68,1,0.0500197
1.68,1.1,0.0500227
1.68,1.2,0.0500259
1.68,1.3,0.0500296
1.68,1.4,0.0500339
1.68,1.5,0.0500392
1.68,1.6,0.0500461
1.68,1.7,0.0500568
1.68,1.8,0.0500802
1.68,1.9,0.0509489
1.68,2,-0.0500003
1.7,-0.1,0.0499982
1.7,-0.2,0.0499965
1.7,-0.3,0.0499947
1.7,-0.4,0.0499929
1.7,-0.5,0.0499911
1.7,-0.6,0.0499891
1.7,-0.7,0.0499869
1.7,-0.8,0.0499847
1.7,-0.9,0.0499822
1.7,-1,0.0499795
1.7,-1.1,0.0499764
1.7,-1.2,0.0499729
1.7,-1.3,0.0499689
1.7,-1.4,0.049964
1.7,-1.5,0.0499578
1.7,-1.6,0.0499486
1.7,-1.7,0.0499311
1.7,-1.8,0.0497847
1.7,-1.9,0.0467444
1.7,-2,0.251756
1.7,0,0.05
1.7,0.1,0.0500017
1.7,0.2,0.0500034
1.7,0.3,0.0500051
1.7,0.4,0.050007
1.7,0.5,0.0500089
1.7,0.6,0.050011
1.7,0.7,0.050013
1.7,0.8,0.0500153
1.7,0.9,0.0500178
1.7,1,0.0500206
1.7,1.1,0.0500236
1.7,1.2,0.050027
1.7,1.3,0.0500312
1.7,1.4,0.050036
1.7,1.5,0.0500424
1.7,1.6,0.0500514
1.7,1.7,0.0500687
1.7,1.8,0.0502152
1.7,1.9,-0.0549996
1.7,2,-0.1517587
1.72,-0.1,0.0499981
1.72,-0.2,0.0499964
1.72,-0.3,0.0499946
1.72,-0.4,0.0499927
1.72,-0.5,0.0499908
1.72,-0.6,0.0499887
1.72,-0.7,0.0499865
1.72,-0.8,0.049984
1.72,-0.9,0.0499815
1.72,-1,0.0499785
1.72,-1.1,0.0499752
1.72,-1.2,0.0499715
1.72,-1.3,0.0499668
1.72,-1.4,0.0499611
1.72,-1.5,0.049953
1.72,-1.6,0.0499388
1.72,-1.7,0.0498861
1.72,-1.8,0.0476204
1.72,-1.9,0.1407456
1.72,-2,0.256721
1.72,0,0.05
1.72,0.1,0.0500017
1.72,0.2,0.0500035
1.72,0.3,0.0500054
1.72,0.4,0.0500073
1.72,0.5,0.0500092
1.72,0.6,0.0500114
1.72,0.7,0.0500136
1.72,0.8,0.0500159
1.72,0.9,0.0500186
1.72,1,0.0500215
1.72,1.1,0.0500247
1.72,1.2,0.0500286
1.72,1.3,0.0500331
1.72,1.4,0.0500389
1.72,1.5,0.0500471
1.72,1.6,0.0500612
1.72,1.7,0.0501138
1.72,1.8,-0.0599997
1.72,1.9,-0.1511992
1.72,2,-0.1567301
1.74,-0.1,0.0499982
1.74,-0.2,0.0499964
1.74,-0.3,0.0499943
1.74,-0.4,0.0499924
1.74,-0.5,0.0499904
1.74,-0.6,0.0499882
1.74,-0.7,0.049986
1.74,-0.8,0.0499833
1.74,-0.9,0.0499805
1.74,-1,0.0499773
1.74,-1.1,0.0499738
1.74,-1.2,0.0499695
1.74,-1.3,0.049964
1.74,-1.4,0.0499566
1.74,-1.5,0.0499444
1.74,-1.6,0.0499107
1.74,-1.7,0.0483458
1.74,-1.8,0.0600349
1.74,-1.9,0.264868
1.74,-2,0.313332
1.74,0,0.05
1.74,0.1,0.0500019
1.74,0.2,0.0500036
1.74,0.3,0.0500055
1.74,0.4,0.0500075
1.74,0.5,0.0500096
1.74,0.6,0.0500119
1.74,0.7,0.0500142
1.74,0.8,0.0500167
1.74,0.9,0.0500195
1.74,1,0.0500226
1.74,1.1,0.0500263
1.74,1.2,0.0500306
1.74,1.3,0.050036
1.74,1.4,0.0500433
1.74,1.5,0.0500556
1.74,1.6,0.0500894
1.74,1.7,0.051554
1.74,1.8,-0.074728
1.74,1.9,-0.1648647
1.74,2,-0.2134513
1.76,-0.1,0.0499981
1.76,-0.2,0.0499961
1.76,-0.3,0.0499941
1.76,-0.4,0.0499921
1.76,-0.5,0.0499899
1.76,-0.6,0.0499876
1.76,-0.7,0.0499851
1.76,-0.8,0.0499823
1.76,-0.9,0.0499794
1.76,-1,0.0499759
1.76,-1.1,0.0499718
1.76,-1.2,0.0499667
1.76,-1.3,0.0499597
1.76,-1.4,0.0499488
1.76,-1.5,0.0499226
1.76,-1.6,0.0489078
1.76,-1.7,0.0458994
1.76,-1.8,0.273725
1.76,-1.9,0.298859
1.76,-2,0.393643
1.76,0,0.0499999
1.76,0.1,0.0500019
1.76,0.2,0.0500039
1.76,0.3,0.0500059
1.76,0.4,0.0500079
1.76,0.5,0.05001
1.76,0.6,0.0500124
1.76,0.7,0.0500149
1.76,0.8,0.0500177
1.76,0.9,0.0500207
1.76,1,0.0500242
