time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-0.161663,-1.6732,-0.161663,-1.6732,0.961663,-1.6732,-0.161663,1.6732,0.961663,1.6732,0.961663,1.6732
0.002,0.961744,1.67404,0.961744,1.67403,-0.162144,1.67403,0.961744,-1.67403,-0.162144,-1.67403,-0.162144,-1.67404
0.003,0.961344,1.67403,0.961344,1.67403,-0.162544,1.67403,0.961344,-1.67403,-0.162543,-1.67403,-0.162543,-1.67403
0.004,-0.162943,-1.67404,-0.162943,-1.67404,0.960944,-1.67404,-0.162943,1.67404,0.960944,1.67404,0.960944,1.67404
0.005,-0.163343,-1.67404,-0.163343,-1.67404,0.960545,-1.67404,-0.163343,1.67404,0.960545,1.67404,0.960545,1.67404
0.006,0.960146,1.67403,0.960146,1.67403,-0.163741,1.67403,0.960146,-1.67403,-0.163741,-1.67403,-0.163741,-1.67403
0.007,0.959748,1.67403,0.959748,1.67403,-0.16414,1.67403,0.959748,-1.67403,-0.164139,-1.67403,-0.164139,-1.67403
0.008,-0.164538,-1.67404,-0.164538,-1.67404,0.95935,-1.67404,-0.164538,1.67404,0.95935,1.67404,0.95935,1.67404
0.009,-0.164935,-1.67404,-0.164935,-1.67404,0.958952,-1.67404,-0.164935,1.67404,0.958952,1.67404,0.958952,1.67404
0.01,0.958555,1.67403,0.958555,1.67403,-0.165333,1.67403,0.958555,-1.67403,-0.165332,-1.67403,-0.165332,-1.67403
0.011,0.958158,1.67403,0.958158,1.67403,-0.165729,1.67403,0.958158,-1.67403,-0.165729,-1.67403,-0.165729,-1.67403
0.012,-0.166126,-1.67404,-0.166126,-1.67404,0.957762,-1.67404,-0.166126,1.67404,0.957762,1.67404,0.957762,1.67404
0.013,-0.166522,-1.67404,-0.166522,-1.67404,0.957366,-1.67404,-0.166522,1.67404,0.957366,1.67404,0.957366,1.67404
0.014,0.95697,1.67403,0.95697,1.67403,-0.166917,1.67403,0.95697,-1.67403,-0.166917,-1.67403,-0.166917,-1.67403
0.015,0.956575,1.67403,0.956575,1.67403,-0.167313,1.67403,0.956575,-1.67403,-0.167312,-1.67403,-0.167312,-1.67403
0.016,-0.167708,-1.67404,-0.167708,-1.67404,0.95618,-1.67404,-0.167708,1.67404,0.95618,1.67404,0.95618,1.67404
0.017,-0.168102,-1.67404,-0.168102,-1.67404,0.955786,-1.67404,-0.168102,1.67404,0.955786,1.67404,0.955786,1.67404
0.018,0.955391,1.67403,0.955391,1.67403,-0.168496,1.67403,0.955392,-1.67403,-0.168496,-1.67403,-0.168496,-1.67403
