time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0.041,0.786434,1.60617,-0.127579,1.60979,0.886693,1.6097,1.45077,2.50313,-0.483889,2.48482,-0.463191,2.37276
0.042,0.785648,1.60427,-0.12746,1.60809,0.885837,1.60799,1.44927,2.50059,-0.483411,2.48229,-0.462743,2.37034
0.043,0.784864,1.60238,-0.127341,1.60639,0.884983,1.60628,1.44778,2.49804,-0.482934,2.47976,-0.462295,2.36791
0.044,0.78408,1.60047,-0.127223,1.60468,0.88413,1.60457,1.44629,2.4955,-0.482458,2.47724,-0.461849,2.36549
0.045,0.783297,1.59857,-0.127105,1.60297,0.88328,1.60286,1.44479,2.49297,-0.481982,2.47471,-0.461403,2.36306
0.046,0.782514,1.59666,-0.126987,1.60127,0.88243,1.60115,1.4433,2.49043,-0.481507,2.47219,-0.460958,2.36064
0.047,0.781733,1.59474,-0.12687,1.59956,0.881583,1.59943,1.44181,2.48789,-0.481033,2.46966,-0.460513,2.35822
0.048,0.780952,1.59282,-0.126753,1.59785,0.880737,1.59772,1.44032,2.48536,-0.480559,2.46714,-0.46007,2.3558
0.049,0.780172,1.59089,-0.126636,1.59614,0.879892,1.59601,1.43883,2.48283,-0.480086,2.46462,-0.459627,2.35338
0.05,0.779393,1.58895,-0.12652,1.59444,0.879049,1.59429,1.43734,2.4803,-0.479613,2.4621,-0.459185,2.35096
0.051,0.778614,1.58702,-0.126403,1.59273,0.878208,1.59258,1.43585,2.47777,-0.479142,2.45959,-0.458744,2.34854
0.052,0.777836,1.58507,-0.126288,1.59102,0.877368,1.59086,1.43436,2.47524,-0.47867,2.45707,-0.458304,2.34612
0.053,0.777059,1.58312,-0.126172,1.5893,0.87653,1.58915,1.43287,2.47272,-0.4782,2.45456,-0.457864,2.34371
0.054,0.776283,1.58117,-0.126057,1.58759,0.875693,1.58743,1.43138,2.47019,-0.47773,2.45205,-0.457426,2.34129
0.055,0.775508,1.57921,-0.125942,1.58588,0.874858,1.58571,1.42989,2.46767,-0.47726,2.44954,-0.456988,2.33888
0.056,0.774733,1.57725,-0.125827,1.58417,0.874025,1.58399,1.42841,2.46515,-0.476792,2.44703,-0.456551,2.33647
