time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0.042,0.0625478,0.108303,0.31251,0.108302,0.562544,0.108302,0.187544,0.324809,0.437533,0.32481,0.687554,0.324811
0.043,0.0625501,0.108306,0.31251,0.108305,0.562547,0.108305,0.187546,0.324812,0.437534,0.324812,0.687557,0.324813
0.044,0.0625524,0.108308,0.312511,0.108307,0.562549,0.108307,0.187548,0.324814,0.437536,0.324815,0.687559,0.324815
0.045,0.0625548,0.10831,0.312511,0.108309,0.562551,0.10831,0.18755,0.324817,0.437538,0.324817,0.687562,0.324817
0.046,0.0625573,0.108313,0.312511,0.108311,0.562554,0.108313,0.187552,0.32482,0.43754,0.32482,0.687565,0.324819
0.047,0.0625598,0.108315,0.312512,0.108314,0.562556,0.108316,0.187554,0.324822,0.437541,0.324822,0.687568,0.324822
0.048,0.0625623,0.108318,0.312512,0.108316,0.562558,0.108318,0.187557,0.324825,0.437543,0.324825,0.687571,0.324824
0.049,0.0625649,0.10832,0.312513,0.108319,0.562561,0.108321,0.187559,0.324828,0.437545,0.324827,0.687574,0.324827
0.05,0.0625676,0.108323,0.312513,0.108322,0.562563,0.108323,0.187562,0.324831,0.437547,0.32483,0.687577,0.32483
0.051,0.0625703,0.108326,0.312514,0.108324,0.562565,0.108326,0.187565,0.324834,0.437549,0.324833,0.68758,0.324833
0.052,0.062573,0.108329,0.312515,0.108327,0.562568,0.108328,0.187568,0.324836,0.437551,0.324836,0.687583,0.324836
0.053,0.0625759,0.108332,0.312515,0.10833,0.56257,0.108331,0.187571,0.324839,0.437553,0.324838,0.687586,0.324839
0.054,0.0625787,0.108335,0.312516,0.108333,0.562572,0.108334,0.187574,0.324842,0.437555,0.324841,0.687589,0.324842
0.055,0.0625816,0.108338,0.312516,0.108336,0.562575,0.108336,0.187577,0.324845,0.437557,0.324844,0.687592,0.324845
0.056,0.0625846,0.108341,0.312517,0.108339,0.562577,0.108339,0.187579,0.324848,0.437559,0.324847,0.687596,0.324848
