lorentzForce,siteDistance,vAve
1.6,-0.1,1.98E-05
1.6,-0.2,-2.29E-05
1.6,-0.3,3.2E-06
1.6,-0.4,1.1E-05
1.6,-0.5,-2.88E-05
1.6,-0.6,2.4E-05
1.6,-0.7,2.94E-05
1.6,-0.8,1.62E-05
1.6,-0.9,2.16E-05
1.6,-1,-2.69E-05
1.6,-1.1,7.42E-05
1.6,-1.2,-2.15E-05
1.6,-1.3,4.85E-05
1.6,-1.4,-2E-06
1.6,-1.5,1.8E-06
1.6,-1.6,-9.6E-06
1.6,-1.7,-1.02E-05
1.6,-1.8,3.67E-05
1.6,-1.9,-2.68E-05
1.6,-2,-0.724956
1.6,0,-1E-07
1.6,0.1,-2E-05
1.6,0.2,2.28E-05
1.6,0.3,-3.3E-06
1.6,0.4,-1.12E-05
1.6,0.5,2.87E-05
1.6,0.6,-2.42E-05
1.6,0.7,-2.95E-05
1.6,0.8,-1.63E-05
1.6,0.9,-2.16E-05
1.6,1,2.69E-05
1.6,1.1,-7.42E-05
1.6,1.2,2.13E-05
1.6,1.3,-4.86E-05
1.6,1.4,1.8E-06
1.6,1.5,-1.9E-06
1.6,1.6,9.7E-06
1.6,1.7,1.02E-05
1.6,1.8,-3.68E-05
1.6,1.9,2.7E-05
1.6,2,0.699619
1.62,-0.1,-8.09E-05
1.62,-0.2,-2.44E-05
1.62,-0.3,1.1E-06
1.62,-0.4,9.2E-06
1.62,-0.5,-2.97E-05
1.62,-0.6,2.45E-05
1.62,-0.7,-6.63E-05
1.62,-0.8,2.77E-05
1.62,-0.9,4.03E-05
1.62,-1,1.78E-05
1.62,-1.1,-4.25E-05
1.62,-1.2,-8.09E-05
1.62,-1.3,-2.9E-06
1.62,-1.4,-8.85E-05
1.62,-1.5,4.3E-06
1.62,-1.6,-8.51E-05
1.62,-1.7,4.93E-05
1.62,-1.8,-6.05E-05
1.62,-1.9,2.4E-06
1.62,-2,-0.21087428
1.62,0,1E-07
1.62,0.1,8.08E-05
1.62,0.2,2.43E-05
1.62,0.3,-1.3E-06
1.62,0.4,-9.2E-06
1.62,0.5,2.96E-05
1.62,0.6,-2.46E-05
1.62,0.7,6.62E-05
1.62,0.8,-2.78E-05
1.62,0.9,-4.05E-05
1.62,1,-1.79E-05
1.62,1.1,4.23E-05
1.62,1.2,8.07E-05
1.62,1.3,2.8E-06
1.62,1.4,8.85E-05
1.62,1.5,-4.5E-06
1.62,1.6,8.5E-05
1.62,1.7,-4.93E-05
1.62,1.8,6.07E-05
1.62,1.9,-2.5E-06
1.62,2,0.0133093
1.64,-0.1,2.48E-05
1.64,-0.2,-2.95E-05
1.64,-0.3,-7.6E-06
1.64,-0.4,7.2E-06
1.64,-0.5,6.89E-05
1.64,-0.6,2.52E-05
