lorentzForce,siteDistance,vAve
1.80,-0.50,-0.222451
1.80,-1.00,-0.245813
1.80,-1.50,-0.207498
1.80,-2.00,-0.193697
1.80,0.00,-0.197454
1.80,0.50,-0.374924
1.80,1.00,-0.135996
1.80,1.50,-0.12011
1.80,2.00,-0.0974894
1.90,-0.50,0.0250136
1.90,-1.00,-0.072913
1.90,-1.50,-0.0402482
1.90,-2.00,-0.0209338
1.90,0.00,0.0250819
1.90,0.50,0.0282059
1.90,1.00,0.0107038
1.90,1.50,-0.0916457
1.90,2.00,-0.0915597
2.00,-0.50,0.0250191
2.00,-1.00,-0.104935
2.00,-1.50,-0.0588712
2.00,-2.00,-0.296413
2.00,0.00,0.0251074
2.00,0.50,0.025094
2.00,1.00,0.0255362
2.00,1.50,0.0251013
2.00,2.00,-0.0881714
