lorentzForce,siteDistance,vAve
1.96,0.20,-0.075034
1.96,0.30,-0.0750593
1.96,0.40,-0.0750447
1.96,0.50,-0.0750021
1.96,0.60,0.179912
1.96,0.70,0.184952
1.96,0.80,0.189973
1.96,0.90,0.194914
1.96,1.00,0.199929
1.98,-0.00,0.149934
1.98,-0.10,-0.0750185
1.98,-0.20,-0.0750108
1.98,-0.30,-0.0750065
1.98,-0.40,-0.262969
1.98,-0.50,-0.0750732
1.98,-0.60,-0.0752564
1.98,-0.70,-0.0757689
1.98,-0.80,-0.0754649
1.98,-0.90,-0.075571
1.98,-1.00,-0.0756418
1.98,0.10,0.154939
1.98,0.20,0.159905
1.98,0.30,0.164937
1.98,0.40,0.169939
1.98,0.50,0.174944
1.98,0.60,0.179911
1.98,0.70,0.18492
1.98,0.80,0.18956
1.98,0.90,0.0802209
1.98,1.00,-0.0749894
2.00,-0.00,-0.0749976
2.00,-0.10,-0.07509
2.00,-0.20,-0.0750942
2.00,-0.30,-0.0753519
2.00,-0.40,-0.0756309
2.00,-0.50,-0.0753649
2.00,-0.60,-0.0754125
2.00,-0.70,-0.0755349
2.00,-0.80,-0.075455
2.00,-0.90,-0.0750498
2.00,-1.00,-0.0750864
2.00,0.10,-0.0749947
2.00,0.20,-0.0750255
2.00,0.30,-0.0750355
2.00,0.40,-0.0750545
2.00,0.50,-0.0750257
2.00,0.60,-0.0750949
2.00,0.70,-0.0750892
2.00,0.80,-0.0750824
2.00,0.90,-0.0750262
2.00,1.00,-0.0750423
2.02,-0.00,-0.0759963
2.02,-0.10,-0.0759668
2.02,-0.20,-0.0750852
2.02,-0.30,-0.0750481
2.02,-0.40,-0.075082
2.02,-0.50,-0.0752431
2.02,-0.60,-0.0754901
2.02,-0.70,-0.0757041
2.02,-0.80,-0.076051
2.02,-0.90,-0.0761342
2.02,-1.00,-0.0764097
2.02,0.10,-0.0776759
2.02,0.20,-0.0776192
2.02,0.30,-0.0775147
2.02,0.40,-0.0772156
2.02,0.50,-0.077037
2.02,0.60,-0.0767587
2.02,0.70,-0.076653
2.02,0.80,-0.0763866
2.02,0.90,-0.0761908
2.02,1.00,-0.0761012
2.04,-0.00,-0.0771019
2.04,-0.10,-0.0775295
2.04,-0.20,-0.0780918
2.04,-0.30,-0.0786602
2.04,-0.40,-0.0789307
2.04,-0.50,-0.0793704
2.04,-0.60,-0.0778608
2.04,-0.70,-0.0781416
2.04,-0.80,-0.0787986
2.04,-0.90,-0.0790698
2.04,-1.00,-0.0794183
2.04,0.10,-0.076813
2.04,0.20,-0.0767583
2.04,0.30,-0.0766196
2.04,0.40,-0.0765075
2.04,0.50,-0.0763422
2.04,0.60,-0.0762745
2.04,0.70,-0.0762126
2.04,0.80,-0.0760591
2.04,0.90,-0.0760401
2.04,1.00,-0.0761233
