lorentzForce,siteDistance,vAve
0.50,0.00,-0.0749443
0.50,0.10,-0.0699483
0.50,0.20,-0.0649609
0.50,0.30,-0.0599804
0.50,0.40,-0.055008
0.50,0.50,-0.049952
0.50,0.60,-0.0449134
0.50,0.70,-0.0399955
0.50,0.80,-0.0350102
0.50,0.90,-0.0299438
0.50,1.00,-0.0249172
0.60,0.00,-0.0749498
0.60,0.10,-0.0699846
0.60,0.20,-0.0649201
0.60,0.30,-0.0599631
0.60,0.40,-0.0549163
0.60,0.50,-0.0499873
0.60,0.60,-0.0449751
0.60,0.70,-0.0399866
0.60,0.80,-0.0349227
0.60,0.90,-0.0299895
0.60,1.00,-0.0249926
0.70,0.00,-0.0749392
0.70,0.10,-0.0699924
0.70,0.20,-0.0649467
0.70,0.30,-0.0600067
0.70,0.40,-0.0549766
0.70,0.50,-0.0499639
0.70,0.60,-0.0449686
0.70,0.70,-0.0399975
0.70,0.80,-0.0349558
0.70,0.90,-0.0299454
0.70,1.00,-0.02497
0.80,0.00,-0.0749775
0.80,0.10,-0.0699432
0.80,0.20,-0.0650104
0.80,0.30,-0.0599831
0.80,0.40,-0.054968
0.80,0.50,-0.0499661
0.80,0.60,-0.0449845
0.80,0.70,-0.0399285
0.80,0.80,-0.0350005
0.80,0.90,-0.0300084
0.80,1.00,-0.0249517
0.90,0.00,-0.0749484
0.90,0.10,-0.0699249
0.90,0.20,-0.0650022
0.90,0.30,-0.0599868
0.90,0.40,-0.0549801
0.90,0.50,-0.049989
0.90,0.60,-0.0450189
0.90,0.70,-0.039973
0.90,0.80,-0.0349556
0.90,0.90,-0.0299746
0.90,1.00,-0.0249302
1.00,0.00,-0.0749446
1.00,0.10,-0.0699279
1.00,0.20,-0.0650151
1.00,0.30,-0.0600051
1.00,0.40,-0.0550079
1.00,0.50,-0.0500215
1.00,0.60,-0.0449586
1.00,0.70,-0.0400227
1.00,0.80,-0.0350142
1.00,0.90,-0.030044
1.00,1.00,-0.0250071
1.10,0.00,-0.0750564
1.10,0.10,-0.0700483
1.10,0.20,-0.0650406
1.10,0.30,-0.0600401
1.10,0.40,-0.0550463
1.10,0.50,-0.0500691
1.10,0.60,-0.0450128
1.10,0.70,-0.0399835
1.10,0.80,-0.0349833
1.10,0.90,-0.0300186
1.10,1.00,-0.0249951
1.20,0.00,-0.0749814
1.20,0.10,-0.0700791
1.20,0.20,-0.0650777
1.20,0.30,-0.0599814
1.20,0.40,-0.0549947
1.20,0.50,-0.050022
1.20,0.60,-0.045073
1.20,0.70,-0.040047
1.20,0.80,-0.035051
1.20,0.90,-0.0299939
1.20,1.00,-0.0250769
1.30,0.00,-0.0750162
1.30,0.10,-0.0700198
1.30,0.20,-0.0650221
1.30,0.30,-0.0600302
1.30,0.40,-0.0550479
1.30,0.50,-0.0500814
1.30,0.60,-0.0450349
1.30,0.70,-0.0400133
1.30,0.80,-0.0350257
1.30,0.90,-0.0300722
1.30,1.00,-0.0250626
1.40,0.00,-0.075059
1.40,0.10,-0.0700668
1.40,0.20,-0.0650744
1.40,0.30,-0.0599849
1.40,0.40,-0.0550072
1.40,0.50,-0.0500435
1.40,0.60,-0.0450007
1.40,0.70,-0.0399861
1.40,0.80,-0.0349994
1.40,0.90,-0.0300517
1.40,1.00,-0.0250474
1.50,0.00,-0.0750083
1.50,0.10,-0.0700195
1.50,0.20,-0.0650305
1.50,0.30,-0.0600444
1.50,0.40,-0.0550699
1.50,0.50,-0.0500102
1.50,0.60,-0.0450708
1.50,0.70,-0.0400584
1.50,0.80,-0.0350771
1.50,0.90,-0.0300332
1.50,1.00,-0.0250324
1.60,0.00,-0.0750625
1.60,0.10,-0.0700769
1.60,0.20,-0.0649908
1.60,0.30,-0.0600077
1.60,0.40,-0.055036
1.60,0.50,-0.050079
1.60,0.60,-0.0450425
1.60,0.70,-0.040033
1.60,0.80,-0.0350558
1.60,0.90,-0.0300154
1.60,1.00,-0.0250166
1.70,0.00,-0.0750209
1.70,0.10,-0.0700381
1.70,0.20,-0.0650547
1.70,0.30,-0.0600749
1.70,0.40,-0.0550048
1.70,0.50,-0.0500504
1.70,0.60,-0.0450177
1.70,0.70,-0.0400094
1.70,0.80,-0.0350348
1.70,0.90,-0.0299972
1.70,1.00,-0.0250034
1.80,0.00,-0.0750828
1.80,0.10,-0.0700025
1.80,0.20,-0.0650215
1.80,0.30,-0.0600439
1.80,0.40,-0.0550761
1.80,0.50,-0.0500238
1.80,0.60,-0.0450932
1.80,0.70,-0.0400882
1.80,0.80,-0.035015
1.80,0.90,-0.0300799
1.80,1.00,-0.0250901
1.90,0.00,-0.0750477
1.90,0.10,-0.0700696
1.90,0.20,-0.0650907
1.90,0.30,-0.0600151
1.90,0.40,-0.0550493
1.90,0.50,-0.0499989
1.90,0.60,-0.0450703
1.90,0.70,-0.0400673
1.90,0.80,-0.0350963
1.90,0.90,-0.0300645
1.90,1.00,-0.0250759
