lorentzForce,siteDistance,vAve
1.35,0.80,0.0978987
1.35,0.90,0.0974536
1.35,1.00,0.0970924
1.40,0.00,0.0855136
1.40,0.10,0.0850482
1.40,0.20,0.0844223
1.40,0.30,0.0837594
1.40,0.40,0.0831902
1.40,0.50,0.082489
1.40,0.60,0.0819767
1.40,0.70,0.0814334
1.40,0.80,0.0810178
1.40,0.90,0.0805311
1.40,1.00,0.0802244
1.45,0.00,0.0674793
1.45,0.10,0.0662717
1.45,0.20,0.0651681
1.45,0.30,0.0642618
1.45,0.40,0.0632381
1.45,0.50,0.0624948
1.45,0.60,0.0616918
1.45,0.70,0.0609037
1.45,0.80,0.0603627
1.45,0.90,0.0595893
1.45,1.00,0.0589824
