lorentzForce,siteDistance,vAve,,
1.6,-0.1,9.5E-06,,
1.6,-0.2,8.4E-06,,
1.6,-0.3,-7.36E-05,,
1.6,-0.4,6.2E-06,,
1.6,-0.5,-7.09E-05,,
1.6,-0.6,-5.8E-06,,
1.6,-0.7,-0.2125983,,
1.6,-0.8,3.39E-05,,
1.6,-0.9,0.0001786,,
1.6,-1,0.004286,,
1.6,-1.1,0.010444,,
1.6,-1.2,0.0264555,,
1.6,-1.3,0.0502311,,
1.6,-1.4,0.071601,,
1.6,-1.5,0.0994623,,
1.6,-1.6,0.001137,,
1.6,-1.7,-0.0523602,,
1.6,-1.8,-0.1350722,,
1.6,-1.9,-0.16705919,,
1.6,-2,-0.17545691,,
1.6,0,1.25E-05,,
1.6,0.1,5.6E-06,,
1.6,0.2,4.99E-05,,
1.6,0.3,1.97E-05,,
1.6,0.4,-3.43E-05,,
1.6,0.5,-4E-06,,
1.6,0.6,-6.8E-06,,
1.6,0.7,-0.0573413,,
1.6,0.8,-0.319996,,
1.6,0.9,-0.309996,,
1.6,1,-0.299942,,
1.6,1.1,-0.29004,,
1.6,1.2,-0.280638,,
1.6,1.3,-0.275688,,
1.6,1.4,-0.282514,,
1.6,1.5,-0.29834,,
1.6,1.6,-0.23999,,
1.6,1.7,-0.230042,,
1.6,1.8,-0.219999,,
1.6,1.9,-0.209961,,
1.6,2,-0.2002047,,
1.62,-0.1,-5.09E-05,,
1.62,-0.2,4.91E-05,,
1.62,-0.3,-3.25E-05,,
1.62,-0.4,-6.37E-05,,
1.62,-0.5,-7.88E-05,,
1.62,-0.6,2.27E-05,,
1.62,-0.7,3.19E-05,,
1.62,-0.8,0.0031548,,
1.62,-0.9,0.0120082,,
1.62,-1,0.0280884,,
1.62,-1.1,0.0509049,,
1.62,-1.2,0.0754382,,
1.62,-1.3,0.1081339,,
1.62,-1.4,0.1075245,,
1.62,-1.5,-0.0050838,,
1.62,-1.6,-0.0726593,,
1.62,-1.7,-0.1223245,,
1.62,-1.8,-0.146026,,
1.62,-1.9,-0.16723078,,
1.62,-2,-0.281072,,
1.62,0,-4.56E-05,,
1.62,0.1,5.43E-05,,
1.62,0.2,-9.8E-06,,
1.62,0.3,-3.49E-05,,
1.62,0.4,1.08E-05,,
1.62,0.5,-4.22E-05,,
1.62,0.6,-0.340031,,
1.62,0.7,-0.329996,,
1.62,0.8,-0.319997,,
1.62,0.9,-0.310047,,
1.62,1,-0.300388,,
1.62,1.1,-0.294433,,
1.62,1.2,-0.301982,,
1.62,1.3,-0.323208,,
1.62,1.4,-0.343624,,
1.62,1.5,-0.263204,,
1.62,1.6,-0.239924,,
1.62,1.7,-0.230104,,
1.62,1.8,-0.22003,,
1.62,1.9,-0.210048,,
1.62,2,-0.1864813,,
1.64,-0.1,-1.29E-05,,
1.64,-0.2,-0.0000146,,
1.64,-0.3,1.01E-05,,
1.64,-0.4,-0.1975534,,
1.64,-0.5,2.5E-06,,
1.64,-0.6,0.0031075,,
1.64,-0.7,0.0153086,,
1.64,-0.8,0.0336566,,
1.64,-0.9,0.0559983,,
1.64,-1,0.076361,,
1.64,-1.1,0.1018589,,
1.64,-1.2,0.117571,,
1.64,-1.3,0.0148257,,
1.64,-1.4,-0.0263592,,
1.64,-1.5,-0.0965956,,
1.64,-1.6,-0.1237583,,
1.64,-1.7,-0.1460691,,
1.64,-1.8,-0.2616389,,
1.64,-1.9,-0.2729123,,
1.64,-2,-0.2812805,,
1.64,0,-1.5E-05,,
1.64,0.1,-7.3E-06,,
1.64,0.2,0.0000368,,
1.64,0.3,-7.71E-05,,
1.64,0.4,-0.0775184,,
1.64,0.5,-0.349966,,
1.64,0.6,-0.339985,,
1.64,0.7,-0.329985,,
1.64,0.8,-0.320363,,
1.64,0.9,-0.314069,,
