lorentzForce,siteDistance,vAve
1.80,-0.00,-0.025088
1.80,-0.10,-0.0250728
1.80,-0.20,-0.0250361
1.80,-0.30,-0.025049
1.80,-0.40,-0.025038
1.80,-0.50,-0.0250848
1.80,-0.60,-0.0250736
1.80,-0.70,-0.0250224
1.80,-0.80,-0.025022
1.80,-0.90,-0.0250252
1.80,-1.00,-0.0250016
1.80,0.10,-0.0249991
1.80,0.20,-0.0249992
1.80,0.30,-0.0250864
1.80,0.40,-0.0250481
1.80,0.50,-0.0250715
1.80,0.60,-0.0250478
1.80,0.70,-0.0250613
1.80,0.80,-0.0249993
1.80,0.90,-0.0250088
1.80,1.00,-0.025005
1.80,1.10,-0.0250082
1.80,1.20,-0.0250065
1.80,1.30,-0.0250387
1.80,1.40,-0.0250781
1.82,-0.00,-0.0250144
1.82,-0.10,-0.0249999
1.82,-0.20,-0.0250616
1.82,-0.30,-0.0250733
1.82,-0.40,-0.0250586
1.82,-0.50,-0.0249972
1.82,-0.60,-0.0250691
1.82,-0.70,-0.0250907
1.82,-0.80,-0.0250416
1.82,-0.90,-0.0250675
1.82,-1.00,-0.0250086
1.82,0.10,-0.0250208
1.82,0.20,-0.0250217
1.82,0.30,-0.0250054
1.82,0.40,-0.0250657
1.82,0.50,-0.0250885
1.82,0.60,-0.0250629
1.82,0.70,-0.0250753
1.82,0.80,-0.0250129
1.82,0.90,-0.0250734
1.82,1.00,-0.0250566
1.82,1.10,-0.0250218
1.82,1.20,-0.0250775
1.82,1.30,-0.0250097
1.82,1.40,-0.0250938
1.84,-0.00,-0.0250376
1.84,-0.10,-0.0250243
1.84,-0.20,-0.0250864
1.84,-0.30,-0.0249975
1.84,-0.40,-0.0250782
1.84,-0.50,-0.0250073
1.84,-0.60,-0.0250651
1.84,-0.70,-0.025058
1.84,-0.80,-0.0250622
1.84,-0.90,-0.0250046
1.84,-1.00,-0.0250139
1.84,0.10,-0.0250438
1.84,0.20,-0.0250407
1.84,0.30,-0.0250239
1.84,0.40,-0.0250829
1.84,0.50,-0.0250036
1.84,0.60,-0.0250777
1.84,0.70,-0.025089
1.84,0.80,-0.0250565
1.84,0.90,-0.0250261
1.84,1.00,-0.0250356
1.84,1.10,-0.0250235
1.84,1.20,-0.0250624
1.84,1.30,-0.0250917
1.84,1.40,-0.0249963
1.86,-0.00,-0.0250608
1.86,-0.10,-0.025048
1.86,-0.20,-0.0250104
1.86,-0.30,-0.0250191
1.86,-0.40,-0.0250969
1.86,-0.50,-0.0250178
1.86,-0.60,-0.0250583
1.86,-0.70,-0.0250242
1.86,-0.80,-0.0250798
1.86,-0.90,-0.0250436
1.86,-1.00,-0.025022
1.86,0.10,-0.0250647
1.86,0.20,-0.0250615
1.86,0.30,-0.0250439
1.86,0.40,-0.0249997
1.86,0.50,-0.0250199
1.86,0.60,-0.0250921
1.86,0.70,-0.325201
1.86,0.80,-0.0250404
1.86,0.90,-0.0250392
1.86,1.00,-0.0250869
1.86,1.10,-0.0250374
1.86,1.20,-0.0250013
1.86,1.30,-0.025043
1.86,1.40,-0.0250438
1.88,-0.00,-0.0250853
