x,y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-0.7435,-4.00595,-0.681061,-4.00698,1.50124,-4.00767,0.831548,-1.69909,0.0547957,-1.69909,-0.0101522,-1.69909,-0.7435,4.00595,-0.681061,4.00698,1.50124,4.00767,0.831549,1.69909,0.054795,1.69909,-0.0101529,1.69909
0.002,1.50352,-0.605757,1.56593,-0.606786,-0.746166,-0.607472,3.07778,1.69994,0.765336,1.69994,-2.2568,1.69994,1.50352,0.605756,1.56593,0.606785,-0.746165,0.607471,3.07779,-1.69994,0.765335,-1.69994,-2.2568,-1.69994
0.003,1.50314,-0.603448,-0.681165,-0.604476,1.50011,-0.605161,0.829178,1.69994,0.764926,1.69994,-0.00901558,1.69994,1.50314,0.603448,-0.681165,0.604476,1.50011,0.605161,0.829175,-1.69994,0.764923,-1.69994,-0.00901305,-1.69994
0.004,1.50164,-0.60284,-0.68161,-0.603867,1.49973,-0.604552,0.827223,-1.69994,0.76416,-1.69995,-0.00788488,-1.69994,1.50164,0.60284,-0.68161,0.603867,1.49973,0.604552,0.827219,1.69994,0.764156,1.69995,-0.00788041,1.69994
0.005,-0.746515,-0.602233,-0.680932,-0.60326,1.49824,-0.603944,0.826393,-1.69994,3.01004,-1.69995,-0.00788005,-1.69994,-0.746515,0.602233,-0.680932,0.603259,1.49824,0.603944,0.826386,1.69994,3.01005,1.69995,-0.00787341,1.69994
0.006,1.49976,-0.601626,-0.680257,-0.602652,1.49674,-0.603336,0.825565,1.69994,0.761505,1.69995,-0.00787623,1.69994,1.49976,0.601626,-0.680256,0.602652,1.49674,0.603336,0.825556,-1.69994,0.761496,-1.69995,-0.0078672,-1.69994
0.007,1.49938,-0.601019,-0.679583,-0.602045,1.49524,-0.602729,0.824737,1.69994,0.759617,1.69995,-0.00787382,1.69994,1.49938,0.601019,-0.679583,0.602045,1.49524,0.602729,0.824725,-1.69994,0.759606,-1.69995,-0.00786217,-1.69994
0.008,1.49788,-0.600412,-0.678911,-0.601438,1.49375,-0.602122,0.823909,-1.69994,0.758854,-1.69995,-0.00787281,-1.69994,1.49788,0.600412,-0.678911,0.601438,1.49375,0.602122,0.823895,1.69994,0.758839,1.69995,-0.00785833,1.69994
0.009,1.49639,-0.599806,-0.67824,-0.600832,1.49226,-0.601515,0.823082,-1.69994,0.758091,-1.69995,-0.00787321,-1.69994,1.49639,0.599805,-0.67824,0.600831,1.49226,0.601515,0.823065,1.69994,0.758073,1.69995,-0.00785568,1.69994
0.01,1.49489,-0.599199,-0.677571,-0.600225,1.49077,-0.600909,0.822256,1.69994,0.757329,1.69995,-0.00787501,1.69994,1.49489,0.599198,-0.677571,0.600225,1.49077,0.600909,0.822235,-1.69994,0.757308,-1.69995,-0.0078542,-1.69994
0.011,1.4934,-0.598592,-0.676904,-0.599619,1.48928,-0.600303,0.82143,1.69994,0.756567,1.69995,-0.00787821,1.69994,1.4934,0.598592,-0.676903,0.599619,1.48928,0.600303,0.821405,-1.69994,0.756542,-1.69995,-0.00785391,-1.69994
0.012,-0.754747,-0.597986,-0.676238,-0.599013,1.48779,-0.599698,0.820604,-1.69994,3.00243,-1.69995,-0.00788281,-1.69994,-0.754747,0.597985,-0.676238,0.599013,1.48779,0.599698,0.820576,1.69994,3.00246,1.69995,-0.00785478,1.69994
0.013,1.49154,-0.597379,1.57108,-0.598408,-0.760343,-0.599093,3.0664,-1.69994,0.75392,-1.69995,-2.25451,-1.69994,1.49154,0.597379,1.57108,0.598408,-0.760343,0.599093,3.06643,1.69994,0.753888,1.69995,-2.25454,1.69994
0.014,1.49117,-0.596773,1.57061,-0.597803,-0.760703,-0.598488,3.06444,1.69993,0.752035,1.69995,-2.25338,1.69994,1.49117,0.596773,1.57061,0.597802,-0.760702,0.598488,3.06448,-1.69994,0.751999,-1.69995,-2.25342,-1.69994
0.015,1.48968,-0.596167,-0.677624,-0.597197,1.48671,-0.597884,0.814757,1.69993,0.751276,1.69996,-0.00452764,1.69994,1.48968,0.596167,-0.677623,0.597197,1.48671,0.597883,0.814716,-1.69993,0.751235,-1.69996,-0.00448703,-1.69994
0.016,1.48819,-0.595562,-0.678086,-0.596592,1.48635,-0.597279,0.812809,-1.69993,0.750517,-1.69996,-0.00341241,-1.69994,1.48819,0.595561,-0.678086,0.596592,1.48635,0.597279,0.812764,1.69993,0.750472,1.69996,-0.00336717,1.69994
0.017,1.48671,-0.594956,-0.677426,-0.595987,1.48487,-0.596675,0.811986,-1.69993,0.749759,-1.69996,-0.00342356,-1.69994,1.48671,0.594956,-0.677426,0.595987,1.48487,0.596675,0.811936,1.69993,0.749709,1.69996,-0.0033735,1.69994
0.018,-0.761428,-0.594351,-0.676767,-0.595383,1.48339,-0.596072,0.811165,1.69993,2.9956,1.69996,-0.00343665,1.69994,-0.761427,0.59435,-0.676766,0.595382,1.48339,0.596072,0.81111,-1.69993,2.99565,-1.69996,-0.00338157,-1.69994
0.019,1.48486,-0.593745,-0.67611,-0.594779,1.48191,-0.595469,0.810345,1.69993,0.747119,1.69997,-0.00345016,1.69994,1.48486,0.593745,-0.676109,0.594778,1.48191,0.595469,0.810284,-1.69993,0.747058,-1.69997,-0.00338983,-1.69994
0.02,1.4845,-0.59314,-0.675455,-0.594175,1.48044,-0.594866,0.809525,-1.69992,0.745238,-1.69997,-0.00346505,-1.69994,1.4845,0.59314,-0.675455,0.594174,1.48044,0.594866,0.809459,1.69992,0.745172,1.69997,-0.00339925,1.69994
0.021,1.48302,-0.592535,-0.674801,-0.593571,1.47896,-0.594264,0.808706,-1.69992,0.744482,-1.69997,-0.00348132,-1.69994,1.48302,0.592534,-0.674801,0.593571,1.47896,0.594264,0.808634,1.69992,0.74441,1.69997,-0.00340984,1.69994
0.022,1.48154,-0.591929,-0.67415,-0.592968,1.47749,-0.593662,0.807886,1.69992,0.743726,1.69997,-0.00349897,1.69994,1.48154,0.591929,-0.674149,0.592967,1.47749,0.593662,0.807809,-1.69992,0.743649,-1.69997,-0.00342158,-1.69994
0.023,-0.766585,-0.591324,-0.6735,-0.592364,1.47602,-0.59306,0.807068,1.69992,2.98954,1.69997,-0.00351798,1.69994,-0.766585,0.591324,-0.673499,0.592364,1.47602,0.59306,0.806984,-1.69992,2.98962,-1.69997,-0.00343448,-1.69994
0.024,1.47971,-0.590719,-0.672852,-0.591762,1.47454,-0.592459,0.806251,-1.69992,0.741093,-1.69998,-0.0035374,-1.69994,1.47971,0.590719,-0.672852,0.591761,1.47454,0.592459,0.806161,1.69992,0.741003,1.69998,-0.00344757,1.69994
0.025,1.47936,-0.590114,-0.672206,-0.591159,1.47308,-0.591858,0.805434,-1.69991,0.739215,-1.69998,-0.00355818,-1.69994,1.47936,0.590114,-0.672206,0.591159,1.47308,0.591858,0.805337,1.69991,0.739119,1.69998,-0.00346181,1.69994
