x,y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-0.751165,-4.07468,-0.661877,-4.07582,1.48972,-4.07597,0.89387,-1.69909,0.0346665,-1.69909,-0.0590256,-1.69909,-0.751165,4.07468,-0.661877,4.07582,1.48972,4.07597,0.89387,1.69909,0.0346658,1.69909,-0.0590262,1.69909
0.002,1.49549,-0.676486,1.58477,-0.677629,-0.756934,-0.677778,3.14052,1.69909,0.7898,1.69909,-2.30568,1.69909,1.49549,0.676486,1.58477,0.677629,-0.756933,0.677778,3.14052,-1.6991,0.789799,-1.6991,-2.30568,-1.6991
0.003,1.49549,-0.676483,-0.66188,-0.677626,1.48972,-0.677775,0.89387,1.69909,0.7898,1.6991,-0.0590273,1.69909,1.49548,0.676483,-0.661879,0.677626,1.48972,0.677775,0.893867,-1.69909,0.789797,-1.6991,-0.0590247,-1.69909
0.004,1.49548,-0.676479,-0.661882,-0.677623,1.48972,-0.677772,0.893868,-1.69909,0.789799,-1.6991,-0.0590294,-1.69909,1.49548,0.676479,-0.661882,0.677622,1.48972,0.677771,0.893863,1.69909,0.789795,1.6991,-0.0590248,1.69909
0.005,-0.751166,-0.676475,-0.661886,-0.677619,1.48972,-0.677768,0.893866,-1.69909,3.03644,-1.6991,-0.0590329,-1.69909,-0.751166,0.676475,-0.661886,0.677618,1.48972,0.677768,0.893859,1.69909,3.03645,1.6991,-0.059026,1.69909
0.006,1.49549,-0.67647,-0.661892,-0.677615,1.48972,-0.677764,0.893864,1.69909,0.789796,1.6991,-0.0590369,1.69909,1.49548,0.67647,-0.661891,0.677614,1.48972,0.677764,0.893855,-1.69909,0.789787,-1.6991,-0.0590274,-1.69909
0.007,1.49549,-0.676465,-0.661899,-0.67761,1.48972,-0.67776,0.893862,1.69909,0.789793,1.6991,-0.0590422,1.69909,1.49548,0.676464,-0.661898,0.67761,1.48972,0.67776,0.89385,-1.69909,0.789781,-1.6991,-0.05903,-1.69909
0.008,1.49549,-0.676459,-0.661906,-0.677605,1.48973,-0.677756,0.893859,-1.69909,0.78979,-1.6991,-0.0590489,-1.69909,1.49549,0.676458,-0.661906,0.677605,1.48973,0.677755,0.893844,1.69909,0.789775,1.6991,-0.0590337,1.69909
0.009,1.49549,-0.676452,-0.661915,-0.6776,1.48973,-0.677751,0.893856,-1.69909,0.789787,-1.6991,-0.0590571,-1.69909,1.49549,0.676452,-0.661915,0.677599,1.48973,0.677751,0.893838,1.69909,0.789768,1.6991,-0.0590385,1.69909
0.01,1.49549,-0.676445,-0.661925,-0.677594,1.48973,-0.677746,0.893853,1.69909,0.789783,1.6991,-0.0590666,1.69909,1.49549,0.676445,-0.661924,0.677594,1.48973,0.677746,0.893831,-1.69909,0.789761,-1.6991,-0.0590445,-1.69909
0.011,1.49549,-0.676437,-0.661936,-0.677588,1.48974,-0.677741,0.893849,1.69909,0.789778,1.6991,-0.0590775,1.69909,1.49549,0.676437,-0.661935,0.677587,1.48974,0.67774,0.893823,-1.69909,0.789752,-1.6991,-0.0590516,-1.69909
0.012,1.49549,-0.676429,-0.661947,-0.677581,1.48974,-0.677735,0.893844,-1.69909,0.789773,-1.6991,-0.0590898,-1.69909,1.49549,0.676428,-0.661947,0.677581,1.48974,0.677735,0.893814,1.69909,0.789743,1.6991,-0.0590599,1.69909
0.013,-0.751159,-0.67642,-0.66196,-0.677574,1.48974,-0.677729,0.893839,-1.69909,3.03638,-1.6991,-0.0591035,-1.69909,-0.751159,0.676419,-0.66196,0.677574,1.48974,0.677729,0.893805,1.69909,3.03642,1.6991,-0.0590693,1.69909
0.014,1.49549,-0.67641,1.58468,-0.677567,-0.756904,-0.677723,3.14045,1.69909,0.789761,1.69911,-2.30573,1.69909,1.49549,0.67641,1.58468,0.677566,-0.756904,0.677723,3.14049,-1.69909,0.789722,-1.69911,-2.30577,-1.69909
0.015,1.4955,-0.6764,1.58466,-0.677559,1.48975,-0.677717,0.893827,1.69908,0.789754,1.69911,-2.30574,1.69909,1.49549,0.6764,1.58466,0.677558,1.48975,0.677716,0.893784,-1.69908,0.78971,-1.69911,-2.30578,-1.69909
0.016,1.4955,-0.67639,-0.662007,-0.67755,1.48976,-0.67771,0.893819,-1.69908,0.789745,-1.69911,-0.0591458,-1.69909,1.4955,0.676389,-0.662007,0.67755,1.48976,0.677709,0.893771,1.69908,0.789697,1.69911,-0.0590972,1.69909
0.017,-0.751149,-0.676379,-0.662024,-0.677541,-0.756889,-0.677702,3.14041,-1.69908,3.03633,-1.69911,-0.0591616,-1.69909,-0.751149,0.676379,-0.662024,0.677541,-0.756889,0.677702,3.14046,1.69908,3.03639,1.69911,-0.0591077,1.69909
0.018,1.4955,-0.676368,-0.662044,-0.677532,1.48977,-0.677695,0.893801,1.69908,0.789727,1.69911,-0.0591769,1.69909,1.4955,0.676367,-0.662043,0.677532,1.48977,0.677694,0.893742,-1.69908,0.789668,-1.69911,-0.0591174,-1.69909
0.019,1.49551,-0.676356,-0.662065,-0.677522,1.48977,-0.677687,0.893792,1.69908,0.789717,1.69912,-0.0591935,1.69909,1.4955,0.676355,-0.662064,0.677522,1.48977,0.677686,0.893726,-1.69908,0.789652,-1.69912,-0.0591282,-1.69909
0.02,1.49551,-0.676343,-0.662086,-0.677512,1.48978,-0.677678,0.893782,-1.69907,0.789707,-1.69912,-0.0592116,-1.69909,1.49551,0.676343,-0.662086,0.677512,1.48978,0.677678,0.89371,1.69907,0.789636,1.69912,-0.0591402,1.69909
0.021,1.49551,-0.67633,-0.662109,-0.677502,1.48978,-0.67767,0.893771,-1.69907,0.789696,-1.69912,-0.059231,-1.69909,1.49551,0.67633,-0.662109,0.677501,1.48978,0.67767,0.893693,1.69907,0.789619,1.69912,-0.0591533,1.69909
0.022,1.49551,-0.676316,-0.662133,-0.677491,1.48979,-0.677661,0.89376,1.69907,0.789685,1.69912,-0.0592518,1.69909,1.49551,0.676316,-0.662133,0.67749,1.48979,0.677661,0.893676,-1.69907,0.789601,-1.69912,-0.0591676,-1.69909
0.023,1.49552,-0.676302,-0.662158,-0.677479,1.48979,-0.677652,0.893748,1.69907,0.789674,1.69913,-0.0592741,1.69909,1.49552,0.676301,-0.662158,0.677479,1.48979,0.677652,0.893657,-1.69907,0.789583,-1.69913,-0.059183,-1.69909
0.024,1.49552,-0.676287,-0.662184,-0.677468,1.4898,-0.677643,0.893736,-1.69906,0.789662,-1.69913,-0.0592977,-1.69909,1.49552,0.676287,-0.662184,0.677467,1.4898,0.677642,0.893638,1.69906,0.789564,1.69913,-0.0591996,1.69909
0.025,1.49552,-0.676271,-0.662211,-0.677455,1.48981,-0.677633,0.893724,-1.69906,0.789649,-1.69913,-0.0593227,-1.69909,1.49552,0.676271,-0.662211,0.677455,1.48981,0.677633,0.893618,1.69906,0.789544,1.69913,-0.0592173,1.69909
0.026,1.49553,-0.676255,-0.662239,-0.677443,1.48981,-0.677624,0.893711,1.69906,0.789636,1.69914,-0.0593492,1.69909,1.49553,0.676255,-0.662239,0.677442,1.48981,0.677623,0.893598,-1.69906,0.789524,-1.69914,-0.0592361,-1.69909
0.027,-0.751117,-0.676238,-0.662268,-0.677429,1.48982,-0.677613,0.893697,1.69906,3.03615,1.69914,-0.059377,1.69909,-0.751117,0.676238,-0.662268,0.677429,1.48982,0.677613,0.893576,-1.69906,3.03627,-1.69914,-0.0592561,-1.69909
0.028,-0.751113,-0.676221,-0.662299,-0.677416,1.48983,-0.677603,0.893684,-1.69905,3.03613,-1.69914,-0.0594052,-1.69909,-0.751113,0.676221,-0.662299,0.677416,1.48983,0.677603,0.893555,1.69905,3.03626,1.69914,-0.0592763,1.69909
0.029,1.49554,-0.676203,-0.662332,-0.677402,1.48984,-0.677592,0.893671,-1.69905,0.789592,-1.69914,-0.0594339,-1.69909,1.49554,0.676203,-0.662332,0.677402,1.48984,0.677592,0.893534,1.69905,0.789456,1.69914,-0.0592966,1.69909
0.03,1.49555,-0.676185,-0.662366,-0.677388,-0.756808,-0.677581,3.14016,1.69905,0.789576,1.69915,-0.059464,1.69909,1.49555,0.676184,-0.662366,0.677388,-0.756808,0.677581,3.14031,-1.69905,0.789431,-1.69915,-0.0593181,-1.69909
0.031,1.49555,-0.676166,1.58425,-0.677374,-0.756802,-0.67757,3.14014,1.69904,0.78956,1.69915,-2.30599,1.69909,1.49555,0.676165,1.58425,0.677373,-0.756801,0.677569,3.1403,-1.69904,0.789406,-1.69915,-2.30615,-1.69909
0.032,1.49555,-0.676146,1.58421,-0.677359,1.48986,-0.677558,0.893627,-1.69904,0.789544,-1.69915,-2.30601,-1.69909,1.49555,0.676146,1.58421,0.677358,1.48986,0.677557,0.893464,1.69904,0.789381,1.69915,-2.30618,1.69909
0.033,1.49556,-0.676127,-0.662476,-0.677343,1.48986,-0.677545,0.893609,-1.69904,0.789526,-1.69916,-0.0595554,-1.69909,1.49556,0.676126,-0.662476,0.677342,1.48986,0.677545,0.893436,1.69903,0.789354,1.69916,-0.0593823,1.69909
0.034,1.49556,-0.676106,-0.662514,-0.677327,1.48987,-0.677533,0.893591,1.69903,0.789508,1.69916,-0.0595876,1.69909,1.49556,0.676106,-0.662514,0.677326,1.48987,0.677532,0.893408,-1.69903,0.789326,-1.69916,-0.0594048,-1.69909
0.035,1.49557,-0.676086,-0.662553,-0.67731,1.48988,-0.67752,0.893572,1.69903,0.789489,1.69917,-0.0596211,1.69909,1.49557,0.676085,-0.662553,0.67731,1.48988,0.67752,0.893379,-1.69903,0.789297,-1.69917,-0.0594286,-1.69909
0.036,1.49557,-0.676064,-0.662593,-0.677293,1.48989,-0.677507,0.893552,-1.69902,0.78947,-1.69917,-0.0596561,-1.69909,1.49557,0.676064,-0.662593,0.677293,1.48989,0.677507,0.89335,1.69902,0.789268,1.69917,-0.0594534,1.69909
0.037,1.49558,-0.676042,-0.662634,-0.677276,1.4899,-0.677494,0.893532,-1.69902,0.789451,-1.69918,-0.0596924,-1.69909,1.49558,0.676042,-0.662634,0.677275,1.4899,0.677493,0.893319,1.69902,0.789238,1.69918,-0.0594794,1.69909
0.038,1.49559,-0.676019,-0.662677,-0.677258,1.48991,-0.67748,0.893512,1.69902,0.789431,1.69918,-0.0597301,1.69909,1.49559,0.676019,-0.662676,0.677258,1.48991,0.67748,0.893288,-1.69902,0.789208,-1.69918,-0.0595065,-1.69909
0.039,1.49559,-0.675996,-0.66272,-0.67724,1.48992,-0.677466,0.893491,1.69901,0.78941,1.69919,-0.0597693,1.69909,1.49559,0.675996,-0.662719,0.677239,1.48992,0.677466,0.893256,-1.69901,0.789177,-1.69919,-0.0595348,-1.69909
0.04,1.4956,-0.675972,-0.662764,-0.677221,1.48993,-0.677452,0.893469,-1.69901,0.789389,-1.69919,-0.0598098,-1.69909,1.4956,0.675972,-0.662764,0.677221,1.48993,0.677452,0.893224,1.69901,0.789145,1.69919,-0.0595642,1.69909
0.041,-0.751044,-0.675948,-0.662809,-0.677202,1.48994,-0.677438,0.893447,-1.699,3.03576,-1.6992,-0.0598517,-1.69909,-0.751044,0.675947,-0.662809,0.677202,1.48994,0.677437,0.89319,1.699,3.03602,1.69919,-0.0595948,1.69909
0.042,-0.751037,-0.675923,-0.662856,-0.677183,1.48996,-0.677423,0.893426,1.699,3.03573,1.6992,-0.0598941,1.69909,-0.751036,0.675922,-0.662856,0.677182,1.48996,0.677423,0.893157,-1.699,3.036,-1.6992,-0.0596256,-1.69909
0.043,1.49562,-0.675897,1.58375,-0.677163,1.48997,-0.677408,0.893405,1.69899,0.789321,1.69921,-2.30631,1.69909,1.49562,0.675897,1.58375,0.677163,1.48997,0.677407,0.893124,-1.69899,0.789042,-1.69921,-2.30659,-1.69909
