x,y
0,0
time,x,y
0,0,0
0.001,2.86179,1.13966
0.002,2.86179,1.13967
0.003,2.86179,1.13967
0.004,2.86178,1.13967
0.005,2.86178,1.13967
0.006,2.86177,1.13968
0.007,2.86176,1.13968
0.008,2.86176,1.13969
0.009,2.86175,1.1397
0.01,2.86174,1.13971
0.011,2.86173,1.13971
0.012,2.86171,1.13972
0.013,2.8617,1.13973
0.014,2.86169,1.13975
0.015,2.86167,1.13976
0.016,2.86165,1.13977
0.017,2.86164,1.13979
0.018,2.86162,1.1398
0.019,2.8616,1.13982
0.02,2.86158,1.13984
0.021,2.86155,1.13985
0.022,2.86153,1.13987
0.023,2.86151,1.13989
0.024,2.86148,1.13991
0.025,2.86145,1.13994
0.026,2.86143,1.13996
0.027,2.8614,1.13998
0.028,2.86137,1.14001
0.029,2.86133,1.14003
0.03,2.8613,1.14006
0.031,2.86127,1.14009
0.032,2.86123,1.14011
0.033,2.8612,1.14014
0.034,2.86116,1.14017
0.035,2.86112,1.1402
0.036,2.86108,1.14023
0.037,2.86104,1.14027
0.038,2.861,1.1403
0.039,2.86096,1.14033
0.04,2.86091,1.14037
0.041,2.86087,1.14041
0.042,2.86082,1.14044
0.043,2.86078,1.14048
0.044,2.86073,1.14052
0.045,2.86068,1.14056
0.046,2.86063,1.1406
0.047,2.86058,1.14064
0.048,2.86052,1.14069
0.049,2.86047,1.14073
0.05,2.86041,1.14077
0.051,2.86036,1.14082
0.052,2.8603,1.14087
0.053,2.86024,1.14091
0.054,2.86018,1.14096
0.055,2.86012,1.14101
0.056,2.86006,1.14106
0.057,2.85999,1.14111
0.058,2.85993,1.14116
0.059,2.85986,1.14121
0.06,2.8598,1.14127
0.061,2.85973,1.14132
0.062,2.85966,1.14138
0.063,2.85959,1.14143
0.064,2.85952,1.14149
0.065,2.85944,1.14155
0.066,2.85937,1.14161
0.067,2.85929,1.14167
0.068,2.85922,1.14173
0.069,2.85914,1.14179
0.07,2.85906,1.14185
0.071,2.85898,1.14192
0.072,2.8589,1.14198
0.073,2.85882,1.14205
0.074,2.85874,1.14211
0.075,2.85865,1.14218
0.076,2.85856,1.14225
0.077,2.85848,1.14232
0.078,2.85839,1.14239
