x,y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-1.05116,-4.07468,-0.961877,-4.07582,1.18972,-4.07597,0.59387,-1.69909,-0.265333,-1.69909,-0.359026,-1.69909,-1.05116,4.07468,-0.961877,4.07582,1.18972,4.07597,0.59387,1.69909,-0.265334,1.69909,-0.359026,1.69909
0.002,1.19549,-0.676486,1.28477,-0.677629,-1.05693,-0.677778,2.84052,1.69909,-2.51198,1.69909,-2.60568,1.69909,1.19549,0.676486,1.28477,0.677629,-1.05693,0.677778,2.84052,-1.6991,-2.51199,-1.6991,-2.60568,-1.6991
0.003,-1.05117,-0.676483,-0.961878,-0.677626,1.18972,-0.677775,0.593871,1.69909,-0.265334,1.6991,-0.359026,1.69909,-1.05117,0.676483,-0.961877,0.677626,1.18972,0.677775,0.593868,-1.6991,-0.265332,-1.6991,-0.359024,-1.69909
0.004,-1.05117,-0.676479,-0.961879,-0.677623,1.18972,-0.677772,0.593871,-1.69909,-0.265335,-1.6991,-0.359026,-1.69909,-1.05117,0.676479,-0.961879,0.677622,1.18972,0.677771,0.593866,1.69909,-0.26533,1.6991,-0.359022,1.69909
0.005,-1.05117,-0.676475,-0.96188,-0.677619,1.18973,-0.677768,0.593872,-1.69909,-0.265335,-1.6991,-0.359027,-1.69909,-1.05117,0.676475,-0.96188,0.677619,1.18973,0.677767,0.593865,1.69909,-0.265328,1.6991,-0.35902,1.69909
0.006,-1.05117,-0.67647,-0.961882,-0.677616,1.18973,-0.677763,0.593874,1.69909,-0.265336,1.6991,-0.359027,1.69909,-1.05117,0.67647,-0.961882,0.677615,1.18973,0.677763,0.593865,-1.6991,-0.265326,-1.6991,-0.359017,-1.69909
0.007,-1.05117,-0.676465,-0.961885,-0.677612,1.18974,-0.677759,0.593877,1.69909,-0.265337,1.6991,-0.359027,1.69909,-1.05117,0.676464,-0.961884,0.677611,1.18974,0.677758,0.593865,-1.6991,-0.265324,-1.6991,-0.359015,-1.69909
0.008,-1.05118,-0.676459,-0.961888,-0.677607,1.18975,-0.677753,0.593881,-1.69909,-0.265338,-1.6991,-0.359028,-1.69909,-1.05118,0.676458,-0.961888,0.677607,1.18975,0.677753,0.593865,1.69909,-0.265322,1.6991,-0.359012,1.69909
0.009,-1.05118,-0.676452,-0.961891,-0.677603,1.18975,-0.677748,0.593885,-1.69909,-0.265339,-1.6991,-0.359028,-1.69909,-1.05118,0.676452,-0.961891,0.677602,1.18975,0.677748,0.593867,1.69909,-0.26532,1.6991,-0.35901,1.69909
