x,y
0,0
time,x,y
0,0,0
0.001,0.000143089,5.69832e-05
0.002,0.000429268,0.00017095
0.003,0.000715447,0.000284916
0.004,0.00100163,0.000398883
0.005,0.0012878,0.00051285
0.006,0.00157398,0.000626818
0.007,0.00186016,0.000740786
0.008,0.00214633,0.000854755
0.009,0.00243251,0.000968724
0.01,0.00271868,0.00108269
0.011,0.00300486,0.00119667
0.012,0.00329103,0.00131064
0.013,0.0035772,0.00142461
0.014,0.00386337,0.00153858
0.015,0.00414954,0.00165256
0.016,0.0044357,0.00176654
0.017,0.00472187,0.00188051
0.018,0.00500803,0.00199449
0.019,0.00529419,0.00210847
0.02,0.00558035,0.00222246
0.021,0.00586651,0.00233644
0.022,0.00615266,0.00245043
0.023,0.00643881,0.00256442
0.024,0.00672496,0.00267841
0.025,0.00701111,0.0027924
0.026,0.00729725,0.00290639
0.027,0.00758339,0.00302039
0.028,0.00786953,0.00313439
0.029,0.00815567,0.00324839
0.03,0.0084418,0.0033624
0.031,0.00872793,0.0034764
0.032,0.00901405,0.00359041
0.033,0.00930017,0.00370443
0.034,0.00958629,0.00381844
0.035,0.00987241,0.00393246
0.036,0.0101585,0.00404648
0.037,0.0104446,0.00416051
0.038,0.0107307,0.00427454
0.039,0.0110168,0.00438857
0.04,0.0113029,0.0045026
0.041,0.011589,0.00461664
0.042,0.0118751,0.00473068
0.043,0.0121612,0.00484473
0.044,0.0124472,0.00495878
0.045,0.0127333,0.00507284
0.046,0.0130194,0.00518689
0.047,0.0133054,0.00530096
0.048,0.0135915,0.00541502
0.049,0.0138775,0.00552909
0.05,0.0141636,0.00564317
0.051,0.0144496,0.00575725
0.052,0.0147357,0.00587133
0.053,0.0150217,0.00598542
0.054,0.0153077,0.00609951
0.055,0.0155937,0.00621361
0.056,0.0158797,0.00632772
0.057,0.0161657,0.00644182
0.058,0.0164517,0.00655594
0.059,0.0167377,0.00667006
0.06,0.0170237,0.00678418
0.061,0.0173097,0.00689831
0.062,0.0175956,0.00701245
0.063,0.0178816,0.00712659
0.064,0.0181676,0.00724073
0.065,0.0184535,0.00735488
0.066,0.0187395,0.00746904
0.067,0.0190254,0.00758321
0.068,0.0193113,0.00769738
