x,y
0.01,0.108253
time,x,y
0,0.01,0.108253
0.001,0.01,0.0360842
0.002,0.0100001,0.0360842
0.003,0.0100002,0.0360842
0.004,0.0100003,0.0360842
0.005,0.0100005,0.0360842
0.006,0.0100008,0.0360842
0.007,0.0100011,0.0360842
0.008,0.0100014,0.0360842
0.009,0.0100018,0.0360842
0.01,0.0100023,0.0360842
0.011,0.0100028,0.0360842
0.012,0.0100033,0.0360842
0.013,0.0100039,0.0360842
0.014,0.0100046,0.0360842
0.015,0.0100053,0.0360842
0.016,0.010006,0.0360842
0.017,0.0100068,0.0360842
0.018,0.0100077,0.0360842
0.019,0.0100086,0.0360842
0.02,0.0100095,0.0360842
0.021,0.0100105,0.0360842
0.022,0.0100116,0.0360842
0.023,0.0100127,0.0360842
0.024,0.0100138,0.0360842
0.025,0.010015,0.0360842
0.026,0.0100163,0.0360842
0.027,0.0100176,0.0360842
0.028,0.0100189,0.0360842
0.029,0.0100203,0.0360842
0.03,0.0100218,0.0360842
0.031,0.0100233,0.0360842
0.032,0.0100248,0.0360842
0.033,0.0100264,0.0360842
0.034,0.0100281,0.0360842
0.035,0.0100298,0.0360842
0.036,0.0100315,0.0360842
0.037,0.0100333,0.0360842
0.038,0.0100352,0.0360842
0.039,0.0100371,0.0360842
0.04,0.010039,0.0360842
0.041,0.010041,0.0360842
0.042,0.0100431,0.0360842
0.043,0.0100452,0.0360842
0.044,0.0100473,0.0360842
0.045,0.0100495,0.0360842
0.046,0.0100518,0.0360842
0.047,0.0100541,0.0360842
0.048,0.0100564,0.0360842
0.049,0.0100588,0.0360842
0.05,0.0100613,0.0360842
0.051,0.0100638,0.0360842
0.052,0.0100663,0.0360842
0.053,0.0100689,0.0360842
0.054,0.0100716,0.0360842
0.055,0.0100743,0.0360842
0.056,0.010077,0.0360842
0.057,0.0100798,0.0360842
0.058,0.0100827,0.0360842
0.059,0.0100856,0.0360842
0.06,0.0100885,0.0360842
0.061,0.0100915,0.0360842
0.062,0.0100946,0.0360842
0.063,0.0100977,0.0360842
0.064,0.0101008,0.0360842
0.065,0.010104,0.0360842
0.066,0.0101073,0.0360842
0.067,0.0101106,0.0360842
0.068,0.0101139,0.0360842
0.069,0.0101173,0.0360842
0.07,0.0101208,0.0360842
0.071,0.0101243,0.0360842
0.072,0.0101278,0.0360842
0.073,0.0101314,0.0360842
0.074,0.0101351,0.0360842
0.075,0.0101388,0.0360842
0.076,0.0101425,0.0360842
0.077,0.0101463,0.0360842
0.078,0.0101502,0.0360842
0.079,0.0101541,0.0360842
0.08,0.010158,0.0360842
0.081,0.010162,0.0360842
0.082,0.0101661,0.0360842
0.083,0.0101702,0.0360842
0.084,0.0101743,0.0360842
0.085,0.0101785,0.0360842
0.086,0.0101828,0.0360842
0.087,0.0101871,0.0360842
0.088,0.0101914,0.0360842
0.089,0.0101958,0.0360842
