x,y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.0721606,-2.37558,0.161448,-2.37673,0.066391,-2.37687,1.7172,-1.53707e-07,-1.38866,-1.55562e-07,-1.48235,-1.54703e-07,0.0721606,2.37558,0.161448,2.37673,0.066391,2.37687,1.7172,-1.53707e-07,-1.38866,-1.55562e-07,-1.48235,-1.54703e-07
0.002,0.0721606,-2.37558,0.161448,-2.37672,0.0663909,-2.37687,1.71719,-1.53707e-07,-1.38866,-1.55562e-07,-1.48235,-1.54702e-07,0.0721606,2.37558,0.161448,2.37672,0.0663909,2.37687,1.71719,-1.53707e-07,-1.38866,-1.55562e-07,-1.48235,-1.54703e-07
0.003,0.0721605,-2.37558,0.161448,-2.37672,0.0663909,-2.37687,1.71719,-1.53707e-07,-1.38865,-1.55562e-07,-1.48235,-1.54702e-07,0.0721605,2.37558,0.161448,2.37672,0.0663909,2.37687,1.71719,-1.53707e-07,-1.38865,-1.55562e-07,-1.48235,-1.54703e-07
0.004,0.0721604,-2.37557,0.161448,-2.37672,0.0663908,-2.37686,1.71718,-1.53706e-07,-1.38865,-1.55561e-07,-1.48234,-1.54702e-07,0.0721604,2.37557,0.161448,2.37672,0.0663908,2.37686,1.71718,-1.53707e-07,-1.38865,-1.55562e-07,-1.48234,-1.54703e-07
0.005,0.0721603,-2.37557,0.161448,-2.37671,0.0663907,-2.37686,1.71718,-1.53706e-07,-1.38864,-1.55561e-07,-1.48233,-1.54702e-07,0.0721603,2.37557,0.161448,2.37671,0.0663907,2.37686,1.71718,-1.53707e-07,-1.38864,-1.55562e-07,-1.48233,-1.54702e-07
0.006,0.0721602,-2.37556,0.161448,-2.3767,0.0663906,-2.37685,1.71717,-1.53706e-07,-1.38863,-1.55561e-07,-1.48233,-1.54701e-07,0.0721602,2.37556,0.161448,2.3767,0.0663906,2.37685,1.71717,-1.53706e-07,-1.38864,-1.55561e-07,-1.48233,-1.54702e-07
0.007,0.07216,-2.37555,0.161447,-2.37669,0.0663904,-2.37684,1.71715,-1.53705e-07,-1.38863,-1.5556e-07,-1.48231,-1.54701e-07,0.07216,2.37555,0.161447,2.37669,0.0663904,2.37684,1.71715,-1.53706e-07,-1.38863,-1.55561e-07,-1.48232,-1.54701e-07
0.008,0.0721598,-2.37554,0.161447,-2.37668,0.0663902,-2.37683,1.71714,-1.53705e-07,-1.38861,-1.5556e-07,-1.4823,-1.547e-07,0.0721598,2.37553,0.161447,2.37668,0.0663902,2.37683,1.71714,-1.53705e-07,-1.38861,-1.5556e-07,-1.4823,-1.54701e-07
0.009,0.0721596,-2.37552,0.161446,-2.37666,0.06639,-2.37681,1.71712,-1.53704e-07,-1.3886,-1.55559e-07,-1.48229,-1.547e-07,0.0721596,2.37552,0.161446,2.37666,0.06639,2.37681,1.71712,-1.53705e-07,-1.3886,-1.55559e-07,-1.48229,-1.547e-07
0.01,0.0721593,-2.37551,0.161446,-2.37665,0.0663898,-2.3768,1.71711,-1.53703e-07,-1.38859,-1.55558e-07,-1.48227,-1.54699e-07,0.0721593,2.37551,0.161446,2.37665,0.0663898,2.3768,1.71711,-1.53704e-07,-1.38859,-1.55559e-07,-1.48227,-1.547e-07
0.011,0.072159,-2.37549,0.161445,-2.37663,0.0663895,-2.37678,1.71709,-1.53703e-07,-1.38857,-1.55557e-07,-1.48226,-1.54698e-07,0.072159,2.37549,0.161445,2.37663,0.0663895,2.37678,1.71709,-1.53703e-07,-1.38857,-1.55558e-07,-1.48226,-1.54699e-07
0.012,0.0721587,-2.37547,0.161445,-2.37661,0.0663892,-2.37676,1.71706,-1.53702e-07,-1.38855,-1.55557e-07,-1.48224,-1.54698e-07,0.0721587,2.37547,0.161445,2.37661,0.0663892,2.37676,1.71706,-1.53702e-07,-1.38855,-1.55557e-07,-1.48224,-1.54698e-07
0.013,0.0721584,-2.37545,0.161444,-2.37659,0.0663889,-2.37674,1.71704,-1.53701e-07,-1.38853,-1.55556e-07,-1.48222,-1.54697e-07,0.0721584,2.37545,0.161444,2.37659,0.0663889,2.37674,1.71704,-1.53702e-07,-1.38853,-1.55556e-07,-1.48222,-1.54697e-07
0.014,0.072158,-2.37543,0.161443,-2.37657,0.0663885,-2.37672,1.71701,-1.537e-07,-1.38851,-1.55554e-07,-1.48219,-1.54696e-07,0.072158,2.37543,0.161443,2.37657,0.0663885,2.37672,1.71701,-1.53701e-07,-1.38851,-1.55555e-07,-1.4822,-1.54696e-07
0.015,0.0721576,-2.3754,0.161442,-2.37655,0.0663882,-2.3767,1.71699,-1.53699e-07,-1.38849,-1.55553e-07,-1.48217,-1.54695e-07,0.0721576,2.3754,0.161442,2.37655,0.0663882,2.3767,1.71699,-1.537e-07,-1.38849,-1.55554e-07,-1.48217,-1.54695e-07
0.016,0.0721572,-2.37538,0.161442,-2.37652,0.0663878,-2.37667,1.71696,-1.53698e-07,-1.38847,-1.55552e-07,-1.48214,-1.54693e-07,0.0721572,2.37538,0.161442,2.37652,0.0663878,2.37667,1.71696,-1.53698e-07,-1.38847,-1.55553e-07,-1.48215,-1.54694e-07
0.017,0.0721567,-2.37535,0.161441,-2.3765,0.0663873,-2.37665,1.71692,-1.53697e-07,-1.38844,-1.55551e-07,-1.48212,-1.54692e-07,0.0721567,2.37535,0.161441,2.3765,0.0663873,2.37665,1.71692,-1.53697e-07,-1.38844,-1.55551e-07,-1.48212,-1.54693e-07
0.018,0.0721563,-2.37532,0.16144,-2.37647,0.0663869,-2.37662,1.71689,-1.53696e-07,-1.38841,-1.55549e-07,-1.48209,-1.54691e-07,0.0721563,2.37532,0.16144,2.37647,0.0663869,2.37662,1.71689,-1.53696e-07,-1.38841,-1.5555e-07,-1.48209,-1.54691e-07
