lorentzForce,siteDistance,vAve
1.96,0.40,-0.350037
1.96,0.50,-0.350037
1.96,0.60,-0.349996
1.96,0.70,-0.350076
1.96,0.80,-0.35002
1.96,0.90,-0.350041
1.96,1.00,-0.0500174
1.98,-0.00,-0.247104
1.98,-0.10,-0.0514433
1.98,-0.20,-0.0500961
1.98,-0.30,0.154571
1.98,-0.40,0.154989
1.98,-0.50,0.149968
1.98,-0.60,0.144925
1.98,-0.70,0.13998
1.98,-0.80,0.134913
1.98,-0.90,0.128806
1.98,-1.00,0.104261
1.98,0.10,-0.350057
1.98,0.20,-0.350034
1.98,0.30,-0.350049
1.98,0.40,-0.350065
1.98,0.50,-0.350067
1.98,0.60,-0.350023
1.98,0.70,-0.350073
1.98,0.80,-0.251984
1.98,0.90,-0.0512041
1.98,1.00,-0.0500795
2.00,-0.00,-0.0511443
2.00,-0.10,-0.0512967
2.00,-0.20,-0.0512848
2.00,-0.30,-0.051411
2.00,-0.40,-0.0518096
2.00,-0.50,-0.0523188
2.00,-0.60,-0.052554
2.00,-0.70,-0.0516315
2.00,-0.80,-0.0504868
2.00,-0.90,-0.0503502
2.00,-1.00,-0.0505164
2.00,0.10,-0.051146
2.00,0.20,-0.0510722
2.00,0.30,-0.0510793
2.00,0.40,-0.051327
2.00,0.50,-0.0517054
2.00,0.60,-0.0524198
2.00,0.70,-0.0556503
2.00,0.80,-0.0634718
2.00,0.90,-0.0523869
2.00,1.00,-0.050619
2.02,-0.00,-0.0707064
2.02,-0.10,-0.0668648
2.02,-0.20,-0.0683756
2.02,-0.30,-0.0651956
2.02,-0.40,-0.0639066
2.02,-0.50,-0.063922
2.02,-0.60,-0.0600824
2.02,-0.70,-0.0588722
2.02,-0.80,-0.0569598
2.02,-0.90,-0.0557517
2.02,-1.00,-0.0525163
2.02,0.10,-0.069196
2.02,0.20,-0.0651068
2.02,0.30,-0.0541859
2.02,0.40,-0.0541887
2.02,0.50,-0.0538708
2.02,0.60,-0.0535016
2.02,0.70,-0.052807
2.02,0.80,-0.0523468
2.02,0.90,-0.0519509
2.02,1.00,-0.0500483
2.04,-0.00,-0.0516029
2.04,-0.10,-0.0515975
2.04,-0.20,-0.0515299
2.04,-0.30,-0.0514131
2.04,-0.40,-0.0515401
2.04,-0.50,-0.0515126
2.04,-0.60,-0.0515256
2.04,-0.70,-0.051584
2.04,-0.80,-0.0516068
2.04,-0.90,-0.0517702
2.04,-1.00,-0.052032
2.04,0.10,-0.0516391
2.04,0.20,-0.051857
2.04,0.30,-0.0520197
2.04,0.40,-0.0521666
2.04,0.50,-0.0524327
2.04,0.60,-0.0528551
2.04,0.70,-0.0529935
2.04,0.80,-0.0534722
2.04,0.90,-0.0540048
2.04,1.00,-0.0538232
