x,y
0,0
time,x,y
0.1,1.39649,0
0.101,1.39649,0
0.102,1.39649,0
0.103,1.3965,0
0.104,1.3965,0
0.105,1.3965,0
0.106,1.3965,0
0.107,1.3965,0
0.108,1.3965,0
0.109,1.39651,0
0.11,1.39651,0
0.111,1.39651,0
0.112,1.39651,0
0.113,1.39651,0
0.114,1.39652,0
0.115,1.39652,0
0.116,1.39652,0
0.117,1.39652,0
0.118,1.39652,0
0.119,1.39652,0
0.12,1.39653,0
0.121,1.39653,0
0.122,1.39653,0
0.123,1.39653,0
0.124,1.39653,0
0.125,1.39654,0
0.126,1.39654,0
0.127,1.39654,0
0.128,1.39654,0
0.129,1.39654,0
0.13,1.39655,0
0.131,1.39655,0
0.132,1.39655,0
0.133,1.39655,0
0.134,1.39656,0
0.135,1.39656,0
0.136,1.39656,0
0.137,1.39656,0
0.138,1.39656,0
0.139,1.39657,0
0.14,1.39657,0
0.141,1.39657,0
0.142,1.39657,0
0.143,1.39658,0
0.144,1.39658,0
0.145,1.39658,0
0.146,1.39658,0
0.147,1.39659,0
0.148,1.39659,0
0.149,1.39659,0
0.15,1.39659,0
0.151,1.3966,0
0.152,1.3966,0
0.153,1.3966,0
0.154,1.3966,0
0.155,1.3966,0
0.156,1.39661,0
0.157,1.39661,0
0.158,1.39661,0
0.159,1.39662,0
0.16,1.39662,0
0.161,1.39662,0
0.162,1.39662,0
0.163,1.39663,0
0.164,1.39663,0
0.165,1.39663,0
0.166,1.39663,0
0.167,1.39664,0
0.168,1.39664,0
0.169,1.39664,0
0.17,1.39664,0
0.171,1.39665,0
0.172,1.39665,0
0.173,1.39665,0
0.174,1.39666,0
0.175,1.39666,0
0.176,1.39666,0
0.177,1.39666,0
0.178,1.39667,0
0.179,1.39667,0
0.18,1.39667,0
0.181,1.39668,0
0.182,1.39668,0
0.183,1.39668,0
0.184,1.39668,0
0.185,1.39669,0
0.186,1.39669,0
0.187,1.39669,0
0.188,1.3967,0
0.189,1.3967,0
0.19,1.3967,0
0.191,1.3967,0
0.192,1.39671,0
0.193,1.39671,0
0.194,1.39671,0
0.195,1.39672,0
0.196,1.39672,0
0.197,1.39672,0
0.198,1.39673,0
0.199,1.39673,0
0.2,1.39673,0
0.201,1.39674,0
0.202,1.39674,0
0.203,1.39674,0
0.204,1.39675,0
0.205,1.39675,0
0.206,1.39675,0
0.207,1.39676,0
0.208,1.39676,0
0.209,1.39676,0
0.21,1.39677,0
0.211,1.39677,0
0.212,1.39677,0
0.213,1.39678,0
0.214,1.39678,0
0.215,1.39678,0
0.216,1.39679,0
