x,y
0.01,0.108253
0.2,0.012779,0.0360842
0.201,0.0128069,0.0360842
0.202,0.012835,0.0360842
0.203,0.0128632,0.0360842
0.204,0.0128915,0.0360842
0.205,0.01292,0.0360842
0.206,0.0129486,0.0360842
0.207,0.0129774,0.0360842
0.208,0.0130063,0.0360842
0.209,0.0130354,0.0360842
0.21,0.0130646,0.0360842
0.211,0.0130939,0.0360842
0.212,0.0131233,0.0360842
0.213,0.013153,0.0360842
0.214,0.0131827,0.0360842
0.215,0.0132126,0.0360842
0.216,0.0132426,0.0360842
0.217,0.0132728,0.0360842
0.218,0.0133031,0.0360842
0.219,0.0133335,0.0360842
0.22,0.0133641,0.0360842
0.221,0.0133948,0.0360842
0.222,0.0134257,0.0360842
0.223,0.0134567,0.0360842
0.224,0.0134878,0.0360842
0.225,0.0135191,0.0360842
0.226,0.0135505,0.0360842
0.227,0.0135821,0.0360842
0.228,0.0136138,0.0360842
0.229,0.0136457,0.0360842
0.23,0.0136776,0.0360842
0.231,0.0137098,0.0360842
0.232,0.013742,0.0360842
0.233,0.0137744,0.0360842
0.234,0.013807,0.0360842
0.235,0.0138396,0.0360842
0.236,0.0138725,0.0360842
0.237,0.0139054,0.0360842
0.238,0.0139385,0.0360842
0.239,0.0139717,0.0360842
0.24,0.0140051,0.0360842
0.241,0.0140386,0.0360842
0.242,0.0140723,0.0360842
0.243,0.0141061,0.0360842
0.244,0.01414,0.0360842
0.245,0.0141741,0.0360842
0.246,0.0142083,0.0360842
0.247,0.0142427,0.0360842
0.248,0.0142772,0.0360842
0.249,0.0143118,0.0360842
0.25,0.0143466,0.0360842
0.251,0.0143815,0.0360842
0.252,0.0144166,0.0360842
0.253,0.0144517,0.0360842
0.254,0.0144871,0.0360842
0.255,0.0145226,0.0360842
0.256,0.0145582,0.0360842
0.257,0.0145939,0.0360842
0.258,0.0146298,0.0360842
0.259,0.0146658,0.0360842
0.26,0.014702,0.0360842
0.261,0.0147383,0.0360842
0.262,0.0147748,0.0360842
0.263,0.0148114,0.0360842
0.264,0.0148481,0.0360842
0.265,0.014885,0.0360842
0.266,0.014922,0.0360842
0.267,0.0149591,0.0360842
0.268,0.0149964,0.0360842
0.269,0.0150338,0.0360842
0.27,0.0150714,0.0360842
0.271,0.0151091,0.0360842
0.272,0.015147,0.0360842
0.273,0.015185,0.0360842
0.274,0.0152231,0.0360842
0.275,0.0152614,0.0360842
0.276,0.0152998,0.0360842
0.277,0.0153383,0.0360842
0.278,0.015377,0.0360842
0.279,0.0154158,0.0360842
0.28,0.0154548,0.0360842
0.281,0.0154939,0.0360842
0.282,0.0155331,0.0360842
0.283,0.0155725,0.0360842
0.284,0.015612,0.0360842
0.285,0.0156517,0.0360842
0.286,0.0156915,0.0360842
0.287,0.0157315,0.0360842
0.288,0.0157715,0.0360842
0.289,0.0158118,0.0360842
0.29,0.0158521,0.0360842
0.291,0.0158926,0.0360842
0.292,0.0159333,0.0360842
0.293,0.0159741,0.0360842
0.294,0.016015,0.0360842
0.295,0.016056,0.0360842
0.296,0.0160972,0.0360842
0.297,0.0161386,0.0360842
0.298,0.0161801,0.0360842
0.299,0.0162217,0.0360842
0.3,0.0162634,0.0360842
0.301,0.0163053,0.0360842
0.302,0.0163474,0.0360842
0.303,0.0163896,0.0360842
0.304,0.0164319,0.0360842
0.305,0.0164743,0.0360842
0.306,0.0165169,0.0360842
0.307,0.0165597,0.0360842
0.308,0.0166025,0.0360842
0.309,0.0166456,0.0360842
0.31,0.0166887,0.0360842
0.311,0.016732,0.0360842
0.312,0.0167755,0.0360842
0.313,0.016819,0.0360842
0.314,0.0168627,0.0360842
0.315,0.0169066,0.0360842
0.316,0.0169506,0.0360842
0.317,0.0169947,0.0360842
0.318,0.017039,0.0360842
0.319,0.0170834,0.0360842
0.32,0.017128,0.0360842
0.321,0.0171727,0.0360842
0.322,0.0172175,0.0360842
0.323,0.0172625,0.0360842
0.324,0.0173076,0.0360842
0.325,0.0173528,0.0360842
0.326,0.0173982,0.0360842
0.327,0.0174438,0.0360842
0.328,0.0174894,0.0360842
0.329,0.0175353,0.0360842
0.33,0.0175812,0.0360842
0.331,0.0176273,0.0360842
0.332,0.0176735,0.0360842
0.333,0.0177199,0.0360842
0.334,0.0177664,0.0360842
0.335,0.0178131,0.0360842
0.336,0.0178598,0.0360842
0.337,0.0179068,0.0360842
0.338,0.0179538,0.0360842
0.339,0.0180011,0.0360842
0.34,0.0180484,0.0360842
0.341,0.0180959,0.0360842
0.342,0.0181435,0.0360842
0.343,0.0181913,0.0360842
0.344,0.0182392,0.0360842
0.345,0.0182872,0.0360842
0.346,0.0183354,0.0360842
0.347,0.0183838,0.0360842
0.348,0.0184322,0.0360842
0.349,0.0184808,0.0360842
0.35,0.0185296,0.0360842
0.351,0.0185785,0.0360842
0.352,0.0186275,0.0360842
0.353,0.0186766,0.0360842
0.354,0.018726,0.0360842
0.355,0.0187754,0.0360842
0.356,0.018825,0.0360842
0.357,0.0188747,0.0360842
0.358,0.0189246,0.0360842
0.359,0.0189746,0.0360842
0.36,0.0190247,0.0360842
0.361,0.019075,0.0360842
0.362,0.0191254,0.0360842
0.363,0.019176,0.0360842
0.364,0.0192267,0.0360842
0.365,0.0192775,0.0360842
0.366,0.0193285,0.0360842
0.367,0.0193796,0.0360842
0.368,0.0194309,0.0360842
0.369,0.0194823,0.0360842
0.37,0.0195338,0.0360842
0.371,0.0195855,0.0360842
0.372,0.0196373,0.0360842
0.373,0.0196893,0.0360842
0.374,0.0197414,0.0360842
0.375,0.0197936,0.0360842
0.376,0.019846,0.0360842
0.377,0.0198985,0.0360842
0.378,0.0199512,0.0360842
0.379,0.020004,0.0360842
0.38,0.0200569,0.0360842
0.381,0.02011,0.0360842
0.382,0.0201632,0.0360842
0.383,0.0202166,0.0360842
0.384,0.0202701,0.0360842
0.385,0.0203237,0.0360842
0.386,0.0203775,0.0360842
0.387,0.0204314,0.0360842
0.388,0.0204855,0.0360842
0.389,0.0205397,0.0360842
0.39,0.020594,0.0360842
0.391,0.0206485,0.0360842
0.392,0.0207031,0.0360842
0.393,0.0207578,0.0360842
0.394,0.0208127,0.0360842
0.395,0.0208678,0.0360842
0.396,0.020923,0.0360842
0.397,0.0209783,0.0360842
0.398,0.0210337,0.0360842
0.399,0.0210893,0.0360842
0.4,0.021145,0.0360842
0.401,0.0212009,0.0360842
0.402,0.0212569,0.0360842
0.403,0.0213131,0.0360842
0.404,0.0213694,0.0360842
0.405,0.0214258,0.0360842
0.406,0.0214824,0.0360842
0.407,0.0215391,0.0360842
0.408,0.0215959,0.0360842
0.409,0.0216529,0.0360842
0.41,0.0217101,0.0360842
0.411,0.0217673,0.0360842
0.412,0.0218247,0.0360842
0.413,0.0218823,0.0360842
0.414,0.02194,0.0360842
0.415,0.0219978,0.0360842
0.416,0.0220558,0.0360842
0.417,0.0221139,0.0360842
0.418,0.0221721,0.0360842
0.419,0.0222305,0.0360842
0.42,0.0222891,0.0360842
0.421,0.0223477,0.0360842
0.422,0.0224065,0.0360842
0.423,0.0224655,0.0360842
0.424,0.0225246,0.0360842
0.425,0.0225838,0.0360842
0.426,0.0226432,0.0360842
0.427,0.0227027,0.0360842
0.428,0.0227623,0.0360842
0.429,0.0228221,0.0360842
0.43,0.022882,0.0360842
0.431,0.0229421,0.0360842
0.432,0.0230023,0.0360842
0.433,0.0230627,0.0360842
0.434,0.0231231,0.0360842
0.435,0.0231838,0.0360842
0.436,0.0232445,0.0360842
0.437,0.0233054,0.0360842
0.438,0.0233665,0.0360842
0.439,0.0234277,0.0360842
0.44,0.023489,0.0360842
0.441,0.0235505,0.0360842
0.442,0.0236121,0.0360842
0.443,0.0236738,0.0360842
0.444,0.0237357,0.0360842
0.445,0.0237977,0.0360842
0.446,0.0238599,0.0360842
0.447,0.0239222,0.0360842
0.448,0.0239846,0.0360842
0.449,0.0240472,0.0360842
0.45,0.0241099,0.0360842
0.451,0.0241728,0.0360842
0.452,0.0242358,0.0360842
0.453,0.0242989,0.0360842
0.454,0.0243622,0.0360842
0.455,0.0244256,0.0360842
0.456,0.0244892,0.0360842
0.457,0.0245529,0.0360842
0.458,0.0246167,0.0360842
0.459,0.0246807,0.0360842
0.46,0.0247448,0.0360842
0.461,0.0248091,0.0360842
0.462,0.0248735,0.0360842
0.463,0.024938,0.0360842
0.464,0.0250027,0.0360842
0.465,0.0250675,0.0360842
0.466,0.0251325,0.0360842
0.467,0.0251976,0.0360842
0.468,0.0252628,0.0360842
0.469,0.0253282,0.0360842
0.47,0.0253937,0.0360842
0.471,0.0254594,0.0360842
0.472,0.0255252,0.0360842
0.473,0.0255911,0.0360842
0.474,0.0256572,0.0360842
0.475,0.0257234,0.0360842
0.476,0.0257898,0.0360842
0.477,0.0258563,0.0360842
0.478,0.0259229,0.0360842
0.479,0.0259897,0.0360842
0.48,0.0260566,0.0360842
0.481,0.0261236,0.0360842
0.482,0.0261908,0.0360842
0.483,0.0262582,0.0360842
0.484,0.0263257,0.0360842
0.485,0.0263933,0.0360842
0.486,0.026461,0.0360842
0.487,0.0265289,0.0360842
0.488,0.026597,0.0360842
0.489,0.0266651,0.0360842
0.49,0.0267334,0.0360842
0.491,0.0268019,0.0360842
0.492,0.0268705,0.0360842
0.493,0.0269392,0.0360842
0.494,0.0270081,0.0360842
0.495,0.0270771,0.0360842
0.496,0.0271463,0.0360842
0.497,0.0272156,0.0360842
0.498,0.027285,0.0360842
0.499,0.0273546,0.0360842
0.5,0.0274243,0.0360842
0.501,0.0274941,0.0360842
0.502,0.0275641,0.0360842
0.503,0.0276343,0.0360842
0.504,0.0277045,0.0360842
0.505,0.0277749,0.0360842
0.506,0.0278455,0.0360842
0.507,0.0279162,0.0360842
0.508,0.027987,0.0360842
0.509,0.028058,0.0360842
0.51,0.0281291,0.0360842
0.511,0.0282003,0.0360842
0.512,0.0282717,0.0360842
0.513,0.0283433,0.0360842
0.514,0.0284149,0.0360842
0.515,0.0284867,0.0360842
0.516,0.0285587,0.0360842
0.517,0.0286308,0.0360842
0.518,0.028703,0.0360842
0.519,0.0287754,0.0360842
0.52,0.0288479,0.0360842
0.521,0.0289205,0.0360842
0.522,0.0289933,0.0360842
