lorentzForce,siteDistance,vAve
1.60,-0.10,-0.025027
1.60,-0.20,-0.0250018
1.60,-0.30,-0.0250741
1.60,-0.40,-0.0250244
1.60,-0.50,-0.0250727
1.60,-0.60,-0.0250088
1.60,-0.70,-0.237576
1.60,-0.80,-0.0250176
1.60,-0.90,-0.0250481
1.60,-1.00,-0.0250084
1.60,-1.10,-0.0250801
1.60,-1.20,-0.0250504
1.60,-1.30,-0.0250194
1.60,-1.40,-0.0250115
1.60,-1.50,-0.0250237
1.60,-1.60,-0.0268776
1.60,-1.70,-0.0765853
1.60,-1.80,-0.145233
1.60,-1.90,-0.176898
1.60,-2.00,-0.177493
1.60,0.00,-0.0250646
1.60,0.10,-0.0250194
1.60,0.20,-0.0250014
1.60,0.30,-0.0250337
1.60,0.40,-0.0250451
1.60,0.50,-0.0250603
1.60,0.60,-0.0250565
1.60,0.70,-0.082346
1.60,0.80,-0.162495
1.60,0.90,-0.157554
1.60,1.00,-0.152495
1.60,1.10,-0.147549
1.60,1.20,-0.143157
1.60,1.30,-0.143253
1.60,1.40,-0.155088
1.60,1.50,-0.175836
1.60,1.60,-0.122523
1.60,1.70,-0.117537
1.60,1.80,-0.112531
1.60,1.90,-0.107544
1.60,2.00,-0.102692
1.62,-0.10,-0.0250425
1.62,-0.20,-0.0250193
1.62,-0.30,-0.0250907
1.62,-0.40,-0.0250483
1.62,-0.50,-0.0250629
1.62,-0.60,-0.025035
1.62,-0.70,-0.0250238
1.62,-0.80,-0.0250638
1.62,-0.90,-0.0250852
1.62,-1.00,-0.0250079
1.62,-1.10,-0.0250319
1.62,-1.20,-0.0250898
1.62,-1.30,-0.0250811
1.62,-1.40,-0.0250015
1.62,-1.50,-0.0300925
1.62,-1.60,-0.0976568
1.62,-1.70,-0.140192
1.62,-1.80,-0.162639
1.62,-1.90,-0.176243
1.62,-2.00,-0.176224
1.62,0.00,-0.0250792
1.62,0.10,-0.0250302
1.62,0.20,-0.0250141
1.62,0.30,-0.0250452
1.62,0.40,-0.0250536
1.62,0.50,-0.0250614
1.62,0.60,-0.172543
1.62,0.70,-0.167527
1.62,0.80,-0.162548
1.62,0.90,-0.157584
1.62,1.00,-0.152909
1.62,1.10,-0.151929
1.62,1.20,-0.164499
1.62,1.30,-0.190698
1.62,1.40,-0.216119
1.62,1.50,-0.14074
1.62,1.60,-0.122504
1.62,1.70,-0.117593
1.62,1.80,-0.112546
1.62,1.90,-0.107602
1.62,2.00,-0.0890483
1.64,-0.10,-0.0250651
1.64,-0.20,-0.0250398
1.64,-0.30,-0.0249982
1.64,-0.40,-0.222533
1.64,-0.50,-0.0250124
1.64,-0.60,-0.025012
1.64,-0.70,-0.0250221
1.64,-0.80,-0.0250854
1.64,-0.90,-0.0250806
1.64,-1.00,-0.025084
1.64,-1.10,-0.0250731
1.64,-1.20,-0.025001
1.64,-1.30,-0.026595
1.64,-1.40,-0.0513035
1.64,-1.50,-0.118937
1.64,-1.60,-0.146452
1.64,-1.70,-0.164389
1.64,-1.80,-0.17658
1.64,-1.90,-0.183004
1.64,-2.00,-0.183149
1.64,0.00,-0.0250003
1.64,0.10,-0.0250437
1.64,0.20,-0.025025
1.64,0.30,-0.0250623
1.64,0.40,-0.102543
1.64,0.50,-0.177534
1.64,0.60,-0.17254
1.64,0.70,-0.167506
1.64,0.80,-0.162865
1.64,0.90,-0.161605
1.64,1.00,-0.169592
1.64,1.10,-0.194271
1.64,1.20,-0.222724
1.64,1.30,-0.138117
1.64,1.40,-0.133389
1.64,1.50,-0.127588
1.64,1.60,-0.12251
1.64,1.70,-0.117537
1.64,1.80,-0.112559
1.64,1.90,-0.107584
1.64,2.00,-0.0992617
1.66,-0.10,-0.0250795
1.66,-0.20,-0.0250776
1.66,-0.30,-0.025089
1.66,-0.40,-0.0250122
1.66,-0.50,-0.0250549
1.66,-0.60,-0.0250076
1.66,-0.70,-0.0250247
1.66,-0.80,-0.0250796
1.66,-0.90,-0.0250165
1.66,-1.00,-0.025027
1.66,-1.10,-0.0251835
1.66,-1.20,-0.0330496
1.66,-1.30,-0.103811
1.66,-1.40,-0.138898
1.66,-1.50,-0.157304
1.66,-1.60,-0.170729
1.66,-1.70,-0.181416
1.66,-1.80,-0.188974
1.66,-1.90,-0.192034
1.66,-2.00,-0.165019
1.66,0.00,-0.0250138
1.66,0.10,-0.0250585
1.66,0.20,-0.0250444
1.66,0.30,-0.187535
1.66,0.40,-0.182567
1.66,0.50,-0.177548
1.66,0.60,-0.173209
1.66,0.70,-0.172724
1.66,0.80,-0.179089
1.66,0.90,-0.199864
1.66,1.00,-0.223563
1.66,1.10,-0.249824
1.66,1.20,-0.21713
1.66,1.30,-0.137634
1.66,1.40,-0.132579
1.66,1.50,-0.127538
1.66,1.60,-0.122532
1.66,1.70,-0.117528
1.66,1.80,-0.112506
1.66,1.90,-0.105704
1.66,2.00,-0.102562
1.68,-0.10,-0.0250336
1.68,-0.20,-0.0250416
1.68,-0.30,-0.0250238
1.68,-0.40,-0.0250062
1.68,-0.50,-0.0249987
1.68,-0.60,-0.0250619
1.68,-0.70,-0.0250327
1.68,-0.80,-0.0250392
1.68,-0.90,-0.0250292
1.68,-1.00,-0.0275253
1.68,-1.10,-0.0901209
1.68,-1.20,-0.140333
1.68,-1.30,-0.157728
1.68,-1.40,-0.168629
1.68,-1.50,-0.172777
1.68,-1.60,-0.166913
1.68,-1.70,-0.0807691
1.68,-1.80,-0.106963
1.68,-1.90,-0.136624
1.68,-2.00,-0.161763
1.68,0.00,-0.025027
1.68,0.10,-0.197553
1.68,0.20,-0.192504
1.68,0.30,-0.187524
1.68,0.40,-0.184289
1.68,0.50,-0.186423
1.68,0.60,-0.19804
1.68,0.70,-0.217658
1.68,0.80,-0.234751
1.68,0.90,-0.253172
1.68,1.00,-0.280861
1.68,1.10,-0.151999
1.68,1.20,-0.142591
1.68,1.30,-0.137585
1.68,1.40,-0.132507
1.68,1.50,-0.127504
1.68,1.60,-0.122561
1.68,1.70,-0.117553
1.68,1.80,-0.112544
1.68,1.90,-0.107532
1.68,2.00,-0.102557
1.70,-0.10,-0.207832
1.70,-0.20,-0.212521
1.70,-0.30,-0.0250531
1.70,-0.40,-0.0250138
1.70,-0.50,-0.0250254
1.70,-0.60,-0.0250573
1.70,-0.70,-0.0250134
1.70,-0.80,-0.0256832
1.70,-0.90,-0.0584744
1.70,-1.00,-0.136046
1.70,-1.10,-0.162643
1.70,-1.20,-0.159354
1.70,-1.30,-0.0418787
1.70,-1.40,-0.0640848
1.70,-1.50,-0.0859903
1.70,-1.60,-0.106831
1.70,-1.70,-0.127371
1.70,-1.80,-0.149044
1.70,-1.90,-0.165053
1.70,-2.00,-0.17931
1.70,0.00,-0.204446
1.70,0.10,-0.391151
1.70,0.20,-0.195956
1.70,0.30,-0.206223
1.70,0.40,-0.226648
1.70,0.50,-0.243298
1.70,0.60,-0.256202
1.70,0.70,-0.26725
1.70,0.80,-0.280576
1.70,0.90,-0.295503
1.70,1.00,-0.152947
1.70,1.10,-0.14754
1.70,1.20,-0.142592
1.70,1.30,-0.137509
1.70,1.40,-0.132578
1.70,1.50,-0.127561
1.70,1.60,-0.122545
1.70,1.70,-0.117583
1.70,1.80,-0.112561
1.70,1.90,-0.10752
1.70,2.00,-0.102998
1.72,-0.10,-0.207845
1.72,-0.20,-0.212568
1.72,-0.30,-0.217554
1.72,-0.40,-0.222587
1.72,-0.50,-0.0250841
1.72,-0.60,-0.0250451
1.72,-0.70,-0.0300054
1.72,-0.80,-0.124545
1.72,-0.90,-0.162478
1.72,-1.00,-0.030655
1.72,-1.10,-0.0504924
1.72,-1.20,-0.0810009
1.72,-1.30,-0.103482
1.72,-1.40,-0.119957
1.72,-1.50,-0.133004
1.72,-1.60,-0.145643
1.72,-1.70,-0.15603
1.72,-1.80,-0.168381
1.72,-1.90,-0.182127
1.72,-2.00,-0.191324
1.72,0.00,-0.20428
1.72,0.10,-0.204371
1.72,0.20,-0.268082
1.72,0.30,-0.272434
1.72,0.40,-0.282141
1.72,0.50,-0.292181
1.72,0.60,-0.299401
1.72,0.70,-0.307589
1.72,0.80,-0.317972
1.72,0.90,-0.157763
1.72,1.00,-0.152538
1.72,1.10,-0.147519
1.72,1.20,-0.142499
1.72,1.30,-0.137576
1.72,1.40,-0.132559
1.72,1.50,-0.127569
1.72,1.60,-0.122501
1.72,1.70,-0.117545
1.72,1.80,-0.112502
1.72,1.90,-0.107747
1.72,2.00,-0.10385
1.74,-0.10,-0.207611
1.74,-0.20,-0.212508
1.74,-0.30,-0.217536
1.74,-0.40,-0.222534
1.74,-0.50,-0.227541
1.74,-0.60,-0.232546
