time,x,y,x,y
0,0.3,0.4,0.4,0.4
0.001,0.3,0.4,0.4,0.4
0.002,0.3,0.4,0.4,0.4
0.003,0.3,0.4,0.4,0.4
0.004,0.299999,0.4,0.400001,0.4
0.005,0.299999,0.4,0.400001,0.4
0.006,0.299999,0.4,0.400001,0.4
0.007,0.299998,0.4,0.400002,0.4
0.008,0.299997,0.4,0.400003,0.4
0.009,0.299997,0.4,0.400003,0.4
0.01,0.299996,0.4,0.400004,0.4
0.011,0.299995,0.4,0.400005,0.4
0.012,0.299994,0.4,0.400006,0.4
0.013,0.299993,0.4,0.400007,0.4
0.014,0.299992,0.4,0.400008,0.4
0.015,0.29999,0.4,0.40001,0.4
0.016,0.299989,0.4,0.400011,0.4
0.017,0.299988,0.4,0.400012,0.4
0.018,0.299986,0.4,0.400014,0.4
0.019,0.299985,0.4,0.400015,0.4
0.02,0.299983,0.4,0.400017,0.4
0.021,0.299981,0.4,0.400019,0.4
0.022,0.299979,0.4,0.400021,0.4
0.023,0.299977,0.4,0.400023,0.4
0.024,0.299975,0.4,0.400025,0.4
0.025,0.299973,0.4,0.400027,0.4
0.026,0.299971,0.4,0.400029,0.4
0.027,0.299968,0.4,0.400032,0.4
0.028,0.299966,0.4,0.400034,0.4
0.029,0.299963,0.4,0.400037,0.4
0.03,0.299961,0.4,0.400039,0.4
0.031,0.299958,0.4,0.400042,0.4
0.032,0.299955,0.4,0.400045,0.4
0.033,0.299952,0.4,0.400048,0.4
0.034,0.299949,0.4,0.400051,0.4
0.035,0.299946,0.4,0.400054,0.4
0.036,0.299943,0.4,0.400057,0.4
0.037,0.29994,0.4,0.40006,0.4
0.038,0.299936,0.4,0.400064,0.4
0.039,0.299933,0.4,0.400067,0.4
0.04,0.299929,0.4,0.400071,0.4
0.041,0.299926,0.4,0.400074,0.4
0.042,0.299922,0.4,0.400078,0.4
0.043,0.299918,0.4,0.400082,0.4
0.044,0.299914,0.4,0.400086,0.4
0.045,0.29991,0.4,0.40009,0.4
0.046,0.299906,0.4,0.400094,0.4
0.047,0.299902,0.4,0.400098,0.4
0.048,0.299898,0.4,0.400102,0.4
0.049,0.299894,0.4,0.400106,0.4
0.05,0.299889,0.4,0.400111,0.4
0.051,0.299885,0.4,0.400115,0.4
0.052,0.29988,0.4,0.40012,0.4
0.053,0.299875,0.4,0.400125,0.4
0.054,0.29987,0.4,0.40013,0.4
0.055,0.299866,0.4,0.400134,0.4
0.056,0.299861,0.4,0.400139,0.4
0.057,0.299856,0.4,0.400144,0.4
0.058,0.29985,0.4,0.40015,0.4
0.059,0.299845,0.4,0.400155,0.4
0.06,0.29984,0.4,0.40016,0.4
0.061,0.299834,0.4,0.400166,0.4
0.062,0.299829,0.4,0.400171,0.4
