x,y
0,0
0,0
time,x,y,x,y
0.167,-8.82515,0,8.82515,0
0.168,-8.8225,0,8.8225,0
0.169,-8.81984,0,8.81984,0
0.17,-8.81717,0,8.81717,0
0.171,-8.81448,0,8.81448,0
0.172,-8.81178,0,8.81178,0
0.173,-8.80906,0,8.80906,0
0.174,-8.80633,0,8.80633,0
0.175,-8.80358,0,8.80358,0
0.176,-8.80082,0,8.80082,0
0.177,-8.79804,0,8.79804,0
0.178,-8.79525,0,8.79525,0
0.179,-8.79244,0,8.79244,0
0.18,-8.78962,0,8.78962,0
0.181,-8.78679,0,8.78679,0
0.182,-8.78394,0,8.78394,0
0.183,-8.78107,0,8.78107,0
0.184,-8.7782,0,8.7782,0
0.185,-8.7753,0,8.7753,0
0.186,-8.7724,0,8.7724,0
0.187,-8.76947,0,8.76947,0
0.188,-8.76654,0,8.76654,0
0.189,-8.76359,0,8.76359,0
0.19,-8.76062,0,8.76062,0
0.191,-8.75764,0,8.75764,0
0.192,-8.75465,0,8.75465,0
0.193,-8.75164,0,8.75164,0
0.194,-8.74862,0,8.74862,0
0.195,-8.74558,0,8.74558,0
0.196,-8.74253,0,8.74253,0
0.197,-8.73947,0,8.73947,0
0.198,-8.73639,0,8.73639,0
0.199,-8.73329,0,8.73329,0
0.2,-8.73019,0,8.73019,0
0.201,-8.72706,0,8.72706,0
0.202,-8.72393,0,8.72393,0
0.203,-8.72078,0,8.72078,0
0.204,-8.71761,0,8.71761,0
0.205,-8.71444,0,8.71444,0
0.206,-8.71124,0,8.71124,0
0.207,-8.70804,0,8.70804,0
0.208,-8.70482,0,8.70482,0
0.209,-8.70158,0,8.70158,0
0.21,-8.69834,0,8.69834,0
0.211,-8.69508,0,8.69508,0
0.212,-8.6918,0,8.6918,0
0.213,-8.68851,0,8.68851,0
0.214,-8.68521,0,8.68521,0
0.215,-8.68189,0,8.68189,0
0.216,-8.67856,0,8.67856,0
0.217,-8.67521,0,8.67521,0
0.218,-8.67186,0,8.67186,0
0.219,-8.66848,0,8.66848,0
0.22,-8.6651,0,8.6651,0
0.221,-8.6617,0,8.6617,0
0.222,-8.65828,0,8.65828,0
0.223,-8.65486,0,8.65486,0
0.224,-8.65142,0,8.65142,0
0.225,-8.64796,0,8.64796,0
0.226,-8.64449,0,8.64449,0
0.227,-8.64101,0,8.64101,0
0.228,-8.63752,0,8.63752,0
0.229,-8.63401,0,8.63401,0
0.23,-8.63049,0,8.63049,0
0.231,-8.62695,0,8.62695,0
0.232,-8.6234,0,8.6234,0
0.233,-8.61984,0,8.61984,0
0.234,-8.61627,0,8.61627,0
0.235,-8.61268,0,8.61268,0
0.236,-8.60908,0,8.60908,0
0.237,-8.60546,0,8.60546,0
0.238,-8.60183,0,8.60183,0
0.239,-8.59819,0,8.59819,0
0.24,-8.59453,0,8.59453,0
0.241,-8.59087,0,8.59087,0
0.242,-8.58718,0,8.58718,0
0.243,-8.58349,0,8.58349,0
0.244,-8.57978,0,8.57978,0
0.245,-8.57606,0,8.57606,0
0.246,-8.57233,0,8.57233,0
0.247,-8.56858,0,8.56858,0
0.248,-8.56482,0,8.56482,0
0.249,-8.56105,0,8.56105,0
0.25,-8.55726,0,8.55726,0
0.251,-8.55346,0,8.55346,0
0.252,-8.54965,0,8.54965,0
0.253,-8.54582,0,8.54582,0
0.254,-8.54198,0,8.54198,0
0.255,-8.53813,0,8.53813,0
0.256,-8.53427,0,8.53427,0
0.257,-8.53039,0,8.53039,0
0.258,-8.5265,0,8.5265,0
0.259,-8.5226,0,8.5226,0
0.26,-8.51869,0,8.51869,0
0.261,-8.51476,0,8.51476,0
0.262,-8.51082,0,8.51082,0
0.263,-8.50687,0,8.50687,0
0.264,-8.5029,0,8.5029,0
0.265,-8.49892,0,8.49892,0
0.266,-8.49493,0,8.49493,0
0.267,-8.49093,0,8.49093,0
0.268,-8.48691,0,8.48691,0
0.269,-8.48289,0,8.48289,0
0.27,-8.47884,0,8.47884,0
0.271,-8.47479,0,8.47479,0
0.272,-8.47073,0,8.47073,0
0.273,-8.46665,0,8.46665,0
0.274,-8.46256,0,8.46256,0
0.275,-8.45845,0,8.45845,0
0.276,-8.45434,0,8.45434,0
0.277,-8.45021,0,8.45021,0
0.278,-8.44607,0,8.44607,0
0.279,-8.44192,0,8.44192,0
0.28,-8.43776,0,8.43776,0
0.281,-8.43358,0,8.43358,0
0.282,-8.42939,0,8.42939,0
0.283,-8.42519,0,8.42519,0
0.284,-8.42098,0,8.42098,0
0.285,-8.41676,0,8.41676,0
0.286,-8.41252,0,8.41252,0
0.287,-8.40827,0,8.40827,0
0.288,-8.40401,0,8.40401,0
0.289,-8.39974,0,8.39974,0
0.29,-8.39545,0,8.39545,0
0.291,-8.39116,0,8.39116,0
0.292,-8.38685,0,8.38685,0
0.293,-8.38253,0,8.38253,0
0.294,-8.3782,0,8.3782,0
0.295,-8.37385,0,8.37385,0
0.296,-8.3695,0,8.3695,0
0.297,-8.36513,0,8.36513,0
0.298,-8.36075,0,8.36075,0
0.299,-8.35636,0,8.35636,0
0.3,-8.35196,0,8.35196,0
0.301,-8.34754,0,8.34754,0
0.302,-8.34312,0,8.34312,0
0.303,-8.33868,0,8.33868,0
0.304,-8.33423,0,8.33423,0
0.305,-8.32977,0,8.32977,0
0.306,-8.3253,0,8.3253,0
0.307,-8.32082,0,8.32082,0
0.308,-8.31632,0,8.31632,0
0.309,-8.31182,0,8.31182,0
0.31,-8.3073,0,8.3073,0
0.311,-8.30277,0,8.30277,0
0.312,-8.29823,0,8.29823,0
0.313,-8.29368,0,8.29368,0
0.314,-8.28912,0,8.28912,0
0.315,-8.28454,0,8.28454,0
0.316,-8.27996,0,8.27996,0
0.317,-8.27536,0,8.27536,0
0.318,-8.27076,0,8.27076,0
0.319,-8.26614,0,8.26614,0
0.32,-8.26151,0,8.26151,0
0.321,-8.25687,0,8.25687,0
0.322,-8.25222,0,8.25222,0
0.323,-8.24755,0,8.24755,0
0.324,-8.24288,0,8.24288,0
0.325,-8.2382,0,8.2382,0
0.326,-8.2335,0,8.2335,0
0.327,-8.22879,0,8.22879,0
0.328,-8.22408,0,8.22408,0
0.329,-8.21935,0,8.21935,0
0.33,-8.21461,0,8.21461,0
0.331,-8.20986,0,8.20986,0
0.332,-8.2051,0,8.2051,0
0.333,-8.20033,0,8.20033,0
0.334,-8.19555,0,8.19555,0
0.335,-8.19076,0,8.19076,0
0.336,-8.18595,0,8.18595,0
0.337,-8.18114,0,8.18114,0
0.338,-8.17632,0,8.17632,0
0.339,-8.17148,0,8.17148,0
0.34,-8.16664,0,8.16664,0
0.341,-8.16178,0,8.16178,0
0.342,-8.15692,0,8.15692,0
0.343,-8.15204,0,8.15204,0
0.344,-8.14716,0,8.14716,0
0.345,-8.14226,0,8.14226,0
0.346,-8.13735,0,8.13735,0
0.347,-8.13243,0,8.13243,0
0.348,-8.12751,0,8.12751,0
0.349,-8.12257,0,8.12257,0
0.35,-8.11762,0,8.11762,0
0.351,-8.11266,0,8.11266,0
0.352,-8.10769,0,8.10769,0
0.353,-8.10272,0,8.10272,0
0.354,-8.09773,0,8.09773,0
0.355,-8.09273,0,8.09273,0
0.356,-8.08772,0,8.08772,0
0.357,-8.0827,0,8.0827,0
0.358,-8.07767,0,8.07767,0
0.359,-8.07264,0,8.07264,0
0.36,-8.06759,0,8.06759,0
0.361,-8.06253,0,8.06253,0
0.362,-8.05746,0,8.05746,0
0.363,-8.05238,0,8.05238,0
0.364,-8.0473,0,8.0473,0
0.365,-8.0422,0,8.0422,0
0.366,-8.03709,0,8.03709,0
0.367,-8.03198,0,8.03198,0
0.368,-8.02685,0,8.02685,0
0.369,-8.02171,0,8.02171,0
0.37,-8.01657,0,8.01657,0
0.371,-8.01141,0,8.01141,0
0.372,-8.00625,0,8.00625,0
0.373,-8.00107,0,8.00107,0
0.374,-7.99589,0,7.99589,0
0.375,-7.9907,0,7.9907,0
0.376,-7.9855,0,7.9855,0
0.377,-7.98029,0,7.98029,0
0.378,-7.97506,0,7.97506,0
0.379,-7.96983,0,7.96983,0
0.38,-7.96459,0,7.96459,0
0.381,-7.95935,0,7.95935,0
0.382,-7.95409,0,7.95409,0
0.383,-7.94882,0,7.94882,0
0.384,-7.94355,0,7.94355,0
0.385,-7.93826,0,7.93826,0
0.386,-7.93297,0,7.93297,0
0.387,-7.92766,0,7.92766,0
0.388,-7.92235,0,7.92235,0
0.389,-7.91703,0,7.91703,0
0.39,-7.9117,0,7.9117,0
0.391,-7.90636,0,7.90636,0
0.392,-7.90101,0,7.90101,0
0.393,-7.89565,0,7.89565,0
0.394,-7.89029,0,7.89029,0
0.395,-7.88491,0,7.88491,0
0.396,-7.87953,0,7.87953,0
0.397,-7.87414,0,7.87414,0
0.398,-7.86874,0,7.86874,0
0.399,-7.86333,0,7.86333,0
0.4,-7.85791,0,7.85791,0
0.401,-7.85248,0,7.85248,0
0.402,-7.84705,0,7.84705,0
0.403,-7.8416,0,7.8416,0
0.404,-7.83615,0,7.83615,0
0.405,-7.83069,0,7.83069,0
0.406,-7.82522,0,7.82522,0
0.407,-7.81974,0,7.81974,0
0.408,-7.81426,0,7.81426,0
0.409,-7.80876,0,7.80876,0
0.41,-7.80326,0,7.80326,0
0.411,-7.79775,0,7.79775,0
0.412,-7.79223,0,7.79223,0
0.413,-7.7867,0,7.7867,0
0.414,-7.78117,0,7.78117,0
0.415,-7.77562,0,7.77562,0
0.416,-7.77007,0,7.77007,0
0.417,-7.76451,0,7.76451,0
0.418,-7.75894,0,7.75894,0
0.419,-7.75337,0,7.75337,0
0.42,-7.74778,0,7.74778,0
0.421,-7.74219,0,7.74219,0
0.422,-7.73659,0,7.73659,0
0.423,-7.73098,0,7.73098,0
0.424,-7.72536,0,7.72536,0
0.425,-7.71974,0,7.71974,0
0.426,-7.71411,0,7.71411,0
0.427,-7.70847,0,7.70847,0
0.428,-7.70282,0,7.70282,0
0.429,-7.69717,0,7.69717,0
0.43,-7.6915,0,7.6915,0
0.431,-7.68583,0,7.68583,0
0.432,-7.68016,0,7.68016,0
0.433,-7.67447,0,7.67447,0
0.434,-7.66878,0,7.66878,0
0.435,-7.66308,0,7.66308,0
0.436,-7.65737,0,7.65737,0
0.437,-7.65165,0,7.65165,0
0.438,-7.64593,0,7.64593,0
0.439,-7.6402,0,7.6402,0
0.44,-7.63446,0,7.63446,0
0.441,-7.62872,0,7.62872,0
0.442,-7.62296,0,7.62296,0
0.443,-7.61721,0,7.61721,0
0.444,-7.61144,0,7.61144,0
0.445,-7.60566,0,7.60566,0
0.446,-7.59988,0,7.59988,0
0.447,-7.59409,0,7.59409,0
0.448,-7.5883,0,7.5883,0
0.449,-7.5825,0,7.5825,0
0.45,-7.57669,0,7.57669,0
0.451,-7.57087,0,7.57087,0
0.452,-7.56505,0,7.56505,0
0.453,-7.55922,0,7.55922,0
0.454,-7.55338,0,7.55338,0
0.455,-7.54753,0,7.54753,0
0.456,-7.54168,0,7.54168,0
0.457,-7.53582,0,7.53582,0
0.458,-7.52996,0,7.52996,0
0.459,-7.52409,0,7.52409,0
0.46,-7.51821,0,7.51821,0
0.461,-7.51232,0,7.51232,0
0.462,-7.50643,0,7.50643,0
0.463,-7.50053,0,7.50053,0
0.464,-7.49463,0,7.49463,0
0.465,-7.48872,0,7.48872,0
0.466,-7.4828,0,7.4828,0
0.467,-7.47687,0,7.47687,0
0.468,-7.47094,0,7.47094,0
0.469,-7.465,0,7.465,0
0.47,-7.45906,0,7.45906,0
0.471,-7.45311,0,7.45311,0
0.472,-7.44715,0,7.44715,0
0.473,-7.44119,0,7.44119,0
0.474,-7.43522,0,7.43522,0
0.475,-7.42924,0,7.42924,0
0.476,-7.42326,0,7.42326,0
