x,y
0,0
time,x,y
0,0,0
0.001,-0.977833,0
0.002,-0.977833,0
0.003,-0.977833,0
0.004,-0.977833,0
0.005,-0.977834,0
0.006,-0.977834,0
0.007,-0.977834,0
0.008,-0.977834,0
0.009,-0.977834,0
0.01,-0.977835,0
0.011,-0.977835,0
0.012,-0.977835,0
0.013,-0.977835,0
0.014,-0.977836,0
0.015,-0.977836,0
0.016,-0.977837,0
0.017,-0.977837,0
0.018,-0.977838,0
0.019,-0.977838,0
0.02,-0.977839,0
0.021,-0.977839,0
0.022,-0.97784,0
0.023,-0.97784,0
0.024,-0.977841,0
0.025,-0.977842,0
0.026,-0.977842,0
0.027,-0.977843,0
0.028,-0.977844,0
0.029,-0.977845,0
0.03,-0.977846,0
0.031,-0.977846,0
0.032,-0.977847,0
0.033,-0.977848,0
0.034,-0.977849,0
0.035,-0.97785,0
0.036,-0.977851,0
0.037,-0.977852,0
0.038,-0.977853,0
0.039,-0.977854,0
0.04,-0.977855,0
0.041,-0.977857,0
0.042,-0.977858,0
0.043,-0.977859,0
0.044,-0.97786,0
0.045,-0.977861,0
0.046,-0.977863,0
0.047,-0.977864,0
0.048,-0.977865,0
0.049,-0.977867,0
0.05,-0.977868,0
0.051,-0.97787,0
0.052,-0.977871,0
0.053,-0.977872,0
0.054,-0.977874,0
0.055,-0.977876,0
0.056,-0.977877,0
0.057,-0.977879,0
0.058,-0.97788,0
0.059,-0.977882,0
0.06,-0.977884,0
0.061,-0.977885,0
0.062,-0.977887,0
0.063,-0.977889,0
0.064,-0.977891,0
0.065,-0.977892,0
0.066,-0.977894,0
0.067,-0.977896,0
0.068,-0.977898,0
0.069,-0.9779,0
0.07,-0.977902,0
0.071,-0.977904,0
0.072,-0.977906,0
0.073,-0.977908,0
0.074,-0.97791,0
0.075,-0.977912,0
0.076,-0.977914,0
0.077,-0.977916,0
0.078,-0.977919,0
0.079,-0.977921,0
0.08,-0.977923,0
0.081,-0.977925,0
0.082,-0.977928,0
0.083,-0.97793,0
0.084,-0.977932,0
0.085,-0.977935,0
0.086,-0.977937,0
0.087,-0.97794,0
0.088,-0.977942,0
0.089,-0.977945,0
0.09,-0.977947,0
