x,y
0,0
time,x,y
0,0,0
0.001,0.961043,0
0.002,0.961043,0
0.003,0.961043,0
0.004,0.961043,0
0.005,0.961043,0
0.006,0.961044,0
0.007,0.961044,0
0.008,0.961044,0
0.009,0.961044,0
0.01,0.961045,0
0.011,0.961045,0
0.012,0.961045,0
0.013,0.961046,0
0.014,0.961046,0
0.015,0.961047,0
0.016,0.961047,0
0.017,0.961048,0
0.018,0.961049,0
0.019,0.961049,0
0.02,0.96105,0
0.021,0.961051,0
0.022,0.961051,0
0.023,0.961052,0
0.024,0.961053,0
0.025,0.961054,0
0.026,0.961055,0
0.027,0.961056,0
0.028,0.961057,0
0.029,0.961058,0
0.03,0.961059,0
0.031,0.96106,0
0.032,0.961061,0
0.033,0.961062,0
0.034,0.961063,0
0.035,0.961065,0
0.036,0.961066,0
0.037,0.961067,0
0.038,0.961069,0
0.039,0.96107,0
0.04,0.961071,0
0.041,0.961073,0
0.042,0.961074,0
0.043,0.961076,0
0.044,0.961077,0
0.045,0.961079,0
0.046,0.961081,0
0.047,0.961082,0
0.048,0.961084,0
0.049,0.961086,0
0.05,0.961088,0
0.051,0.961089,0
0.052,0.961091,0
0.053,0.961093,0
0.054,0.961095,0
0.055,0.961097,0
0.056,0.961099,0
0.057,0.961101,0
0.058,0.961103,0
0.059,0.961105,0
0.06,0.961107,0
0.061,0.96111,0
0.062,0.961112,0
0.063,0.961114,0
0.064,0.961116,0
0.065,0.961119,0
0.066,0.961121,0
0.067,0.961124,0
0.068,0.961126,0
0.069,0.961128,0
0.07,0.961131,0
0.071,0.961134,0
0.072,0.961136,0
0.073,0.961139,0
0.074,0.961141,0
0.075,0.961144,0
0.076,0.961147,0
0.077,0.96115,0
0.078,0.961152,0
0.079,0.961155,0
0.08,0.961158,0
0.081,0.961161,0
0.082,0.961164,0
0.083,0.961167,0
0.084,0.96117,0
0.085,0.961173,0
0.086,0.961176,0
0.087,0.961179,0
0.088,0.961182,0
0.089,0.961186,0
0.09,0.961189,0
0.091,0.961192,0
0.092,0.961195,0
0.093,0.961199,0
0.094,0.961202,0
0.095,0.961206,0
0.096,0.961209,0
0.097,0.961213,0
0.098,0.961216,0
0.099,0.96122,0
