x,y
0,0
time,x,y
0,0,0
0.001,-4.88917e-05,0
0.002,-0.000146675,0
0.003,-0.000244458,0
0.004,-0.000342242,0
0.005,-0.000440025,0
0.006,-0.000537808,0
0.007,-0.000635592,0
0.008,-0.000733375,0
0.009,-0.000831159,0
0.01,-0.000928942,0
0.011,-0.00102673,0
0.012,-0.00112451,0
0.013,-0.00122229,0
0.014,-0.00132008,0
0.015,-0.00141786,0
0.016,-0.00151564,0
0.017,-0.00161343,0
0.018,-0.00171121,0
0.019,-0.00180899,0
0.02,-0.00190678,0
0.021,-0.00200456,0
0.022,-0.00210235,0
0.023,-0.00220013,0
0.024,-0.00229791,0
0.025,-0.0023957,0
0.026,-0.00249348,0
0.027,-0.00259127,0
0.028,-0.00268905,0
0.029,-0.00278684,0
0.03,-0.00288462,0
0.031,-0.0029824,0
0.032,-0.00308019,0
0.033,-0.00317797,0
0.034,-0.00327576,0
0.035,-0.00337354,0
0.036,-0.00347133,0
0.037,-0.00356911,0
0.038,-0.0036669,0
0.039,-0.00376469,0
0.04,-0.00386247,0
0.041,-0.00396026,0
0.042,-0.00405804,0
0.043,-0.00415583,0
0.044,-0.00425361,0
0.045,-0.0043514,0
0.046,-0.00444919,0
0.047,-0.00454697,0
0.048,-0.00464476,0
0.049,-0.00474255,0
0.05,-0.00484033,0
0.051,-0.00493812,0
0.052,-0.00503591,0
0.053,-0.00513369,0
0.054,-0.00523148,0
0.055,-0.00532927,0
0.056,-0.00542706,0
0.057,-0.00552484,0
0.058,-0.00562263,0
0.059,-0.00572042,0
0.06,-0.00581821,0
0.061,-0.005916,0
0.062,-0.00601378,0
0.063,-0.00611157,0
0.064,-0.00620936,0
0.065,-0.00630715,0
0.066,-0.00640494,0
0.067,-0.00650273,0
0.068,-0.00660052,0
0.069,-0.00669831,0
0.07,-0.0067961,0
0.071,-0.00689389,0
0.072,-0.00699168,0
0.073,-0.00708947,0
0.074,-0.00718726,0
0.075,-0.00728505,0
0.076,-0.00738285,0
0.077,-0.00748064,0
0.078,-0.00757843,0
0.079,-0.00767622,0
0.08,-0.00777401,0
0.081,-0.00787181,0
0.082,-0.0079696,0
0.083,-0.00806739,0
