time,x,y,x,y
0.178,0.748569,0,0.101431,0
0.179,0.748552,0,0.101448,0
0.18,0.748536,0,0.101464,0
0.181,0.748519,0,0.101481,0
0.182,0.748503,0,0.101497,0
0.183,0.748486,0,0.101514,0
0.184,0.74847,0,0.10153,0
0.185,0.748453,0,0.101547,0
0.186,0.748436,0,0.101564,0
0.187,0.748419,0,0.101581,0
0.188,0.748402,0,0.101598,0
0.189,0.748385,0,0.101615,0
0.19,0.748367,0,0.101633,0
0.191,0.74835,0,0.10165,0
0.192,0.748333,0,0.101667,0
0.193,0.748315,0,0.101685,0
0.194,0.748297,0,0.101703,0
0.195,0.74828,0,0.10172,0
0.196,0.748262,0,0.101738,0
0.197,0.748244,0,0.101756,0
0.198,0.748226,0,0.101774,0
0.199,0.748208,0,0.101792,0
0.2,0.74819,0,0.10181,0
0.201,0.748171,0,0.101829,0
0.202,0.748153,0,0.101847,0
0.203,0.748134,0,0.101866,0
0.204,0.748116,0,0.101884,0
0.205,0.748097,0,0.101903,0
0.206,0.748078,0,0.101922,0
0.207,0.74806,0,0.10194,0
0.208,0.748041,0,0.101959,0
0.209,0.748022,0,0.101978,0
0.21,0.748002,0,0.101998,0
0.211,0.747983,0,0.102017,0
0.212,0.747964,0,0.102036,0
0.213,0.747945,0,0.102055,0
0.214,0.747925,0,0.102075,0
0.215,0.747905,0,0.102095,0
0.216,0.747886,0,0.102114,0
0.217,0.747866,0,0.102134,0
0.218,0.747846,0,0.102154,0
0.219,0.747826,0,0.102174,0
0.22,0.747806,0,0.102194,0
0.221,0.747786,0,0.102214,0
0.222,0.747766,0,0.102234,0
0.223,0.747745,0,0.102255,0
0.224,0.747725,0,0.102275,0
0.225,0.747704,0,0.102296,0
0.226,0.747684,0,0.102316,0
0.227,0.747663,0,0.102337,0
0.228,0.747642,0,0.102358,0
0.229,0.747621,0,0.102379,0
0.23,0.7476,0,0.1024,0
0.231,0.747579,0,0.102421,0
0.232,0.747558,0,0.102442,0
0.233,0.747536,0,0.102464,0
0.234,0.747515,0,0.102485,0
0.235,0.747494,0,0.102506,0
0.236,0.747472,0,0.102528,0
0.237,0.74745,0,0.10255,0
0.238,0.747429,0,0.102571,0
0.239,0.747407,0,0.102593,0
0.24,0.747385,0,0.102615,0
0.241,0.747363,0,0.102637,0
0.242,0.74734,0,0.10266,0
0.243,0.747318,0,0.102682,0
0.244,0.747296,0,0.102704,0
0.245,0.747273,0,0.102727,0
0.246,0.747251,0,0.102749,0
0.247,0.747228,0,0.102772,0
0.248,0.747206,0,0.102794,0
0.249,0.747183,0,0.102817,0
0.25,0.74716,0,0.10284,0
0.251,0.747137,0,0.102863,0
0.252,0.747114,0,0.102886,0
0.253,0.747091,0,0.102909,0
0.254,0.747067,0,0.102933,0
0.255,0.747044,0,0.102956,0
0.256,0.74702,0,0.10298,0
0.257,0.746997,0,0.103003,0
0.258,0.746973,0,0.103027,0
0.259,0.746949,0,0.103051,0
0.26,0.746926,0,0.103074,0
0.261,0.746902,0,0.103098,0
0.262,0.746878,0,0.103122,0
0.263,0.746853,0,0.103147,0
0.264,0.746829,0,0.103171,0
0.265,0.746805,0,0.103195,0
0.266,0.74678,0,0.10322,0
0.267,0.746756,0,0.103244,0
0.268,0.746731,0,0.103269,0
0.269,0.746706,0,0.103294,0
0.27,0.746682,0,0.103318,0
0.271,0.746657,0,0.103343,0
0.272,0.746632,0,0.103368,0
0.273,0.746607,0,0.103393,0
0.274,0.746581,0,0.103419,0
0.275,0.746556,0,0.103444,0
0.276,0.746531,0,0.103469,0
0.277,0.746505,0,0.103495,0
0.278,0.74648,0,0.10352,0
0.279,0.746454,0,0.103546,0
0.28,0.746428,0,0.103572,0
0.281,0.746402,0,0.103598,0
0.282,0.746376,0,0.103624,0
0.283,0.74635,0,0.10365,0
0.284,0.746324,0,0.103676,0
0.285,0.746298,0,0.103702,0
0.286,0.746271,0,0.103729,0
0.287,0.746245,0,0.103755,0
0.288,0.746218,0,0.103782,0
0.289,0.746192,0,0.103808,0
0.29,0.746165,0,0.103835,0
0.291,0.746138,0,0.103862,0
0.292,0.746111,0,0.103889,0
0.293,0.746084,0,0.103916,0
0.294,0.746057,0,0.103943,0
0.295,0.74603,0,0.10397,0
0.296,0.746003,0,0.103997,0
0.297,0.745975,0,0.104025,0
0.298,0.745948,0,0.104052,0
0.299,0.74592,0,0.10408,0
0.3,0.745892,0,0.104108,0
0.301,0.745865,0,0.104135,0
0.302,0.745837,0,0.104163,0
0.303,0.745809,0,0.104191,0
0.304,0.745781,0,0.104219,0
0.305,0.745752,0,0.104248,0
0.306,0.745724,0,0.104276,0
0.307,0.745696,0,0.104304,0
0.308,0.745667,0,0.104333,0
0.309,0.745639,0,0.104361,0
0.31,0.74561,0,0.10439,0
0.311,0.745581,0,0.104419,0
0.312,0.745552,0,0.104448,0
0.313,0.745523,0,0.104477,0
0.314,0.745494,0,0.104506,0
0.315,0.745465,0,0.104535,0
0.316,0.745436,0,0.104564,0
0.317,0.745406,0,0.104594,0
0.318,0.745377,0,0.104623,0
0.319,0.745347,0,0.104653,0
0.32,0.745318,0,0.104682,0
0.321,0.745288,0,0.104712,0
0.322,0.745258,0,0.104742,0
0.323,0.745228,0,0.104772,0
0.324,0.745198,0,0.104802,0
0.325,0.745168,0,0.104832,0
0.326,0.745138,0,0.104862,0
0.327,0.745107,0,0.104893,0
0.328,0.745077,0,0.104923,0
0.329,0.745046,0,0.104954,0
0.33,0.745016,0,0.104984,0
0.331,0.744985,0,0.105015,0
0.332,0.744954,0,0.105046,0
0.333,0.744923,0,0.105077,0
0.334,0.744892,0,0.105108,0
0.335,0.744861,0,0.105139,0
0.336,0.74483,0,0.10517,0
0.337,0.744798,0,0.105202,0
0.338,0.744767,0,0.105233,0
0.339,0.744735,0,0.105265,0
0.34,0.744704,0,0.105296,0
0.341,0.744672,0,0.105328,0
0.342,0.74464,0,0.10536,0
