time,x,y
0,0.1,0.4
0.001,0.1,0.4
0.002,0.0999999,0.4
0.003,0.0999997,0.4
0.004,0.0999994,0.4
0.005,0.099999,0.4
0.006,0.0999985,0.4
0.007,0.0999979,0.4
0.008,0.0999973,0.4
0.009,0.0999965,0.4
0.01,0.0999956,0.4
0.011,0.0999946,0.4
0.012,0.0999935,0.4
0.013,0.0999924,0.4
0.014,0.0999911,0.4
0.015,0.0999897,0.4
0.016,0.0999883,0.4
0.017,0.0999867,0.4
0.018,0.099985,0.4
0.019,0.0999833,0.4
0.02,0.0999814,0.4
0.021,0.0999795,0.4
0.022,0.0999774,0.4
0.023,0.0999753,0.4
0.024,0.099973,0.4
0.025,0.0999707,0.4
0.026,0.0999682,0.4
0.027,0.0999657,0.4
0.028,0.099963,0.4
0.029,0.0999603,0.4
0.03,0.0999575,0.4
0.031,0.0999545,0.4
0.032,0.0999515,0.4
0.033,0.0999484,0.4
0.034,0.0999451,0.4
0.035,0.0999418,0.4
0.036,0.0999384,0.4
0.037,0.0999349,0.4
0.038,0.0999313,0.4
0.039,0.0999275,0.4
0.04,0.0999237,0.4
0.041,0.0999198,0.4
0.042,0.0999158,0.4
0.043,0.0999117,0.4
0.044,0.0999075,0.4
0.045,0.0999032,0.4
0.046,0.0998988,0.4
0.047,0.0998943,0.4
0.048,0.0998897,0.4
0.049,0.099885,0.4
0.05,0.0998802,0.4
0.051,0.0998753,0.4
0.052,0.0998703,0.4
0.053,0.0998653,0.4
0.054,0.0998601,0.4
0.055,0.0998548,0.4
0.056,0.0998494,0.4
0.057,0.0998439,0.4
0.058,0.0998384,0.4
0.059,0.0998327,0.4
0.06,0.0998269,0.4
0.061,0.0998211,0.4
0.062,0.0998151,0.4
0.063,0.099809,0.4
0.064,0.0998029,0.4
0.065,0.0997966,0.4
0.066,0.0997903,0.4
0.067,0.0997838,0.4
0.068,0.0997772,0.4
0.069,0.0997706,0.4
0.07,0.0997639,0.4
0.071,0.099757,0.4
0.072,0.0997501,0.4
0.073,0.099743,0.4
0.074,0.0997359,0.4
0.075,0.0997286,0.4
0.076,0.0997213,0.4
0.077,0.0997139,0.4
0.078,0.0997064,0.4
0.079,0.0996987,0.4
0.08,0.099691,0.4
0.081,0.0996832,0.4
0.082,0.0996753,0.4
0.083,0.0996672,0.4
0.084,0.0996591,0.4
0.085,0.0996509,0.4
0.086,0.0996426,0.4
0.087,0.0996342,0.4
0.088,0.0996257,0.4
0.089,0.0996171,0.4
0.09,0.0996084,0.4
0.091,0.0995996,0.4
0.092,0.0995907,0.4
0.093,0.0995817,0.4
0.094,0.0995726,0.4
0.095,0.0995634,0.4
0.096,0.0995541,0.4
0.097,0.0995447,0.4
0.098,0.0995352,0.4
0.099,0.0995256,0.4
0.1,0.099516,0.4
0.101,0.0995062,0.4
0.102,0.0994963,0.4
0.103,0.0994863,0.4
0.104,0.0994763,0.4
0.105,0.0994661,0.4
0.106,0.0994558,0.4
0.107,0.0994455,0.4
0.108,0.099435,0.4
0.109,0.0994244,0.4
0.11,0.0994138,0.4
0.111,0.099403,0.4
0.112,0.0993922,0.4
0.113,0.0993812,0.4
0.114,0.0993702,0.4
0.115,0.099359,0.4
0.116,0.0993478,0.4
0.117,0.0993364,0.4
0.118,0.099325,0.4
0.119,0.0993134,0.4
0.12,0.0993018,0.4
0.121,0.0992901,0.4
0.122,0.0992782,0.4
0.123,0.0992663,0.4
0.124,0.0992543,0.4
0.125,0.0992422,0.4
0.126,0.0992299,0.4
0.127,0.0992176,0.4
0.128,0.0992052,0.4
0.129,0.0991927,0.4
0.13,0.0991801,0.4
0.131,0.0991673,0.4
0.132,0.0991545,0.4
0.133,0.0991416,0.4
0.134,0.0991286,0.4
0.135,0.0991155,0.4
0.136,0.0991023,0.4
0.137,0.099089,0.4
0.138,0.0990756,0.4
0.139,0.0990621,0.4
0.14,0.0990485,0.4
0.141,0.0990348,0.4
0.142,0.099021,0.4
0.143,0.0990072,0.4
0.144,0.0989932,0.4
0.145,0.0989791,0.4
0.146,0.0989649,0.4
0.147,0.0989506,0.4
0.148,0.0989363,0.4
0.149,0.0989218,0.4
0.15,0.0989072,0.4
0.151,0.0988925,0.4
0.152,0.0988778,0.4
0.153,0.0988629,0.4
0.154,0.0988479,0.4
0.155,0.0988329,0.4
0.156,0.0988177,0.4
0.157,0.0988025,0.4
0.158,0.0987871,0.4
0.159,0.0987717,0.4
0.16,0.0987561,0.4
0.161,0.0987405,0.4
0.162,0.0987247,0.4
0.163,0.0987089,0.4
0.164,0.0986929,0.4
0.165,0.0986769,0.4
0.166,0.0986608,0.4
0.167,0.0986445,0.4
0.168,0.0986282,0.4
0.169,0.0986118,0.4
0.17,0.0985952,0.4
0.171,0.0985786,0.4
0.172,0.0985619,0.4
0.173,0.0985451,0.4
0.174,0.0985282,0.4
0.175,0.0985111,0.4
0.176,0.098494,0.4
0.177,0.0984768,0.4
0.178,0.0984595,0.4
0.179,0.0984421,0.4
0.18,0.0984246,0.4
0.181,0.098407,0.4
0.182,0.0983893,0.4
0.183,0.0983715,0.4
0.184,0.0983536,0.4
0.185,0.0983356,0.4
0.186,0.0983175,0.4
0.187,0.0982993,0.4
0.188,0.098281,0.4
0.189,0.0982626,0.4
0.19,0.0982441,0.4
0.191,0.0982256,0.4
0.192,0.0982069,0.4
0.193,0.0981881,0.4
0.194,0.0981692,0.4
0.195,0.0981503,0.4
0.196,0.0981312,0.4
0.197,0.098112,0.4
0.198,0.0980928,0.4
0.199,0.0980734,0.4
0.2,0.0980539,0.4
0.201,0.0980344,0.4
0.202,0.0980147,0.4
0.203,0.0979949,0.4
0.204,0.0979751,0.4
0.205,0.0979551,0.4
0.206,0.0979351,0.4
0.207,0.0979149,0.4
0.208,0.0978947,0.4
0.209,0.0978744,0.4
0.21,0.0978539,0.4
0.211,0.0978334,0.4
0.212,0.0978127,0.4
0.213,0.097792,0.4
0.214,0.0977712,0.4
0.215,0.0977502,0.4
0.216,0.0977292,0.4
0.217,0.0977081,0.4
0.218,0.0976869,0.4
0.219,0.0976655,0.4
0.22,0.0976441,0.4
0.221,0.0976226,0.4
0.222,0.097601,0.4
0.223,0.0975793,0.4
0.224,0.0975575,0.4
0.225,0.0975356,0.4
0.226,0.0975136,0.4
0.227,0.0974914,0.4
0.228,0.0974692,0.4
0.229,0.0974469,0.4
0.23,0.0974245,0.4
0.231,0.0974021,0.4
0.232,0.0973795,0.4
0.233,0.0973568,0.4
0.234,0.097334,0.4
0.235,0.0973111,0.4
0.236,0.0972881,0.4
0.237,0.097265,0.4
0.238,0.0972418,0.4
0.239,0.0972186,0.4
0.24,0.0971952,0.4
0.241,0.0971717,0.4
0.242,0.0971481,0.4
0.243,0.0971245,0.4
0.244,0.0971007,0.4
0.245,0.0970768,0.4
0.246,0.0970529,0.4
0.247,0.0970288,0.4
0.248,0.0970046,0.4
0.249,0.0969804,0.4
0.25,0.096956,0.4
0.251,0.0969316,0.4
0.252,0.096907,0.4
0.253,0.0968824,0.4
0.254,0.0968576,0.4
0.255,0.0968328,0.4
0.256,0.0968078,0.4
0.257,0.0967828,0.4
0.258,0.0967577,0.4
0.259,0.0967324,0.4
0.26,0.0967071,0.4
0.261,0.0966817,0.4
0.262,0.0966561,0.4
0.263,0.0966305,0.4
0.264,0.0966048,0.4
0.265,0.096579,0.4
0.266,0.096553,0.4
0.267,0.096527,0.4
0.268,0.0965009,0.4
0.269,0.0964747,0.4
0.27,0.0964484,0.4
0.271,0.096422,0.4
0.272,0.0963955,0.4
0.273,0.0963688,0.4
0.274,0.0963421,0.4
0.275,0.0963153,0.4
0.276,0.0962884,0.4
0.277,0.0962614,0.4
0.278,0.0962343,0.4
0.279,0.0962072,0.4
0.28,0.0961799,0.4
0.281,0.0961525,0.4
0.282,0.096125,0.4
0.283,0.0960974,0.4
0.284,0.0960697,0.4
0.285,0.0960419,0.4
0.286,0.0960141,0.4
0.287,0.0959861,0.4
0.288,0.095958,0.4
0.289,0.0959298,0.4
0.29,0.0959016,0.4
0.291,0.0958732,0.4
0.292,0.0958447,0.4
0.293,0.0958162,0.4
0.294,0.0957875,0.4
0.295,0.0957587,0.4
0.296,0.0957299,0.4
0.297,0.0957009,0.4
0.298,0.0956719,0.4
0.299,0.0956427,0.4
0.3,0.0956135,0.4
0.301,0.0955841,0.4
0.302,0.0955547,0.4
0.303,0.0955251,0.4
0.304,0.0954955,0.4
0.305,0.0954658,0.4
0.306,0.0954359,0.4
0.307,0.095406,0.4
0.308,0.0953759,0.4
0.309,0.0953458,0.4
0.31,0.0953156,0.4
0.311,0.0952853,0.4
0.312,0.0952548,0.4
0.313,0.0952243,0.4
0.314,0.0951937,0.4
0.315,0.095163,0.4
0.316,0.0951322,0.4
0.317,0.0951012,0.4
0.318,0.0950702,0.4
0.319,0.0950391,0.4
0.32,0.0950079,0.4
0.321,0.0949766,0.4
0.322,0.0949452,0.4
0.323,0.0949137,0.4
0.324,0.0948821,0.4
0.325,0.0948504,0.4
0.326,0.0948186,0.4
0.327,0.0947867,0.4
0.328,0.0947547,0.4
0.329,0.0947226,0.4
0.33,0.0946904,0.4
0.331,0.0946582,0.4
0.332,0.0946258,0.4
0.333,0.0945933,0.4
0.334,0.0945607,0.4
0.335,0.094528,0.4
0.336,0.0944953,0.4
0.337,0.0944624,0.4
0.338,0.0944294,0.4
0.339,0.0943963,0.4
0.34,0.0943632,0.4
0.341,0.0943299,0.4
0.342,0.0942966,0.4
0.343,0.0942631,0.4
0.344,0.0942295,0.4
0.345,0.0941959,0.4
0.346,0.0941621,0.4
0.347,0.0941283,0.4
0.348,0.0940943,0.4
0.349,0.0940603,0.4
0.35,0.0940261,0.4
0.351,0.0939919,0.4
0.352,0.0939575,0.4
0.353,0.0939231,0.4
0.354,0.0938886,0.4
0.355,0.0938539,0.4
0.356,0.0938192,0.4
0.357,0.0937844,0.4
0.358,0.0937494,0.4
0.359,0.0937144,0.4
0.36,0.0936793,0.4
0.361,0.0936441,0.4
0.362,0.0936087,0.4
0.363,0.0935733,0.4
0.364,0.0935378,0.4
0.365,0.0935022,0.4
0.366,0.0934665,0.4
0.367,0.0934307,0.4
0.368,0.0933947,0.4
0.369,0.0933587,0.4
0.37,0.0933226,0.4
0.371,0.0932864,0.4
0.372,0.0932501,0.4
0.373,0.0932137,0.4
0.374,0.0931772,0.4
0.375,0.0931406,0.4
0.376,0.0931039,0.4
0.377,0.0930671,0.4
0.378,0.0930303,0.4
0.379,0.0929933,0.4
0.38,0.0929562,0.4
0.381,0.092919,0.4
0.382,0.0928817,0.4
0.383,0.0928443,0.4
0.384,0.0928069,0.4
0.385,0.0927693,0.4
0.386,0.0927316,0.4
0.387,0.0926938,0.4
0.388,0.092656,0.4
0.389,0.092618,0.4
0.39,0.0925799,0.4
0.391,0.0925418,0.4
0.392,0.0925035,0.4
0.393,0.0924652,0.4
0.394,0.0924267,0.4
0.395,0.0923881,0.4
0.396,0.0923495,0.4
0.397,0.0923107,0.4
0.398,0.0922719,0.4
0.399,0.0922329,0.4
0.4,0.0921939,0.4
0.401,0.0921548,0.4
0.402,0.0921155,0.4
0.403,0.0920762,0.4
0.404,0.0920367,0.4
0.405,0.0919972,0.4
