x,y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,2.48704,-5.07409,4.95039,-2.65971,-4.18164,3.07133,3.90475,-0.27481,1.21332,3.60727,-4.25282,4.85576,-4.82812,3.43319,-0.992614,0.308262,-3.18969,-0.830887,4.00898,-2.4277,0.452912,-0.212978,0.42749,-3.79564
0.002,2.48706,-5.07413,4.95042,-2.65973,-4.18167,3.07134,3.90478,-0.274807,1.21333,3.6073,-4.25285,4.85579,-4.82816,3.43322,-0.992623,0.308262,-3.18972,-0.83089,4.00901,-2.42771,0.452917,-0.212983,0.427494,-3.79566
0.003,2.48709,-5.0742,4.95049,-2.65976,-4.18172,3.07137,3.90483,-0.2748,1.21335,3.60735,-4.25291,4.85587,-4.82823,3.43326,-0.992642,0.308263,-3.18977,-0.830898,4.00907,-2.42775,0.452927,-0.212993,0.427502,-3.79571
0.004,2.48715,-5.07432,4.95059,-2.65981,-4.1818,3.07142,3.90491,-0.27479,1.21337,3.60743,-4.25301,4.85598,-4.82833,3.43333,-0.99267,0.308265,-3.18984,-0.830909,4.00916,-2.4278,0.452942,-0.213008,0.427514,-3.79579
0.005,2.48722,-5.07447,4.95073,-2.65987,-4.1819,3.07148,3.90502,-0.274776,1.2134,3.60754,-4.25313,4.85613,-4.82847,3.43342,-0.992707,0.308267,-3.18994,-0.830924,4.00929,-2.42787,0.452962,-0.213028,0.42753,-3.79589
0.006,2.48731,-5.07466,4.9509,-2.65995,-4.18203,3.07156,3.90516,-0.27476,1.21344,3.60767,-4.25329,4.85631,-4.82864,3.43353,-0.992754,0.308269,-3.19007,-0.830943,4.00944,-2.42796,0.452987,-0.213053,0.42755,-3.79602
0.007,2.48742,-5.07489,4.95111,-2.66005,-4.18218,3.07165,3.90532,-0.27474,1.21349,3.60784,-4.25348,4.85654,-4.82885,3.43366,-0.992809,0.308272,-3.19022,-0.830965,4.00962,-2.42806,0.453016,-0.213084,0.427574,-3.79617
0.008,2.48754,-5.07516,4.95135,-2.66016,-4.18236,3.07175,3.9055,-0.274716,1.21355,3.60803,-4.2537,4.8568,-4.82909,3.43382,-0.992874,0.308276,-3.1904,-0.830992,4.00983,-2.42818,0.453051,-0.213119,0.427602,-3.79635
0.009,2.48768,-5.07546,4.95163,-2.66028,-4.18257,3.07188,3.90572,-0.274689,1.21361,3.60824,-4.25395,4.85709,-4.82937,3.434,-0.992949,0.30828,-3.1906,-0.831021,4.01007,-2.42832,0.453091,-0.213159,0.427634,-3.79655
0.01,2.48785,-5.07581,4.95194,-2.66043,-4.1828,3.07201,3.90596,-0.274659,1.21368,3.60849,-4.25423,4.85743,-4.82968,3.4342,-0.993032,0.308284,-3.19083,-0.831055,4.01035,-2.42848,0.453135,-0.213205,0.42767,-3.79678
0.011,2.48803,-5.07619,4.95228,-2.66058,-4.18306,3.07217,3.90623,-0.274626,1.21376,3.60876,-4.25454,4.8578,-4.83002,3.43442,-0.993125,0.308289,-3.19109,-0.831093,4.01065,-2.42865,0.453185,-0.213255,0.42771,-3.79704
0.012,2.48822,-5.07661,4.95266,-2.66076,-4.18335,3.07233,3.90652,-0.274589,1.21385,3.60905,-4.25489,4.85821,-4.8304,3.43467,-0.993228,0.308294,-3.19137,-0.831134,4.01098,-2.42884,0.453239,-0.213311,0.427754,-3.79732
0.013,2.48844,-5.07707,4.95308,-2.66095,-4.18366,3.07251,3.90685,-0.274549,1.21394,3.60938,-4.25527,4.85866,-4.83082,3.43494,-0.993339,0.3083,-3.19167,-0.831179,4.01135,-2.42905,0.453299,-0.213372,0.427802,-3.79763
0.014,2.48867,-5.07756,4.95353,-2.66115,-4.18399,3.07271,3.9072,-0.274505,1.21404,3.60973,-4.25567,4.85914,-4.83127,3.43523,-0.99346,0.308306,-3.192,-0.831227,4.01174,-2.42927,0.453363,-0.213437,0.427854,-3.79796
0.015,2.48892,-5.0781,4.95401,-2.66138,-4.18436,3.07293,3.90757,-0.274458,1.21415,3.61011,-4.25611,4.85966,-4.83175,3.43554,-0.99359,0.308313,-3.19236,-0.83128,4.01216,-2.42951,0.453432,-0.213508,0.42791,-3.79831
0.016,2.48919,-5.07867,4.95453,-2.66161,-4.18474,3.07315,3.90797,-0.274408,1.21427,3.61051,-4.25658,4.86022,-4.83227,3.43588,-0.99373,0.308321,-3.19274,-0.831336,4.01262,-2.42977,0.453507,-0.213584,0.42797,-3.7987
0.017,2.48948,-5.07928,4.95508,-2.66187,-4.18516,3.0734,3.9084,-0.274355,1.2144,3.61095,-4.25709,4.86081,-4.83282,3.43624,-0.993879,0.308328,-3.19314,-0.831396,4.0131,-2.43005,0.453586,-0.213665,0.428034,-3.7991
0.018,2.48979,-5.07993,4.95567,-2.66214,-4.1856,3.07365,3.90886,-0.274298,1.21453,3.61141,-4.25762,4.86145,-4.83341,3.43662,-0.994037,0.308337,-3.19357,-0.83146,4.01362,-2.43035,0.45367,-0.213751,0.428102,-3.79954
0.019,2.49011,-5.08062,4.95629,-2.66242,-4.18606,3.07393,3.90934,-0.274237,1.21467,3.61189,-4.25819,4.86212,-4.83403,3.43702,-0.994204,0.308345,-3.19403,-0.831527,4.01416,-2.43066,0.453759,-0.213842,0.428174,-3.8
0.02,2.49045,-5.08134,4.95695,-2.66272,-4.18655,3.07422,3.90985,-0.274174,1.21482,3.61241,-4.25878,4.86282,-4.83469,3.43744,-0.994381,0.308355,-3.19451,-0.831598,4.01474,-2.43099,0.453853,-0.213938,0.42825,-3.80048
0.021,2.49081,-5.08211,4.95764,-2.66304,-4.18707,3.07452,3.91039,-0.274107,1.21498,3.61295,-4.25941,4.86357,-4.83538,3.43789,-0.994567,0.308364,-3.19502,-0.831673,4.01535,-2.43133,0.453953,-0.214039,0.42833,-3.80099
