time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0.031,0.0300686,9.0235e-06,0.0300686,9.02182e-06,0.0300686,9.02154e-06,0.0300686,-9.02358e-06,0.0300686,-9.02182e-06,0.0300686,-9.02155e-06
0.032,0.031039,9.02356e-06,0.031039,9.02182e-06,0.031039,9.02154e-06,0.031039,-9.02363e-06,0.031039,-9.02182e-06,0.031039,-9.02154e-06
0.033,0.0320085,-9.00189e-06,0.0320084,-9.00368e-06,0.0320085,-9.00397e-06,0.0320085,9.00181e-06,0.0320084,9.00368e-06,0.0320085,9.00397e-06
0.034,0.0329769,-9.00183e-06,0.0329769,-9.00368e-06,0.0329769,-9.00398e-06,0.0329769,9.00175e-06,0.0329769,9.00368e-06,0.0329769,9.00398e-06
0.035,0.0339444,9.02373e-06,0.0339444,9.02183e-06,0.0339444,9.02151e-06,0.0339444,-9.02381e-06,0.0339444,-9.02182e-06,0.0339444,-9.02152e-06
0.036,0.034911,9.02378e-06,0.034911,9.02183e-06,0.034911,9.02151e-06,0.034911,-9.02387e-06,0.034911,-9.02182e-06,0.034911,-9.02151e-06
0.037,0.0358765,-9.00167e-06,0.0358765,-9.00368e-06,0.0358765,-9.004e-06,0.0358765,9.00158e-06,0.0358765,9.00368e-06,0.0358765,9.004e-06
0.038,0.0368412,-9.00161e-06,0.0368411,-9.00367e-06,0.0368412,-9.00401e-06,0.0368412,9.00152e-06,0.0368411,9.00368e-06,0.0368412,9.00401e-06
0.039,0.0378048,9.02395e-06,0.0378048,9.02183e-06,0.0378048,9.02148e-06,0.0378048,-9.02404e-06,0.0378048,-9.02183e-06,0.0378048,-9.02149e-06
0.04,0.0387675,9.024e-06,0.0387675,9.02183e-06,0.0387675,9.02148e-06,0.0387675,-9.0241e-06,0.0387675,-9.02183e-06,0.0387675,-9.02148e-06
0.041,0.0397292,-9.00144e-06,0.0397292,-9.00367e-06,0.0397292,-9.00403e-06,0.0397292,9.00135e-06,0.0397292,9.00367e-06,0.0397292,9.00403e-06
0.042,0.0406899,-9.00139e-06,0.0406899,-9.00367e-06,0.0406899,-9.00404e-06,0.0406899,9.00129e-06,0.0406899,9.00367e-06,0.0406899,9.00404e-06
0.043,0.0416497,9.02417e-06,0.0416497,9.02184e-06,0.0416497,9.02145e-06,0.0416497,-9.02427e-06,0.0416497,-9.02183e-06,0.0416497,-9.02146e-06
0.044,0.0426086,9.02422e-06,0.0426085,9.02184e-06,0.0426086,9.02145e-06,0.0426086,-9.02433e-06,0.0426085,-9.02183e-06,0.0426086,-9.02145e-06
0.045,0.0435664,-9.00122e-06,0.0435664,-9.00367e-06,0.0435664,-9.00406e-06,0.0435664,9.00112e-06,0.0435664,9.00367e-06,0.0435664,9.00406e-06
0.046,0.0445233,-9.00117e-06,0.0445233,-9.00366e-06,0.0445233,-9.00407e-06,0.0445233,9.00106e-06,0.0445233,9.00367e-06,0.0445233,9.00407e-06
0.047,0.0454793,9.02439e-06,0.0454793,9.02184e-06,0.0454793,9.02142e-06,0.0454793,-9.0245e-06,0.0454793,-9.02184e-06,0.0454793,-9.02143e-06
0.048,0.0464343,9.02444e-06,0.0464343,9.02184e-06,0.0464343,9.02142e-06,0.0464343,-9.02456e-06,0.0464343,-9.02184e-06,0.0464343,-9.02142e-06
0.049,0.0473883,-9.001e-06,0.0473883,-9.00366e-06,0.0473883,-9.00409e-06,0.0473883,9.00089e-06,0.0473883,9.00366e-06,0.0473883,9.00409e-06
0.05,0.0483414,-9.00095e-06,0.0483414,-9.00366e-06,0.0483414,-9.0041e-06,0.0483414,9.00083e-06,0.0483414,9.00366e-06,0.0483414,9.0041e-06
0.051,0.0492936,9.02461e-06,0.0492936,9.02185e-06,0.0492936,9.0214e-06,0.0492936,-9.02473e-06,0.0492936,-9.02184e-06,0.0492936,-9.0214e-06
0.052,0.0502447,9.02466e-06,0.0502447,9.02185e-06,0.0502447,9.02139e-06,0.0502447,-9.02478e-06,0.0502447,-9.02184e-06,0.0502447,-9.02139e-06
0.053,0.051195,-9.00079e-06,0.051195,-9.00366e-06,0.051195,-9.00412e-06,0.051195,9.00066e-06,0.051195,9.00366e-06,0.051195,9.00412e-06
0.054,0.0521443,-9.00073e-06,0.0521442,-9.00365e-06,0.0521443,-9.00413e-06,0.0521443,9.00061e-06,0.0521442,9.00366e-06,0.0521443,9.00413e-06
0.055,0.0530926,9.02483e-06,0.0530926,9.02185e-06,0.0530926,9.02137e-06,0.0530926,-9.02495e-06,0.0530926,-9.02185e-06,0.0530926,-9.02137e-06
0.056,0.05404,9.02488e-06,0.05404,9.02185e-06,0.05404,9.02136e-06,0.05404,-9.02501e-06,0.05404,-9.02185e-06,0.05404,-9.02136e-06
0.057,0.0549864,-9.00057e-06,0.0549864,-9.00365e-06,0.0549864,-9.00415e-06,0.0549864,9.00044e-06,0.0549864,9.00365e-06,0.0549864,9.00415e-06
0.058,0.0559319,-9.00051e-06,0.0559319,-9.00365e-06,0.0559319,-9.00416e-06,0.0559319,9.00038e-06,0.0559319,9.00365e-06,0.0559319,9.00416e-06
0.059,0.0568764,9.02504e-06,0.0568764,9.02186e-06,0.0568764,9.02134e-06,0.0568764,-9.02518e-06,0.0568764,-9.02185e-06,0.0568764,-9.02134e-06
0.06,0.05782,9.0251e-06,0.05782,9.02186e-06,0.05782,9.02133e-06,0.05782,-9.02524e-06,0.05782,-9.02185e-06,0.05782,-9.02133e-06
0.061,0.0587627,-9.00035e-06,0.0587627,-9.00364e-06,0.0587627,-9.00418e-06,0.0587627,9.00021e-06,0.0587627,9.00365e-06,0.0587627,9.00418e-06
0.062,0.0597044,-9.0003e-06,0.0597044,-9.00364e-06,0.0597044,-9.00419e-06,0.0597044,9.00015e-06,0.0597044,9.00365e-06,0.0597044,9.00419e-06
0.063,0.0606452,9.02526e-06,0.0606451,9.02186e-06,0.0606452,9.02131e-06,0.0606452,-9.02541e-06,0.0606451,-9.02186e-06,0.0606452,-9.02131e-06
0.064,0.061585,9.02532e-06,0.061585,9.02186e-06,0.061585,9.0213e-06,0.061585,-9.02546e-06,0.061585,-9.02186e-06,0.061585,-9.0213e-06
0.065,0.0625239,-9.00013e-06,0.0625238,-9.00364e-06,0.0625239,-9.00421e-06,0.0625239,8.99999e-06,0.0625238,9.00364e-06,0.0625239,9.00421e-06
0.066,0.0634618,-9.00008e-06,0.0634618,-9.00364e-06,0.0634618,-9.00422e-06,0.0634618,8.99993e-06,0.0634618,9.00364e-06,0.0634618,9.00422e-06
0.067,0.0643988,9.02548e-06,0.0643988,9.02187e-06,0.0643988,9.02128e-06,0.0643988,-9.02563e-06,0.0643988,-9.02186e-06,0.0643988,-9.02128e-06
0.068,0.0653349,9.02553e-06,0.0653349,9.02187e-06,0.0653349,9.02127e-06,0.0653349,-9.02569e-06,0.0653349,-9.02186e-06,0.0653349,-9.02127e-06
