lorentzForce,siteDistance,vAve,,
1.68,-0.7,0.049973496,,
1.68,-0.8,0.049948363,,
1.68,-0.9,0.049916454,,
1.68,-1,0.050057243,,
1.68,-1.1,0.049983342,,
1.68,-1.2,0.05008029,,
1.68,-1.3,0.049971241,,
1.68,-1.4,0.049971865,,
1.68,-1.5,0.049998543,,
1.68,-1.6,0.049925938,,
1.68,-1.7,0.050022158,,
1.68,-1.8,0.049962417,,
1.68,-1.9,0.049991125,,
1.68,-2,0.050006572,,
1.68,0,0.05001292,,
1.68,0.1,0.050012732,,
1.68,0.2,0.049924488,,
1.68,0.3,0.05004794,,
1.68,0.4,0.049985244,,
1.68,0.5,0.05004329,,
1.68,0.6,0.049920804,,
1.68,0.7,0.050022239,,
1.68,0.8,0.049955375,,
1.68,0.9,0.05002034,,
1.68,1,0.050022977,,
1.68,1.1,0.050066507,,
1.68,1.2,0.050041465,,
1.68,1.3,0.050042968,,
1.68,1.4,0.050057165,,
1.68,1.5,0.049949858,,
1.68,1.6,0.049953983,,
1.68,1.7,0.049994991,,
1.68,1.8,0.050005011,,
1.68,1.9,0.050014182,,
1.68,2,0.049928853,,
1.7,-0.1,0.050006919,,
1.7,-0.2,0.050019952,,
1.7,-0.3,0.050031322,,
1.7,-0.4,0.050044487,,
1.7,-0.5,0.050054149,,
1.7,-0.6,0.049958807,,
1.7,-0.7,0.050054043,,
1.7,-0.8,0.050027688,,
1.7,-0.9,0.05008874,,
1.7,-1,0.050032807,,
1.7,-1.1,0.05005659,,
1.7,-1.2,0.050051286,,
1.7,-1.3,0.049939923,,
1.7,-1.4,0.050037631,,
1.7,-1.5,0.049961461,,
1.7,-1.6,0.049982507,,
1.7,-1.7,0.049978432,,
1.7,-1.8,0.050006911,,
1.7,-1.9,0.050032106,,
1.7,-2,0.049951396,,
1.7,0,0.050000503,,
1.7,0.1,0.050001093,,
1.7,0.2,0.049913448,,
1.7,0.3,0.050037397,,
1.7,0.4,0.049973984,,
1.7,0.5,0.050033362,,
1.7,0.6,0.050006181,,
1.7,0.7,0.050013371,,
1.7,0.8,0.049946492,,
1.7,0.9,0.050011663,,
1.7,1,0.050014649,,
1.7,1.1,0.050058848,,
1.7,1.2,0.050033611,,
1.7,1.3,0.050036389,,
1.7,1.4,0.050051228,,
1.7,1.5,0.049936575,,
1.7,1.6,0.050051647,,
1.7,1.7,0.050091102,,
1.7,1.8,0.050001117,,
