lorentzForce,siteDistance,vAve
0.50,0.00,-0.024975
0.50,0.10,-0.024975
0.50,0.20,-0.024975
0.50,0.30,-0.024975
0.50,0.40,-0.024975
0.50,0.50,-0.024975
0.50,0.60,-0.024975
0.50,0.70,-0.024975
0.50,0.80,-0.024975
0.50,0.90,-0.0249751
0.50,1.00,-0.0249751
0.60,0.00,-0.0297099
0.60,0.10,-0.0297099
0.60,0.20,-0.0297099
0.60,0.30,-0.0297099
0.60,0.40,-0.0297099
0.60,0.50,-0.0297099
0.60,0.60,-0.0297099
0.60,0.70,-0.02971
0.60,0.80,-0.02971
0.60,0.90,-0.02971
0.60,1.00,-0.0249246
0.70,0.00,-0.0344208
0.70,0.10,-0.0344208
0.70,0.20,-0.0344208
0.70,0.30,-0.0344208
0.70,0.40,-0.0344208
0.70,0.50,-0.0344208
0.70,0.60,-0.0344208
0.70,0.70,-0.0344208
0.70,0.80,-0.0344209
0.70,0.90,-0.0299436
0.70,1.00,-0.0249982
0.80,0.00,-0.0391046
0.80,0.10,-0.0391046
0.80,0.20,-0.0391046
0.80,0.30,-0.0391046
0.80,0.40,-0.0391046
0.80,0.50,-0.0391046
0.80,0.60,-0.0391046
0.80,0.70,-0.0391047
0.80,0.80,-0.0346531
0.80,0.90,-0.0299162
0.80,1.00,-0.0249998
0.90,0.00,-0.0437591
0.90,0.10,-0.0437591
0.90,0.20,-0.0437592
0.90,0.30,-0.0437592
0.90,0.40,-0.0437592
0.90,0.50,-0.0437592
0.90,0.60,-0.0437593
0.90,0.70,-0.0393358
0.90,0.80,-0.0349089
0.90,0.90,-0.0299164
0.90,1.00,-0.0249313
1.00,0.00,-0.0483822
1.00,0.10,-0.0483822
1.00,0.20,-0.0483822
1.00,0.30,-0.0483823
1.00,0.40,-0.0483823
1.00,0.50,-0.0483823
1.00,0.60,-0.0439897
1.00,0.70,-0.0395907
1.00,0.80,-0.0349054
1.00,0.90,-0.0299467
1.00,1.00,-0.0249951
1.10,0.00,-0.0527516
1.10,0.10,-0.0527516
1.10,0.20,-0.0527516
1.10,0.30,-0.0527516
1.10,0.40,-0.0527516
1.10,0.50,-0.0483724
1.10,0.60,-0.0439823
1.10,0.70,-0.0395856
1.10,0.80,-0.0349017
1.10,0.90,-0.0299451
1.10,1.00,-0.0249953
1.20,0.00,-0.0571015
1.20,0.10,-0.0571015
1.20,0.20,-0.0571015
1.20,0.30,-0.0571015
1.20,0.40,-0.0527402
1.20,0.50,-0.0483633
1.20,0.60,-0.0439753
1.20,0.70,-0.0395804
1.20,0.80,-0.0349978
1.20,0.90,-0.0299497
1.20,1.00,-0.0249019
1.30,0.00,-0.0614278
1.30,0.10,-0.0614278
1.30,0.20,-0.0614278
1.30,0.30,-0.057176
1.30,0.40,-0.0528173
1.30,0.50,-0.0483549
1.30,0.60,-0.0439687
1.30,0.70,-0.0395754
1.30,0.80,-0.035
1.30,0.90,-0.0299469
1.30,1.00,-0.0249003
1.40,0.00,-0.0657259
1.40,0.10,-0.0657259
1.40,0.20,-0.0615007
1.40,0.30,-0.0571645
1.40,0.40,-0.0528077
1.40,0.50,-0.0484348
1.40,0.60,-0.0439623
1.40,0.70,-0.0395758
1.40,0.80,-0.0349958
1.40,0.90,-0.0299438
1.40,1.00,-0.0249982
1.50,0.00,-0.0699912
1.50,0.10,-0.0657974
1.50,0.20,-0.0614883
1.50,0.30,-0.057154
1.50,0.40,-0.0527988
1.50,0.50,-0.048432
1.50,0.60,-0.0440492
1.50,0.70,-0.0395708
1.50,0.80,-0.0349914
1.50,0.90,-0.0299403
1.50,1.00,-0.0249957
1.60,0.00,-0.0700612
1.60,0.10,-0.0657841
1.60,0.20,-0.0614769
1.60,0.30,-0.0571478
1.60,0.40,-0.0527947
1.60,0.50,-0.0484249
1.60,0.60,-0.0440433
1.60,0.70,-0.0395659
1.60,0.80,-0.034987
1.60,0.90,-0.0299366
1.60,1.00,-0.0249927
1.70,0.00,-0.0700499
1.70,0.10,-0.0657751
1.70,0.20,-0.0614698
1.70,0.30,-0.0571388
1.70,0.40,-0.0527867
1.70,0.50,-0.0484182
1.70,0.60,-0.0440375
1.70,0.70,-0.039561
1.70,0.80,-0.0349825
1.70,0.90,-0.0299327
1.70,1.00,-0.0249895
1.80,0.00,-0.0700372
1.80,0.10,-0.0657638
1.80,0.20,-0.0614599
1.80,0.30,-0.0571302
1.80,0.40,-0.0527792
1.80,0.50,-0.0484116
1.80,0.60,-0.0440318
1.80,0.70,-0.0396442
1.80,0.80,-0.0349779
1.80,0.90,-0.0299286
1.80,1.00,-0.0249861
1.90,0.00,-0.0701104
1.90,0.10,-0.0658391
1.90,0.20,-0.0614505
1.90,0.30,-0.0571219
1.90,0.40,-0.052772
1.90,0.50,-0.0484053
1.90,0.60,-0.0440263
1.90,0.70,-0.0396393
1.90,0.80,-0.0349732
1.90,0.90,-0.0299244
1.90,1.00,-0.0249824
