lorentzForce,siteDistance,vAve
1.68,-1.90,0.102453
1.68,-2.00,0.0975006
1.68,0.00,-0.0249939
1.68,0.10,-0.0250654
1.68,0.20,-0.025057
1.68,0.30,-0.0250369
1.68,0.40,-0.0250643
1.68,0.50,-0.0250833
1.68,0.60,-0.0250424
1.68,0.70,-0.0250594
1.68,0.80,-0.0250052
1.68,0.90,-0.0250231
1.68,1.00,-0.0250598
1.68,1.10,-0.0250001
1.68,1.20,-0.0250361
1.68,1.30,-0.0250355
1.68,1.40,-0.0250068
1.68,1.50,-0.0948493
1.68,1.60,-0.123003
1.68,1.70,-0.137865
1.68,1.80,-0.209484
1.68,1.90,-0.264571
1.68,2.00,-0.251216
1.70,-0.10,-0.0250824
1.70,-0.20,-0.0250879
1.70,-0.30,-0.025086
1.70,-0.40,-0.0250731
1.70,-0.50,-0.0250176
1.70,-0.60,-0.0250821
1.70,-0.70,-0.0250471
1.70,-0.80,-0.0250223
1.70,-0.90,-0.0250259
1.70,-1.00,-0.025047
1.70,-1.10,-0.024993
1.70,-1.20,-0.0250304
1.70,-1.30,-0.025041
1.70,-1.40,-0.0250415
1.70,-1.50,-0.0250301
1.70,-1.60,0.117436
1.70,-1.70,0.1125
1.70,-1.80,0.107442
1.70,-1.90,0.10248
1.70,-2.00,0.097498
1.70,0.00,-0.0250494
1.70,0.10,-0.0250752
1.70,0.20,-0.0250674
1.70,0.30,-0.0249939
1.70,0.40,-0.025022
1.70,0.50,-0.0250623
1.70,0.60,-0.0250589
1.70,0.70,-0.0250703
1.70,0.80,-0.0250637
1.70,0.90,-0.0250762
1.70,1.00,-0.0250135
1.70,1.10,-0.0250324
1.70,1.20,-0.0250602
1.70,1.30,-0.0249902
1.70,1.40,-0.0250689
1.70,1.50,-0.0250331
1.70,1.60,-0.13322
1.70,1.70,-0.151753
1.70,1.80,-0.317212
1.70,1.90,-0.345117
1.70,2.00,-0.381365
1.72,-0.10,-0.025053
1.72,-0.20,-0.025049
1.72,-0.30,-0.0250915
1.72,-0.40,-0.0250782
1.72,-0.50,-0.0250585
1.72,-0.60,-0.0250195
1.72,-0.70,-0.0250756
1.72,-0.80,-0.0250521
1.72,-0.90,-0.0250569
1.72,-1.00,-0.0250913
1.72,-1.10,-0.0250874
1.72,-1.20,-0.0250016
1.72,-1.30,-0.0250895
1.72,-1.40,-0.0250445
1.72,-1.50,-0.025081
1.72,-1.60,0.117423
1.72,-1.70,0.1125
1.72,-1.80,0.107479
1.72,-1.90,0.102478
1.72,-2.00,0.0974917
1.72,0.00,-0.0250603
1.72,0.10,-0.0249976
1.72,0.20,-0.0250759
1.72,0.30,-0.0250539
1.72,0.40,-0.0250337
1.72,0.50,-0.0250494
1.72,0.60,-0.0249894
1.72,0.70,-0.0250158
1.72,0.80,-0.0249942
1.72,0.90,-0.0250549
1.72,1.00,-0.0250277
1.72,1.10,-0.0250236
1.72,1.20,-0.0250609
1.72,1.30,-0.0250633
1.72,1.40,-0.133167
1.72,1.50,-0.127704
1.72,1.60,-0.189729
1.72,1.70,-0.333139
1.72,1.80,-0.242248
1.72,1.90,-0.38914
1.72,2.00,-0.304336
1.74,-0.10,-0.0249976
1.74,-0.20,-0.0250371
1.74,-0.30,-0.0250234
1.74,-0.40,-0.0250101
1.74,-0.50,-0.0250518
1.74,-0.60,-0.0250778
1.74,-0.70,-0.025091
1.74,-0.80,-0.0250904
1.74,-0.90,-0.0250176
1.74,-1.00,-0.0250919
1.74,-1.10,-0.0250709
1.74,-1.20,-0.0250604
1.74,-1.30,-0.025054
1.74,-1.40,-0.0250649
1.74,-1.50,0.1225
1.74,-1.60,0.117453
1.74,-1.70,0.112423
1.74,-1.80,0.107447
1.74,-1.90,0.102499
1.74,-2.00,0.0975077
1.74,0.00,-0.0250756
1.74,0.10,-0.0250895
1.74,0.20,-0.025093
1.74,0.30,-0.0250202
1.74,0.40,-0.0250784
1.74,0.50,-0.0250638
1.74,0.60,-0.0250568
1.74,0.70,-0.0250882
1.74,0.80,-0.0250365
1.74,0.90,-0.0250293
1.74,1.00,-0.0250728
1.74,1.10,-0.0250121
1.74,1.20,-0.0250392
1.74,1.30,-0.137556
1.74,1.40,-0.136182
1.74,1.50,-0.401741
1.74,1.60,-0.341118
1.74,1.70,-0.364998
1.74,1.80,-0.424998
1.74,1.90,-0.311705
1.74,2.00,-0.408551
1.76,-0.10,-0.0249919
1.76,-0.20,-0.025021
1.76,-0.30,-0.0250857
1.76,-0.40,-0.0250345
1.76,-0.50,-0.0249937
1.76,-0.60,-0.0250574
1.76,-0.70,-0.025052
1.76,-0.80,-0.0250109
1.76,-0.90,-0.0250023
1.76,-1.00,-0.0250165
1.76,-1.10,-0.025068
1.76,-1.20,-0.0250661
1.76,-1.30,-0.0250871
1.76,-1.40,0.12743
1.76,-1.50,0.122509
1.76,-1.60,0.117443
1.76,-1.70,0.112435
1.76,-1.80,0.107419
1.76,-1.90,0.102447
1.76,-2.00,0.374924
1.76,0.00,-0.0250678
1.76,0.10,-0.0250855
1.76,0.20,-0.0250091
1.76,0.30,-0.0250826
1.76,0.40,-0.0250095
1.76,0.50,-0.0250169
1.76,0.60,-0.0250159
1.76,0.70,-0.0250336
1.76,0.80,-0.025021
1.76,0.90,-0.0250581
1.76,1.00,-0.0250015
1.76,1.10,-0.025078
1.76,1.20,-0.0250566
1.76,1.30,-0.0294075
1.76,1.40,-0.183902
1.76,1.50,-0.324157
1.76,1.60,-0.424987
