lorentzForce,siteDistance,vAve
1.60,-0.10,0.0500872
1.60,-0.20,0.050044
1.60,-0.30,0.0500031
1.60,-0.40,0.0500189
1.60,-0.50,0.0500363
1.60,-0.60,0.0500051
1.60,-0.70,0.0500691
1.60,-0.80,0.0500835
1.60,-0.90,0.0499924
1.60,-1.00,0.0500458
1.60,-1.10,0.0499951
1.60,-1.20,0.0500793
1.60,-1.30,0.0500673
1.60,-1.40,0.0500127
1.60,-1.50,0.0500746
1.60,-1.60,0.0500316
1.60,-1.70,0.0499909
1.60,-1.80,0.0500632
1.60,-1.90,0.0500338
1.60,-2.00,0.0500463
1.60,0.00,0.0500877
1.60,0.10,0.0499958
1.60,0.20,0.050065
1.60,0.30,0.0500419
1.60,0.40,0.0500815
1.60,0.50,0.0500333
1.60,0.60,0.0500535
1.60,0.70,0.0499921
1.60,0.80,0.0499956
1.60,0.90,0.0500244
1.60,1.00,0.0500226
1.60,1.10,0.0500518
1.60,1.20,0.0500481
1.60,1.30,0.0500622
1.60,1.40,0.0500403
1.60,1.50,0.0500085
1.60,1.60,0.0500903
1.60,1.70,0.0499942
1.60,1.80,0.0500781
1.60,1.90,0.0500611
1.60,2.00,0.050084
1.62,-0.10,0.0500717
1.62,-0.20,0.0500281
1.62,-0.30,0.0500867
1.62,-0.40,0.0500019
1.62,-0.50,0.0500187
1.62,-0.60,0.0500866
1.62,-0.70,0.0500549
1.62,-0.80,0.0500628
1.62,-0.90,0.0500705
1.62,-1.00,0.0500225
1.62,-1.10,0.0500703
1.62,-1.20,0.0500527
1.62,-1.30,0.0500388
1.62,-1.40,0.0500812
1.62,-1.50,0.0500424
1.62,-1.60,0.0499964
1.62,-1.70,0.0500532
1.62,-1.80,0.0500228
1.62,-1.90,0.0499905
1.62,-2.00,0.0500012
1.62,0.00,0.0500725
1.62,0.10,0.0500808
1.62,0.20,0.05005
1.62,0.30,0.050027
1.62,0.40,0.0500666
1.62,0.50,0.0500183
1.62,0.60,0.0500381
1.62,0.70,0.0500765
1.62,0.80,0.0500796
1.62,0.90,0.0500077
1.62,1.00,0.0500057
1.62,1.10,0.0500345
1.62,1.20,0.0500299
1.62,1.30,0.0500431
1.62,1.40,0.0500208
1.62,1.50,0.0500879
1.62,1.60,0.0500688
1.62,1.70,0.0500722
1.62,1.80,0.0500553
1.62,1.90,0.0500378
1.62,2.00,0.0500687
1.64,-0.10,0.0500563
1.64,-0.20,0.0500126
1.64,-0.30,0.0500708
1.64,-0.40,0.0500854
1.64,-0.50,0.0500013
1.64,-0.60,0.0500683
1.64,-0.70,0.0500358
1.64,-0.80,0.0500424
1.64,-0.90,0.0500491
1.64,-1.00,0.0499997
1.64,-1.10,0.0500459
1.64,-1.20,0.0500268
1.64,-1.30,0.0500108
1.64,-1.40,0.0500522
1.64,-1.50,0.0500098
1.64,-1.60,0.0500623
1.64,-1.70,0.0500165
1.64,-1.80,0.0500837
1.64,-1.90,0.0500491
1.64,-2.00,0.0500568
1.64,0.00,0.0500576
1.64,0.10,0.0500666
1.64,0.20,0.0500355
1.64,0.30,0.0500125
1.64,0.40,0.0500515
1.64,0.50,0.0500034
1.64,0.60,0.0500232
1.64,0.70,0.0500611
1.64,0.80,0.050064
1.64,0.90,0.050091
1.64,1.00,0.0500891
1.64,1.10,0.0500171
1.64,1.20,0.050012
1.64,1.30,0.0500247
1.64,1.40,0.0500014
1.64,1.50,0.0500682
1.64,1.60,0.0500485
1.64,1.70,0.0500503
1.64,1.80,0.0500328
1.64,1.90,0.050013
1.64,2.00,0.0500451
1.66,-0.10,0.0500417
1.66,-0.20,0.0499973
1.66,-0.30,0.0500551
1.66,-0.40,0.0500691
1.66,-0.50,0.0500844
1.66,-0.60,0.0500503
1.66,-0.70,0.0500171
1.66,-0.80,0.050023
1.66,-0.90,0.0500282
1.66,-1.00,0.0500775
1.66,-1.10,0.0500223
1.66,-1.20,0.0500017
1.66,-1.30,0.0500838
1.66,-1.40,0.0500232
1.66,-1.50,0.0500787
1.66,-1.60,0.0500288
1.66,-1.70,0.0500808
1.66,-1.80,0.0500451
1.66,-1.90,0.0500088
1.66,-2.00,0.0500142
1.66,0.00,0.0500431
1.66,0.10,0.0500519
1.66,0.20,0.0500213
1.66,0.30,0.0499981
1.66,0.40,0.0500371
1.66,0.50,0.0499938
1.66,0.60,0.0500085
1.66,0.70,0.0500461
1.66,0.80,0.0500486
1.66,0.90,0.0500753
1.66,1.00,0.0500729
1.66,1.10,0.0500003
1.66,1.20,0.0499944
1.66,1.30,0.0500065
1.66,1.40,0.0500826
1.66,1.50,0.0500485
1.66,1.60,0.0500281
1.66,1.70,0.0500293
1.66,1.80,0.0500108
1.66,1.90,0.0500903
1.66,2.00,0.0500203
1.68,-0.10,0.0500272
1.68,-0.20,0.0500825
1.68,-0.30,0.0500398
1.68,-0.40,0.0500529
1.68,-0.50,0.0500678
1.68,-0.60,0.0500328
1.68,-0.70,0.0499989
1.68,-0.80,0.0500039
1.68,-0.90,0.0500078
1.68,-1.00,0.0500558
1.68,-1.10,0.0499992
1.68,-1.20,0.0500769
1.68,-1.30,0.0500574
1.68,-1.40,0.0499948
1.68,-1.50,0.0500483
1.68,-1.60,0.0500063
1.68,-1.70,0.0500458
1.68,-1.80,0.0500079
1.68,-1.90,0.0500692
1.68,-2.00,0.050073
1.68,0.00,0.0500289
1.68,0.10,0.0500372
1.68,0.20,0.0500073
1.68,0.30,0.0500843
1.68,0.40,0.0500236
1.68,0.50,0.0500797
1.68,0.60,0.0499942
1.68,0.70,0.0500314
1.68,0.80,0.0500335
1.68,0.90,0.05006
1.68,1.00,0.050057
1.68,1.10,0.0500839
1.68,1.20,0.0500774
1.68,1.30,0.0500888
1.68,1.40,0.0500642
1.68,1.50,0.0500294
1.68,1.60,0.0500051
1.68,1.70,0.0500077
1.68,1.80,0.0500894
1.68,1.90,0.0500683
1.68,2.00,0.0499964
1.70,-0.10,0.0500131
1.70,-0.20,0.0500679
1.70,-0.30,0.0500249
1.70,-0.40,0.0500376
1.70,-0.50,0.0500518
1.70,-0.60,0.050016
1.70,-0.70,0.050081
1.70,-0.80,0.0500852
1.70,-0.90,0.0500881
1.70,-1.00,0.0500347
1.70,-1.10,0.0500766
1.70,-1.20,0.0500527
1.70,-1.30,0.0500316
1.70,-1.40,0.0500672
1.70,-1.50,0.0500187
1.70,-1.60,0.0500732
1.70,-1.70,0.050012
1.70,-1.80,0.0500719
1.70,-1.90,0.0500303
1.70,-2.00,0.0499922
1.70,0.00,0.050015
1.70,0.10,0.0500236
1.70,0.20,0.0499937
1.70,0.30,0.0500707
