time,x,y,x,y,x,y,x,y,x,y,x,y
0.045,-0.243318,-0.457464,-0.243318,-0.457464,0.243318,-0.457464,-0.243318,0.457464,0.243318,0.457464,0.243318,0.457464
0.046,0.243317,-0.457014,0.243317,-0.457014,-0.243317,-0.457014,0.243317,0.457014,-0.243317,0.457014,-0.243317,0.457014
0.047,0.243316,-0.456565,0.243316,-0.456565,-0.243316,-0.456565,0.243316,0.456565,-0.243316,0.456565,-0.243316,0.456565
0.048,-0.243316,-0.456116,-0.243316,-0.456116,0.243316,-0.456116,-0.243316,0.456116,0.243316,0.456116,0.243316,0.456116
0.049,-0.243315,-0.455668,-0.243315,-0.455668,0.243315,-0.455668,-0.243315,0.455668,0.243315,0.455668,0.243315,0.455668
0.05,0.243315,-0.455221,0.243315,-0.455221,-0.243315,-0.455221,0.243315,0.455221,-0.243315,0.455221,-0.243315,0.455221
0.051,0.243314,-0.454774,0.243314,-0.454774,-0.243314,-0.454774,0.243314,0.454774,-0.243314,0.454774,-0.243314,0.454774
0.052,-0.243314,-0.454328,-0.243314,-0.454328,0.243314,-0.454328,-0.243314,0.454328,0.243314,0.454328,0.243314,0.454328
0.053,-0.243313,-0.453882,-0.243313,-0.453882,0.243313,-0.453882,-0.243313,0.453882,0.243313,0.453882,0.243313,0.453882
0.054,0.243312,-0.453437,0.243312,-0.453437,-0.243312,-0.453437,0.243312,0.453437,-0.243312,0.453437,-0.243312,0.453437
0.055,0.243312,-0.452993,0.243312,-0.452993,-0.243312,-0.452993,0.243312,0.452993,-0.243312,0.452993,-0.243312,0.452993
0.056,-0.243311,-0.452549,-0.243311,-0.452549,0.243311,-0.452549,-0.243311,0.452549,0.243311,0.452549,0.243311,0.452549
0.057,-0.243311,-0.452106,-0.243311,-0.452106,0.243311,-0.452106,-0.243311,0.452106,0.243311,0.452106,0.243311,0.452106
0.058,0.24331,-0.451663,0.24331,-0.451663,-0.24331,-0.451663,0.24331,0.451663,-0.24331,0.451663,-0.24331,0.451663
0.059,0.243309,-0.451221,0.243309,-0.451221,-0.243309,-0.451221,0.243309,0.451221,-0.243309,0.451221,-0.243309,0.451221
0.06,-0.243309,-0.45078,-0.243309,-0.45078,0.243309,-0.45078,-0.243309,0.45078,0.243309,0.45078,0.243309,0.45078
0.061,-0.243308,-0.450339,-0.243308,-0.450339,0.243308,-0.450339,-0.243308,0.450339,0.243308,0.450339,0.243308,0.450339
0.062,0.243307,-0.449899,0.243307,-0.449899,-0.243307,-0.449899,0.243307,0.449899,-0.243307,0.449899,-0.243307,0.449899
0.063,0.243306,-0.449459,0.243306,-0.449459,-0.243306,-0.449459,0.243306,0.449459,-0.243306,0.449459,-0.243306,0.449459
0.064,-0.243306,-0.44902,-0.243306,-0.44902,0.243306,-0.44902,-0.243306,0.44902,0.243306,0.44902,0.243306,0.44902
0.065,-0.243305,-0.448582,-0.243305,-0.448582,0.243305,-0.448582,-0.243305,0.448582,0.243305,0.448582,0.243305,0.448582
0.066,0.243304,-0.448144,0.243304,-0.448144,-0.243304,-0.448144,0.243304,0.448144,-0.243304,0.448144,-0.243304,0.448144
0.067,0.243303,-0.447707,0.243303,-0.447707,-0.243303,-0.447707,0.243303,0.447707,-0.243303,0.447707,-0.243303,0.447707
0.068,-0.243303,-0.447271,-0.243303,-0.447271,0.243303,-0.447271,-0.243303,0.447271,0.243303,0.447271,0.243303,0.447271
0.069,-0.243302,-0.446835,-0.243302,-0.446835,0.243302,-0.446835,-0.243302,0.446835,0.243302,0.446835,0.243302,0.446835
0.07,0.243301,-0.4464,0.243301,-0.4464,-0.243301,-0.4464,0.243301,0.4464,-0.243301,0.4464,-0.243301,0.4464
0.071,0.2433,-0.445965,0.2433,-0.445965,-0.2433,-0.445965,0.2433,0.445965,-0.2433,0.445965,-0.2433,0.445965
0.072,-0.2433,-0.445531,-0.2433,-0.445531,0.2433,-0.445531,-0.2433,0.445531,0.2433,0.445531,0.2433,0.445531
0.073,-0.243299,-0.445097,-0.243299,-0.445097,0.243299,-0.445097,-0.243299,0.445097,0.243299,0.445097,0.243299,0.445097
0.074,0.243298,-0.444664,0.243298,-0.444664,-0.243298,-0.444664,0.243298,0.444664,-0.243298,0.444664,-0.243298,0.444664
0.075,0.243297,-0.444232,0.243297,-0.444232,-0.243297,-0.444232,0.243297,0.444232,-0.243297,0.444232,-0.243297,0.444232
0.076,-0.243297,-0.4438,-0.243297,-0.4438,0.243297,-0.4438,-0.243297,0.4438,0.243297,0.4438,0.243297,0.4438
0.077,-0.243296,-0.443369,-0.243296,-0.443369,0.243296,-0.443369,-0.243296,0.443369,0.243296,0.443369,0.243296,0.443369
0.078,0.243294,-0.442939,0.243294,-0.442939,-0.243295,-0.442939,0.243295,0.442939,-0.243294,0.442939,-0.243294,0.442939
0.079,0.243294,-0.442509,0.243294,-0.442509,-0.243294,-0.442509,0.243294,0.442509,-0.243294,0.442509,-0.243294,0.442509
0.08,-0.243293,-0.44208,-0.243293,-0.44208,0.243293,-0.44208,-0.243293,0.44208,0.243293,0.44208,0.243293,0.44208
0.081,-0.243292,-0.441651,-0.243292,-0.441651,0.243292,-0.441651,-0.243292,0.441651,0.243292,0.441651,0.243292,0.441651
0.082,0.243291,-0.441223,0.243291,-0.441223,-0.243291,-0.441223,0.243291,0.441223,-0.243291,0.441223,-0.243291,0.441223
0.083,0.24329,-0.440795,0.24329,-0.440795,-0.24329,-0.440795,0.24329,0.440795,-0.24329,0.440795,-0.24329,0.440795
0.084,-0.243289,-0.440368,-0.243289,-0.440368,0.243289,-0.440368,-0.243289,0.440368,0.243289,0.440368,0.243289,0.440368
0.085,-0.243288,-0.439942,-0.243288,-0.439942,0.243288,-0.439942,-0.243288,0.439942,0.243288,0.439942,0.243288,0.439942
0.086,0.243287,-0.439516,0.243287,-0.439516,-0.243287,-0.439516,0.243287,0.439516,-0.243287,0.439516,-0.243287,0.439516
0.087,0.243286,-0.439091,0.243286,-0.439091,-0.243286,-0.439091,0.243286,0.439091,-0.243286,0.439091,-0.243286,0.439091
0.088,-0.243286,-0.438666,-0.243286,-0.438666,0.243286,-0.438666,-0.243286,0.438666,0.243286,0.438666,0.243286,0.438666
0.089,-0.243285,-0.438242,-0.243285,-0.438242,0.243285,-0.438242,-0.243285,0.438242,0.243285,0.438242,0.243285,0.438242
0.09,0.243283,-0.437819,0.243283,-0.437819,-0.243283,-0.437819,0.243283,0.437819,-0.243283,0.437819,-0.243283,0.437819
0.091,0.243282,-0.437396,0.243282,-0.437396,-0.243282,-0.437396,0.243282,0.437396,-0.243282,0.437396,-0.243282,0.437396
0.092,-0.243282,-0.436973,-0.243282,-0.436973,0.243282,-0.436973,-0.243282,0.436973,0.243282,0.436973,0.243282,0.436973
0.093,-0.243281,-0.436552,-0.243281,-0.436552,0.243281,-0.436552,-0.243281,0.436552,0.243281,0.436552,0.243281,0.436552
0.094,0.243279,-0.436131,0.243279,-0.436131,-0.243279,-0.436131,0.243279,0.436131,-0.243279,0.436131,-0.243279,0.436131
0.095,0.243278,-0.43571,0.243278,-0.43571,-0.243278,-0.43571,0.243278,0.43571,-0.243278,0.43571,-0.243278,0.43571
0.096,-0.243277,-0.43529,-0.243277,-0.43529,0.243277,-0.43529,-0.243277,0.43529,0.243277,0.43529,0.243277,0.43529
0.097,-0.243276,-0.434871,-0.243276,-0.434871,0.243276,-0.434871,-0.243276,0.434871,0.243276,0.434871,0.243276,0.434871
0.098,0.243275,-0.434452,0.243275,-0.434452,-0.243275,-0.434452,0.243275,0.434452,-0.243275,0.434452,-0.243275,0.434452
0.099,0.243274,-0.434034,0.243274,-0.434034,-0.243274,-0.434034,0.243274,0.434034,-0.243274,0.434034,-0.243274,0.434034
0.1,-0.243273,-0.433616,-0.243273,-0.433616,0.243273,-0.433616,-0.243273,0.433616,0.243273,0.433616,0.243273,0.433616
0.101,-0.243272,-0.433199,-0.243272,-0.433199,0.243272,-0.433199,-0.243272,0.433199,0.243272,0.433199,0.243272,0.433199
