time,x,y,x,y,x,y,x,y,x,y,x,y
0.049,0.0625,0.108198,0.3125,0.108198,0.5625,0.108198,0.1875,0.324815,0.4375,0.324815,0.6875,0.324815
0.05,0.0625,0.108196,0.3125,0.108196,0.5625,0.108196,0.1875,0.324817,0.4375,0.324817,0.6875,0.324817
0.051,0.0625,0.108193,0.3125,0.108193,0.5625,0.108193,0.1875,0.324819,0.4375,0.324819,0.6875,0.324819
0.052,0.0625,0.108191,0.3125,0.108191,0.5625,0.108191,0.1875,0.324822,0.4375,0.324822,0.6875,0.324822
0.053,0.0625,0.108188,0.3125,0.108188,0.5625,0.108188,0.1875,0.324824,0.4375,0.324824,0.6875,0.324824
0.054,0.0625,0.108186,0.3125,0.108186,0.5625,0.108186,0.1875,0.324827,0.4375,0.324827,0.6875,0.324827
0.055,0.0625,0.108183,0.3125,0.108183,0.5625,0.108183,0.1875,0.324829,0.4375,0.324829,0.6875,0.324829
0.056,0.0625,0.108181,0.3125,0.108181,0.5625,0.108181,0.1875,0.324832,0.4375,0.324832,0.6875,0.324832
0.057,0.0625,0.108178,0.3125,0.108178,0.5625,0.108178,0.1875,0.324834,0.4375,0.324834,0.6875,0.324834
0.058,0.0625,0.108176,0.3125,0.108176,0.5625,0.108176,0.1875,0.324837,0.4375,0.324837,0.6875,0.324837
0.059,0.0625,0.108173,0.3125,0.108173,0.5625,0.108173,0.1875,0.32484,0.4375,0.32484,0.6875,0.32484
0.06,0.0625,0.10817,0.3125,0.10817,0.5625,0.10817,0.1875,0.324843,0.4375,0.324843,0.6875,0.324843
0.061,0.0625,0.108167,0.3125,0.108167,0.5625,0.108167,0.1875,0.324845,0.4375,0.324845,0.6875,0.324845
0.062,0.0625,0.108165,0.3125,0.108165,0.5625,0.108165,0.1875,0.324848,0.4375,0.324848,0.6875,0.324848
0.063,0.0625,0.108162,0.3125,0.108162,0.5625,0.108162,0.1875,0.324851,0.4375,0.324851,0.6875,0.324851
0.064,0.0625,0.108159,0.3125,0.108159,0.5625,0.108159,0.1875,0.324854,0.4375,0.324854,0.6875,0.324854
0.065,0.0625,0.108156,0.3125,0.108156,0.5625,0.108156,0.1875,0.324857,0.4375,0.324857,0.6875,0.324857
0.066,0.0625,0.108153,0.3125,0.108153,0.5625,0.108153,0.1875,0.32486,0.4375,0.32486,0.6875,0.32486
0.067,0.0625,0.10815,0.3125,0.10815,0.5625,0.10815,0.1875,0.324863,0.4375,0.324863,0.6875,0.324863
0.068,0.0625,0.108147,0.3125,0.108147,0.5625,0.108147,0.1875,0.324866,0.4375,0.324866,0.6875,0.324866
0.069,0.0625,0.108144,0.3125,0.108144,0.5625,0.108144,0.1875,0.324869,0.4375,0.324869,0.6875,0.324869
0.07,0.0625,0.10814,0.3125,0.10814,0.5625,0.10814,0.1875,0.324872,0.4375,0.324872,0.6875,0.324872
